date,AS_MSCI_ESG_2021_Q4,meta
2021-11-04 02:30:00,51.608491081884495,
2021-11-04 03:00:00,59.88435670198305,
2021-11-04 18:30:00,59.88435670198305,
2021-11-04 20:00:00,59.88435670198305,
2021-11-04 23:00:00,-61.87625074763855,
2021-11-04 23:59:59,-113.61488259691941,c
2021-11-05 00:00:00,-93.92114317746928,
2021-11-05 01:00:00,-87.37787069837032,
2021-11-05 02:30:00,-90.32277870251346,
2021-11-05 03:00:00,-91.14191812440731,
2021-11-05 18:30:00,-91.14191812440731,
2021-11-05 20:00:00,-91.14191812440731,
2021-11-05 23:00:00,-91.14191812440731,
2021-11-05 23:59:59,-64.37774356860791,w
2021-11-08 00:00:00,-215.83374939401074,
2021-11-08 01:00:00,-95.88041751144192,
2021-11-08 02:30:00,-143.4074234290947,
2021-11-08 03:00:00,-143.56528221257577,
2021-11-08 18:30:00,-143.56528221257577,
2021-11-08 20:00:00,5.594712106603765,
2021-11-08 23:00:00,-27.314186025489107,
2021-11-08 23:59:59,-86.47347699786951,c
2021-11-09 00:00:00,-30.447800457381163,
2021-11-09 01:00:00,-12.945301776828273,
2021-11-09 02:30:00,-21.38551465072851,
2021-11-09 03:00:00,-15.180863217297883,
2021-11-09 18:30:00,-15.180863217297883,
2021-11-09 20:00:00,59.527088897108115,
2021-11-09 23:00:00,-125.43110290787808,
2021-11-09 23:59:59,-252.42361833302675,c
2021-11-10 00:00:00,-279.42421737264704,
2021-11-10 01:00:00,-334.52259991422943,
2021-11-10 02:30:00,-255.23152919166932,
2021-11-10 03:00:00,-266.9027831150397,
2021-11-10 18:30:00,-266.9027831150397,
2021-11-10 20:00:00,-291.4637971401153,
2021-11-10 23:00:00,-213.36037785846747,
2021-11-10 23:59:59,-220.2725466073589,c
2021-11-11 00:00:00,-243.41278813379722,
2021-11-11 01:00:00,-168.8701586221141,
2021-11-11 02:30:00,-77.34756225207639,
2021-11-11 03:00:00,-71.35961676119587,
2021-11-11 18:30:00,-71.35961676119587,
2021-11-11 20:00:00,46.611221813416705,
2021-11-11 23:00:00,122.55783232472277,
2021-11-11 23:59:59,77.70772337168455,c
2021-11-12 00:00:00,106.13368686091417,
2021-11-12 01:00:00,129.57334425450608,
2021-11-12 02:30:00,136.0564191534777,
2021-11-12 03:00:00,137.65161305497895,
2021-11-12 18:30:00,137.65161305497895,
2021-11-12 20:00:00,137.65161305497895,
2021-11-12 23:00:00,137.65161305497895,
2021-11-12 23:59:59,54.49506274760461,w
2021-11-15 00:00:00,67.32801867234957,
2021-11-15 01:00:00,82.59045551787312,
2021-11-15 02:30:00,79.28892689901659,
2021-11-15 03:00:00,82.99956826417474,
2021-11-15 18:30:00,82.99956826417474,
2021-11-15 20:00:00,15.208108765626093,
2021-11-15 23:00:00,71.79862707734173,
2021-11-15 23:59:59,2.6415113099792507,c
2021-11-16 00:00:00,6.108433957961097,
2021-11-16 01:00:00,45.13551977821953,
2021-11-16 02:30:00,71.31601384248461,
2021-11-16 03:00:00,75.5475709821767,
2021-11-16 18:30:00,75.5475709821767,
2021-11-16 20:00:00,-29.389465646376266,
2021-11-16 23:00:00,-47.81124403382455,
2021-11-16 23:59:59,-94.1643176399084,c
2021-11-17 00:00:00,-99.27067307838843,
2021-11-17 01:00:00,-66.00321337248715,
2021-11-17 02:30:00,-59.082637835697824,
2021-11-17 03:00:00,-54.01364377829486,
2021-11-17 18:30:00,-54.01364377829486,
2021-11-17 20:00:00,-54.01364377829486,
2021-11-17 23:00:00,-19.34329116246772,
