date,MDIV_2022_Q2,meta
2022-05-13 00:00:00,56.38934357702678,
2022-05-13 10:00:00,64.90464802025949,
2022-05-13 10:30:00,65.72509752336623,
2022-05-13 12:00:00,63.68690868697593,
2022-05-13 13:30:00,61.151881685752485,
2022-05-13 15:00:00,51.179831938043144,
2022-05-13 15:30:30,51.179831938043144,
2022-05-13 23:59:59,38.905085851290266,w
2022-05-16 00:00:00,29.039733109647266,
2022-05-16 10:00:00,10.439468309239473,
2022-05-16 10:30:00,18.111250830576637,
2022-05-16 12:00:00,6.726884013648117,
2022-05-16 13:30:00,9.853212387766689,
2022-05-16 15:00:00,6.60658345247694,
2022-05-16 15:30:30,6.60658345247694,
2022-05-16 23:59:59,1.6896999244727198,c
2022-05-17 00:00:00,40.08278491659909,
2022-05-17 10:00:00,57.103480734427606,
2022-05-17 10:30:00,37.705963090397695,
2022-05-17 12:00:00,42.458437546275206,
2022-05-17 13:30:00,50.31637236228314,
2022-05-17 15:00:00,58.22285773462251,
2022-05-17 15:30:30,58.22285773462251,
2022-05-17 23:59:59,51.66813918912093,c
2022-05-18 00:00:00,26.458774317536268,
2022-05-18 10:00:00,34.124072314012764,
2022-05-18 10:30:00,36.919462975989546,
2022-05-18 12:00:00,22.842930006800856,
2022-05-18 13:30:00,20.975237863392216,
2022-05-18 15:00:00,14.03120711291129,
2022-05-18 15:30:30,14.03120711291129,
2022-05-18 23:59:59,33.464911700198556,c
2022-05-19 00:00:00,28.225340620238384,
2022-05-19 10:00:00,46.25539791639645,
2022-05-19 10:30:00,40.19526033984877,
2022-05-19 12:00:00,52.91403369048426,
2022-05-19 13:30:00,60.70618059712176,
2022-05-19 15:00:00,55.621921287021294,
2022-05-19 15:30:30,55.621921287021294,
2022-05-19 23:59:59,47.02747710400899,c
2022-05-20 00:00:00,68.56329088065706,
2022-05-20 10:00:00,51.616377847352624,
2022-05-20 10:30:00,64.81608864123335,
2022-05-20 12:00:00,70.50845131314699,
2022-05-20 13:30:00,49.21627935136374,
2022-05-20 15:00:00,55.3572290747838,
2022-05-20 15:30:30,55.3572290747838,
2022-05-20 23:59:59,59.03580461818032,w
2022-05-23 00:00:00,69.85054497298579,
2022-05-23 10:00:00,58.005976832705414,
2022-05-23 10:30:00,60.41331710196823,
2022-05-23 12:00:00,73.4723601818196,
2022-05-23 13:30:00,73.97899678397997,
2022-05-23 15:00:00,73.32132142090936,
2022-05-23 15:30:30,73.32132142090936,
2022-05-23 23:59:59,61.401842625752124,c
2022-05-24 00:00:00,59.076862087626125,
2022-05-24 10:00:00,22.06901993260398,
2022-05-24 10:30:00,30.610559262223816,
2022-05-24 12:00:00,23.236032351443114,
2022-05-24 13:30:00,15.886257310992306,
2022-05-24 15:00:00,7.442724096440088,
2022-05-24 15:30:30,7.442724096440088,
2022-05-24 23:59:59,20.326197046578336,c
2022-05-25 00:00:00,12.680127252963317,
2022-05-25 10:00:00,32.89195325337019,
2022-05-25 10:30:00,47.008864913403656,
2022-05-25 12:00:00,40.69760276334901,
2022-05-25 13:30:00,35.258845232836805,
2022-05-25 15:00:00,52.97156357156022,
2022-05-25 15:30:30,52.97156357156022,
2022-05-25 23:59:59,47.672491940652975,c
2022-05-26 00:00:00,42.964067489885565,
2022-05-26 10:00:00,76.01262041068284,
2022-05-26 10:30:00,64.396935167664,
2022-05-26 12:00:00,58.00727396434394,
2022-05-26 13:30:00,65.1866336544586,
2022-05-26 15:00:00,61.44052557685269,
2022-05-26 15:30:30,61.44052557685269,
2022-05-26 23:59:59,74.54791003087611,c
2022-05-27 00:00:00,85.83894512881835,
2022-05-27 10:00:00,102.9928522274937,
2022-05-27 10:30:00,88.244467442339,
2022-05-27 12:00:00,102.70105824149788,
2022-05-27 13:30:00,109.367249024064,
2022-05-27 15:00:00,118.10530698238628,
2022-05-27 15:30:30,118.10530698238628,
2022-05-27 23:59:59,115.14913798689865,w
2022-05-30 00:00:00,115.14913798689865,
2022-05-30 10:00:00,115.14913798689865,
2022-05-30 10:30:00,115.14913798689865,
2022-05-30 12:00:00,115.14913798689865,
2022-05-30 13:30:00,115.14913798689865,
2022-05-30 15:00:00,115.14913798689865,
2022-05-30 15:30:30,115.14913798689865,
2022-05-30 23:59:59,115.14913798689865,c
2022-05-31 00:00:00,118.62264144393117,
2022-05-31 10:00:00,122.05132136894548,
2022-05-31 10:30:00,120.91587992661596,
2022-05-31 12:00:00,120.44085969657552,
2022-05-31 13:30:00,118.7220122132934,
2022-05-31 15:00:00,121.5102654166786,
2022-05-31 15:30:30,121.5102654166786,s
2022-05-31 23:59:59,127.57397878711748,c
2022-06-01 00:00:00,128.83106881585866,
2022-06-01 10:00:00,133.9663320594673,
2022-06-01 10:30:00,113.85552238299935,
2022-06-01 12:00:00,108.64337004250311,
2022-06-01 13:30:00,114.4296101552149,
2022-06-01 15:00:00,121.04377640128581,
2022-06-01 15:30:30,121.04377640128581,
2022-06-01 23:59:59,106.74045967105769,c
2022-06-02 00:00:00,108.5702818640504,
2022-06-02 10:00:00,149.74733484180086,
2022-06-02 10:30:00,146.91207169806827,
2022-06-02 12:00:00,144.8218635484274,
2022-06-02 13:30:00,164.91554022817192,
2022-06-02 15:00:00,158.55921646379971,
2022-06-02 15:30:30,158.55921646379971,
2022-06-02 23:59:59,158.95524320307214,c
2022-06-03 00:00:00,154.47288899983468,
2022-06-03 10:00:00,145.98247728672726,
2022-06-03 10:30:00,136.02392859459871,
2022-06-03 12:00:00,139.0246449735805,
2022-06-03 13:30:00,142.40560665399664,
