date,EU_FTSEUK_MCX_2022_Q4,meta
2022-11-09 00:00:00,-3239.482544172948,
2022-11-09 03:30:00,-3162.9125797781303,
2022-11-09 04:00:00,-3198.19125984224,
2022-11-09 06:00:00,-3144.4225001790564,
2022-11-09 08:00:00,-3191.6700393897822,
2022-11-09 10:30:00,-3027.690581479807,
2022-11-09 11:00:00,-2993.0883360349817,
2022-11-09 23:59:59,-3060.9330621458407,c
2022-11-10 00:00:00,-2936.8228289989543,
2022-11-10 03:30:00,-3003.5724742357493,
2022-11-10 04:00:00,-2990.228680257918,
2022-11-10 06:00:00,-3002.1322411168326,
2022-11-10 08:00:00,-2963.585381456204,
2022-11-10 10:30:00,-3299.139054525532,
2022-11-10 11:00:00,-3231.4814854214114,
2022-11-10 23:59:59,-3061.947163276316,c
2022-11-11 00:00:00,-3236.5397858750234,
2022-11-11 03:30:00,-3284.225021127827,
2022-11-11 04:00:00,-3339.9707501207845,
2022-11-11 06:00:00,-3332.772753725557,
2022-11-11 08:00:00,-3326.440140510921,
2022-11-11 10:30:00,-3109.203596686405,
2022-11-11 11:00:00,-3051.8401975076827,
2022-11-11 23:59:59,-3020.306299876367,w
2022-11-14 00:00:00,-2991.3107834877933,
2022-11-14 03:30:00,-2903.931932079713,
2022-11-14 04:00:00,-2917.174107054628,
2022-11-14 06:00:00,-2894.753995935367,
2022-11-14 08:00:00,-2867.9961003848002,
2022-11-14 10:30:00,-2995.423467658461,
2022-11-14 11:00:00,-3004.7234705543383,
2022-11-14 23:59:59,-2978.5731175470946,c
2022-11-15 00:00:00,-2933.3368929863855,
2022-11-15 03:30:00,-3005.719144633077,
2022-11-15 04:00:00,-3004.110040713751,
2022-11-15 06:00:00,-3025.7506327652013,
2022-11-15 08:00:00,-3010.494408206964,
2022-11-15 10:30:00,-3075.8979123781,
2022-11-15 11:00:00,-3011.5756612866326,
2022-11-15 23:59:59,-2935.5741063315536,c
2022-11-16 00:00:00,-3024.875600789636,
2022-11-16 03:30:00,-2947.5571227687105,
2022-11-16 04:00:00,-2884.5419780740726,
2022-11-16 06:00:00,-2899.106286208622,
2022-11-16 08:00:00,-2946.2913949795447,
2022-11-16 10:30:00,-2753.861377777593,
2022-11-16 11:00:00,-2760.0444387901025,
2022-11-16 23:59:59,-2800.260430929989,c
2022-11-17 00:00:00,-2846.2579710769023,
2022-11-17 03:30:00,-2884.4393890649835,
2022-11-17 04:00:00,-2849.950892488797,
2022-11-17 06:00:00,-2810.353586437176,
2022-11-17 08:00:00,-2827.681373412948,
2022-11-17 10:30:00,-2764.971707417296,
2022-11-17 11:00:00,-2684.964686921212,
2022-11-17 23:59:59,-2715.6158876063246,c
2022-11-18 00:00:00,-2724.437642275998,
2022-11-18 03:30:00,-2718.327212145369,
2022-11-18 04:00:00,-2736.4903874819875,
2022-11-18 06:00:00,-2698.1652444414776,
2022-11-18 08:00:00,-2605.2047949826783,
2022-11-18 10:30:00,-2567.998066148011,
2022-11-18 11:00:00,-2598.9201615311463,
2022-11-18 23:59:59,-2600.8060117801133,w
2022-11-21 00:00:00,-2472.9311150776457,
2022-11-21 03:30:00,-2452.970156001895,
2022-11-21 04:00:00,-2438.448727729994,
2022-11-21 06:00:00,-2653.61037032771,
2022-11-21 08:00:00,-2698.3067676736346,
