date,HDV_2021_Q4,meta
2021-11-12 00:00:00,-80.10770313815419,
2021-11-12 10:00:00,-78.76310412215207,
2021-11-12 10:30:00,-84.15763129300831,
2021-11-12 12:00:00,-85.48982999827103,
2021-11-12 13:30:00,-93.52341137682151,
2021-11-12 15:00:00,-96.94215728590734,
2021-11-12 15:30:30,-96.94215728590734,
2021-11-12 23:59:59,-103.19320139247475,w
2021-11-15 00:00:00,-94.13527112938618,
2021-11-15 10:00:00,-99.46293694954102,
2021-11-15 10:30:00,-98.62332106489202,
2021-11-15 12:00:00,-86.3144137589361,
2021-11-15 13:30:00,-90.34406841030386,
2021-11-15 15:00:00,-94.72908704451538,
2021-11-15 15:30:30,-94.72908704451538,
2021-11-15 23:59:59,-98.59181143277783,c
2021-11-16 00:00:00,-93.43429913667342,
2021-11-16 10:00:00,-99.20595378982716,
2021-11-16 10:30:00,-115.57817833348645,
2021-11-16 12:00:00,-134.39620056856256,
2021-11-16 13:30:00,-124.45590424584543,
2021-11-16 15:00:00,-117.31666870852268,
2021-11-16 15:30:30,-117.31666870852268,
2021-11-16 23:59:59,-135.78175806920308,c
2021-11-17 00:00:00,-126.48669904976714,
2021-11-17 10:00:00,-109.95059918932793,
2021-11-17 10:30:00,-126.2743260248335,
2021-11-17 12:00:00,-123.15976939301072,
2021-11-17 13:30:00,-133.2936557084231,
2021-11-17 15:00:00,-145.26394466973352,
2021-11-17 15:30:30,-145.26394466973352,
2021-11-17 23:59:59,-136.40758493181602,c
2021-11-18 00:00:00,-138.1347854800115,
2021-11-18 10:00:00,-149.98941955234886,
2021-11-18 10:30:00,-166.0286882628061,
2021-11-18 12:00:00,-174.74493070235258,
2021-11-18 13:30:00,-172.92049384457732,
2021-11-18 15:00:00,-168.41956583902902,
2021-11-18 15:30:30,-168.41956583902902,
2021-11-18 23:59:59,-160.64018736007074,c
2021-11-19 00:00:00,-150.23602179817,
2021-11-19 10:00:00,-138.53398946520338,
2021-11-19 10:30:00,-156.81985225918106,
2021-11-19 12:00:00,-163.48775569439204,
2021-11-19 13:30:00,-154.96014471592161,
2021-11-19 15:00:00,-163.6245908910496,
2021-11-19 15:30:30,-163.6245908910496,
2021-11-19 23:59:59,-181.334751638316,w
2021-11-22 00:00:00,-185.52842348031436,
2021-11-22 10:00:00,-189.4888881012671,
2021-11-22 10:30:00,-179.77908490456457,
2021-11-22 12:00:00,-152.43555154145224,
2021-11-22 13:30:00,-169.90218327306184,
2021-11-22 15:00:00,-170.58275713852709,
2021-11-22 15:30:30,-170.58275713852709,u
2021-11-22 23:59:59,-190.3149887658874,c
2021-11-23 00:00:00,-185.68317984976784,
2021-11-23 10:00:00,-196.8702990217039,
2021-11-23 10:30:00,-191.57396112000424,
2021-11-23 12:00:00,-180.96583888204214,
2021-11-23 13:30:00,-194.19612404715326,
2021-11-23 15:00:00,-179.57051191302617,
2021-11-23 15:30:30,-179.57051191302617,
2021-11-23 23:59:59,-186.67439054588158,c
2021-11-24 00:00:00,-187.26317715505456,
2021-11-24 10:00:00,-176.50009007403514,
2021-11-24 10:30:00,-168.7296713659266,
2021-11-24 12:00:00,-171.15262355120012,
2021-11-24 13:30:00,-173.79350673441377,
2021-11-24 15:00:00,-179.4337321619396,
2021-11-24 15:30:30,-179.4337321619396,
2021-11-24 23:59:59,-172.87858295500973,c
2021-11-25 00:00:00,-172.87858295500973,
2021-11-25 10:00:00,-172.87858295500973,
2021-11-25 10:30:00,-172.87858295500973,
2021-11-25 12:00:00,-172.87858295500973,
2021-11-25 13:30:00,-172.87858295500973,
