date,HDV_2021_Q4,meta
2021-11-25 15:00:00,-172.87858295500973,
2021-11-25 15:30:30,-172.87858295500973,
2021-11-25 23:59:59,-172.87858295500973,c
2021-11-26 00:00:00,-154.11503717483765,
2021-11-26 10:00:00,-166.8360606473493,
2021-11-26 10:30:00,-147.05293111604624,
2021-11-26 12:00:00,-163.16588064907546,
2021-11-26 13:30:00,-163.16588064907546,
2021-11-26 15:00:00,-163.16588064907546,
2021-11-26 15:30:30,-163.16588064907546,
2021-11-26 23:59:59,-151.980131729626,w
2021-11-29 00:00:00,-105.72692703628763,
2021-11-29 10:00:00,-125.18840406364006,
2021-11-29 10:30:00,-129.52160477365214,
2021-11-29 12:00:00,-121.04635694097851,
2021-11-29 13:30:00,-108.10613132796607,
2021-11-29 15:00:00,-115.29302428998335,
2021-11-29 15:30:30,-115.29302428998335,
2021-11-29 23:59:59,-128.53336797340535,c
2021-11-30 00:00:00,-144.02734282419306,
2021-11-30 10:00:00,-111.74001256965084,
2021-11-30 10:30:00,-106.86429863584954,
2021-11-30 12:00:00,-120.24482994394975,
2021-11-30 13:30:00,-113.7584766869918,
2021-11-30 15:00:00,-125.6442618244605,
2021-11-30 15:30:30,-125.6442618244605,s
2021-11-30 23:59:59,-127.71729800257845,c
2021-12-01 00:00:00,-104.71319809945908,
2021-12-01 10:00:00,-85.04486676602983,
2021-12-01 10:30:00,-70.89160040870775,
2021-12-01 12:00:00,-38.781305447934756,
2021-12-01 13:30:00,-49.929842721976,
2021-12-01 15:00:00,-45.52455384188943,
2021-12-01 15:30:30,-45.52455384188943,
2021-12-01 23:59:59,-91.91149762970599,c
2021-12-02 00:00:00,-90.68807142754122,
2021-12-02 10:00:00,-87.3369663997546,
2021-12-02 10:30:00,-95.7736314332692,
2021-12-02 12:00:00,-109.46373815575862,
2021-12-02 13:30:00,-126.64631923353818,
2021-12-02 15:00:00,-123.01453401939762,
2021-12-02 15:30:30,-123.01453401939762,
2021-12-02 23:59:59,-129.3847111794389,c
2021-12-03 00:00:00,-102.1924534914051,
2021-12-03 10:00:00,-111.72629936067506,
2021-12-03 10:30:00,-98.304355976019,
2021-12-03 12:00:00,-113.11899103497308,
2021-12-03 13:30:00,-95.97707542568969,
2021-12-03 15:00:00,-101.43807112956347,
2021-12-03 15:30:30,-101.43807112956347,
2021-12-03 23:59:59,-82.06774759264363,w
2021-12-06 00:00:00,-77.42166659723898,
2021-12-06 10:00:00,-62.35701423195542,
2021-12-06 10:30:00,-59.723978659279055,
2021-12-06 12:00:00,-45.06545676480937,
2021-12-06 13:30:00,-38.7646360576141,
2021-12-06 15:00:00,-50.667464719299915,
2021-12-06 15:30:30,-50.667464719299915,
2021-12-06 23:59:59,-57.06513690458405,c
2021-12-07 00:00:00,2.974976221882116,
2021-12-07 10:00:00,7.109496234596008,
2021-12-07 10:30:00,23.125971678771293,
2021-12-07 12:00:00,16.049629220925453,
2021-12-07 13:30:00,0.9235163230769103,
2021-12-07 15:00:00,-11.72982633681795,
2021-12-07 15:30:30,-11.72982633681795,
2021-12-07 23:59:59,-12.982742516156122,c
2021-12-08 00:00:00,9.806448084132171,
2021-12-08 10:00:00,-24.94528851834457,
2021-12-08 10:30:00,-32.9323238850302,
2021-12-08 12:00:00,-43.94188845591452,
2021-12-08 13:30:00,-32.046790748800504,
2021-12-08 15:00:00,-20.98848658382076,
2021-12-08 15:30:30,-20.98848658382076,
2021-12-08 23:59:59,-26.3640493319881,c
2021-12-09 00:00:00,-39.58324484307241,
2021-12-09 10:00:00,-20.006223432276784,
2021-12-09 10:30:00,-11.431465760882475,
2021-12-09 12:00:00,-29.615507676169727,
2021-12-09 13:30:00,-8.289754065511715,
2021-12-09 15:00:00,-19.84369508323607,
2021-12-09 15:30:30,-19.84369508323607,
2021-12-09 23:59:59,-24.89812760120003,c
2021-12-10 00:00:00,-25.258769730528456,
2021-12-10 10:00:00,0.7818116338935397,
2021-12-10 10:30:00,-10.26480061988741,
2021-12-10 12:00:00,-1.102568972694371,
2021-12-10 13:30:00,0.9574941877417587,
2021-12-10 15:00:00,-0.8517695398063552,
2021-12-10 15:30:30,-0.8517695398063552,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,0.0,
2021-12-13 10:00:00,0.0,
2021-12-13 10:30:00,0.0,
2021-12-13 12:00:00,0.0,
2021-12-13 13:30:00,0.0,
2021-12-13 15:00:00,0.0,
2021-12-13 15:30:30,0.0,
2021-12-13 23:59:59,0.0,c
2021-12-14 00:00:00,0.0,
2021-12-14 10:00:00,0.0,
2021-12-14 10:30:00,0.0,
2021-12-14 12:00:00,0.0,
2021-12-14 13:30:00,0.0,
2021-12-14 15:00:00,0.0,
2021-12-14 15:30:30,0.0,
2021-12-14 23:59:59,0.0,c
2021-12-15 00:00:00,0.0,
2021-12-15 10:00:00,0.0,
2021-12-15 10:30:00,0.0,
2021-12-15 12:00:00,0.0,
2021-12-15 13:30:00,0.0,
2021-12-15 15:00:00,0.0,
2021-12-15 15:30:30,0.0,
2021-12-15 23:59:59,0.0,c
2021-12-16 00:00:00,0.0,
2021-12-16 10:00:00,0.0,
2021-12-16 10:30:00,0.0,
2021-12-16 12:00:00,0.0,
2021-12-16 13:30:00,0.0,
2021-12-16 15:00:00,0.0,
2021-12-16 15:30:30,0.0,
2021-12-16 23:59:59,0.0,c
2021-12-17 00:00:00,0.0,
2021-12-17 10:00:00,0.0,
2021-12-17 10:30:00,0.0,
2021-12-17 12:00:00,0.0,
2021-12-17 13:30:00,0.0,
2021-12-17 15:00:00,0.0,
2021-12-17 15:30:30,0.0,
2021-12-17 23:59:59,0.0,e
2021-12-20 00:00:00,0.0,
2021-12-20 10:00:00,0.0,
2021-12-20 10:30:00,0.0,
2021-12-20 12:00:00,0.0,
2021-12-20 13:30:00,0.0,
2021-12-20 15:00:00,0.0,
2021-12-20 15:30:30,0.0,
2021-12-20 23:59:59,0.0,c
2021-12-21 00:00:00,0.0,
2021-12-21 10:00:00,0.0,
2021-12-21 10:30:00,0.0,
2021-12-21 12:00:00,0.0,
2021-12-21 13:30:00,0.0,
2021-12-21 15:00:00,0.0,
2021-12-21 15:30:30,0.0,
2021-12-21 23:59:59,0.0,c
2021-12-22 00:00:00,0.0,
2021-12-22 10:00:00,0.0,
2021-12-22 10:30:00,0.0,
2021-12-22 12:00:00,0.0,
2021-12-22 13:30:00,0.0,
2021-12-22 15:00:00,0.0,
2021-12-22 15:30:30,0.0,
2021-12-22 23:59:59,0.0,c
2021-12-23 00:00:00,0.0,
2021-12-23 10:00:00,0.0,
2021-12-23 10:30:00,0.0,
2021-12-23 12:00:00,0.0,
2021-12-23 13:30:00,0.0,
2021-12-23 15:00:00,0.0,
2021-12-23 15:30:30,0.0,
2021-12-23 23:59:59,0.0,c
2021-12-24 00:00:00,0.0,
2021-12-24 10:00:00,0.0,
2021-12-24 10:30:00,0.0,
2021-12-24 12:00:00,0.0,
2021-12-24 13:30:00,0.0,
2021-12-24 15:00:00,0.0,
2021-12-24 15:30:30,0.0,
2021-12-24 23:59:59,0.0,w
2021-12-27 00:00:00,0.0,
2021-12-27 10:00:00,0.0,
2021-12-27 10:30:00,0.0,
2021-12-27 12:00:00,0.0,
2021-12-27 13:30:00,0.0,
2021-12-27 15:00:00,0.0,
2021-12-27 15:30:30,0.0,
2021-12-27 23:59:59,0.0,c
2021-12-28 00:00:00,0.0,
2021-12-28 10:00:00,0.0,
2021-12-28 10:30:00,0.0,
2021-12-28 12:00:00,0.0,
2021-12-28 13:30:00,0.0,
2021-12-28 15:00:00,0.0,
2021-12-28 15:30:30,0.0,
2021-12-28 23:59:59,0.0,c
2021-12-29 00:00:00,0.0,
2021-12-29 10:00:00,0.0,
2021-12-29 10:30:00,0.0,
2021-12-29 12:00:00,0.0,
2021-12-29 13:30:00,0.0,
2021-12-29 15:00:00,0.0,
2021-12-29 15:30:30,0.0,
2021-12-29 23:59:59,0.0,c
2021-12-30 00:00:00,0.0,
2021-12-30 10:00:00,0.0,
2021-12-30 10:30:00,0.0,
2021-12-30 12:00:00,0.0,
2021-12-30 13:30:00,0.0,
2021-12-30 15:00:00,0.0,
2021-12-30 15:30:30,0.0,
2021-12-30 23:59:59,0.0,c
2021-12-31 00:00:00,0.0,
2021-12-31 10:00:00,0.0,
2021-12-31 10:30:00,0.0,
2021-12-31 12:00:00,0.0,
2021-12-31 13:30:00,0.0,
2021-12-31 15:00:00,0.0,
2021-12-31 15:30:30,0.0,
2021-12-31 23:59:59,0.0,w
2022-01-03 00:00:00,0.0,
2022-01-03 10:00:00,0.0,
2022-01-03 10:30:00,0.0,
2022-01-03 12:00:00,0.0,
2022-01-03 13:30:00,0.0,
2022-01-03 15:00:00,0.0,
2022-01-03 15:30:30,0.0,
2022-01-03 23:59:59,0.0,c
2022-01-04 00:00:00,0.0,
2022-01-04 10:00:00,0.0,
2022-01-04 10:30:00,0.0,
2022-01-04 12:00:00,0.0,
2022-01-04 13:30:00,0.0,
2022-01-04 15:00:00,0.0,
2022-01-04 15:30:30,0.0,
2022-01-04 23:59:59,0.0,c
2022-01-05 00:00:00,0.0,
2022-01-05 10:00:00,0.0,
2022-01-05 10:30:00,0.0,
2022-01-05 12:00:00,0.0,
2022-01-05 13:30:00,0.0,
2022-01-05 15:00:00,0.0,
2022-01-05 15:30:30,0.0,
2022-01-05 23:59:59,0.0,c
2022-01-06 00:00:00,0.0,
2022-01-06 10:00:00,0.0,
2022-01-06 10:30:00,0.0,
2022-01-06 12:00:00,0.0,
2022-01-06 13:30:00,0.0,
2022-01-06 15:00:00,0.0,
2022-01-06 15:30:30,0.0,
2022-01-06 23:59:59,0.0,c
2022-01-07 00:00:00,0.0,
2022-01-07 10:00:00,0.0,
2022-01-07 10:30:00,0.0,
2022-01-07 12:00:00,0.0,
2022-01-07 13:30:00,0.0,
2022-01-07 15:00:00,0.0,
2022-01-07 15:30:30,0.0,
2022-01-07 23:59:59,0.0,w
