date,AS_FTSE_EM_SC_2022_Q3,meta
2022-07-29 01:00:00,-79.0766789020056,
2022-07-29 02:30:00,-84.80316822795766,
2022-07-29 03:00:00,-88.30709902425167,
2022-07-29 18:30:00,-88.30709902425167,
2022-07-29 20:00:00,-88.30709902425167,
2022-07-29 23:00:00,-88.30709902425167,
2022-07-29 23:59:59,-92.34410847625168,w
2022-08-01 00:00:00,-124.19696230547572,
2022-08-01 01:00:00,-126.75761908875336,
2022-08-01 02:30:00,-140.84495979853614,
2022-08-01 03:00:00,-138.288802875972,
2022-08-01 18:30:00,-138.288802875972,
2022-08-01 20:00:00,-138.288802875972,
2022-08-01 23:00:00,-176.98153817908928,
2022-08-01 23:59:59,-190.9794194952501,c
2022-08-02 00:00:00,-215.9495440691552,
2022-08-02 01:00:00,-224.9678338189933,
2022-08-02 02:30:00,-187.23641403475972,
2022-08-02 03:00:00,-193.64543877762594,
2022-08-02 18:30:00,-193.64543877762594,
2022-08-02 20:00:00,-193.64543877762594,
2022-08-02 23:00:00,-226.0746021139512,
2022-08-02 23:59:59,-211.1513580942327,c
2022-08-03 00:00:00,-213.25266091472827,
2022-08-03 01:00:00,-213.4340340724725,
2022-08-03 02:30:00,-232.00650889559768,
2022-08-03 03:00:00,-253.51971072219192,
2022-08-03 18:30:00,-253.51971072219192,
2022-08-03 20:00:00,-253.51971072219192,
2022-08-03 23:00:00,-232.7896244236166,
2022-08-03 23:59:59,-233.9659788924846,c
2022-08-04 00:00:00,-245.45928073696575,
2022-08-04 01:00:00,-230.12196911248702,
2022-08-04 02:30:00,-240.64848700771097,
2022-08-04 03:00:00,-242.78043974667935,
2022-08-04 18:30:00,-242.78043974667935,
2022-08-04 20:00:00,-242.78043974667935,
2022-08-04 23:00:00,-250.47402890735816,
2022-08-04 23:59:59,-236.16160525106545,c
2022-08-05 00:00:00,-233.08883795633756,
2022-08-05 01:00:00,-233.47141898994732,
2022-08-05 02:30:00,-212.8102961888219,
2022-08-05 03:00:00,-216.5736855432133,
2022-08-05 18:30:00,-216.5736855432133,
2022-08-05 20:00:00,-216.5736855432133,
2022-08-05 23:00:00,-216.5736855432133,
2022-08-05 23:59:59,-204.0261103450572,w
2022-08-08 00:00:00,-230.64930998710804,
2022-08-08 01:00:00,-239.1635005505084,
2022-08-08 02:30:00,-201.47003463009105,
2022-08-08 03:00:00,-200.75438817986844,
2022-08-08 18:30:00,-200.75438817986844,
2022-08-08 20:00:00,-200.75438817986844,
2022-08-08 23:00:00,-176.406340950973,
2022-08-08 23:59:59,-163.45443246097432,c
2022-08-09 00:00:00,-172.9946703195127,
2022-08-09 01:00:00,-184.1065723670656,
