date,RAFI_SCHWAB_2022_Q1,meta
2022-02-17 00:00:00,198.406307933765,
2022-02-17 10:00:00,191.20900382688194,
2022-02-17 10:30:00,183.4477501643912,
2022-02-17 12:00:00,178.921913797177,
2022-02-17 13:30:00,184.4217840753438,
2022-02-17 15:00:00,191.6778210390985,
2022-02-17 15:30:30,191.6778210390985,
2022-02-17 23:59:59,196.47721539804627,c
2022-02-18 00:00:00,190.18646544728767,
2022-02-18 10:00:00,195.84805974295455,
2022-02-18 10:30:00,193.04614388327786,
2022-02-18 12:00:00,198.8419337287712,
2022-02-18 13:30:00,198.15665579846382,
2022-02-18 15:00:00,197.498265712695,
2022-02-18 15:30:30,197.498265712695,
2022-02-18 23:59:59,191.07883669218222,w
2022-02-21 00:00:00,191.07883669218222,
2022-02-21 10:00:00,191.07883669218222,
2022-02-21 10:30:00,191.07883669218222,
2022-02-21 12:00:00,191.07883669218222,
2022-02-21 13:30:00,191.07883669218222,
2022-02-21 15:00:00,191.07883669218222,
2022-02-21 15:30:30,191.07883669218222,
2022-02-21 23:59:59,191.07883669218222,c
2022-02-22 00:00:00,183.28579769869498,
2022-02-22 10:00:00,176.10160577262775,
2022-02-22 10:30:00,181.65789253729133,
2022-02-22 12:00:00,185.63603947095794,
2022-02-22 13:30:00,201.45439457138048,
2022-02-22 15:00:00,202.22278402052814,
2022-02-22 15:30:30,202.22278402052814,
2022-02-22 23:59:59,196.2812676529088,c
2022-02-23 00:00:00,176.84308751964898,
2022-02-23 10:00:00,207.2277521847352,
2022-02-23 10:30:00,209.8666282936373,
2022-02-23 12:00:00,213.72656649277815,
2022-02-23 13:30:00,214.84333299910577,
2022-02-23 15:00:00,219.11810458929767,
2022-02-23 15:30:30,219.11810458929767,
2022-02-23 23:59:59,225.24753797449034,c
2022-02-24 00:00:00,243.74220597312387,
2022-02-24 10:00:00,231.36523094563609,
2022-02-24 10:30:00,235.37929222446974,
2022-02-24 12:00:00,243.3384501641002,
2022-02-24 13:30:00,263.31514970402725,
2022-02-24 15:00:00,259.8645722219088,
2022-02-24 15:30:30,259.8645722219088,
2022-02-24 23:59:59,259.68695096959937,c
2022-02-25 00:00:00,256.5154315638107,
2022-02-25 10:00:00,223.08456284484396,
2022-02-25 10:30:00,202.71254766241407,
2022-02-25 12:00:00,200.3793951807146,
2022-02-25 13:30:00,183.9296769705096,
2022-02-25 15:00:00,183.30722065155817,
2022-02-25 15:30:30,183.30722065155817,
2022-02-25 23:59:59,190.77568325384993,w
2022-02-28 00:00:00,165.83792444194205,
2022-02-28 10:00:00,164.10015444743976,
2022-02-28 10:30:00,167.06988240794226,
2022-02-28 12:00:00,154.7040118296436,
2022-02-28 13:30:00,147.8728446398095,
2022-02-28 15:00:00,138.6950155721721,
