date,FT_FAM_2022_Q3,meta
2022-09-09 15:00:00,-7.425882385385904,
2022-09-09 15:30:30,-7.425882385385904,
2022-09-09 23:59:59,0.0,a
2022-09-12 00:00:00,-10.906227302130887,
2022-09-12 10:00:00,49.98065737264723,
2022-09-12 10:30:00,48.92524496010801,
2022-09-12 12:00:00,56.20891354765591,
2022-09-12 13:30:00,71.96208757163407,
2022-09-12 15:00:00,55.81908432938851,
2022-09-12 15:30:30,55.81908432938851,
2022-09-12 23:59:59,52.75659787959333,c
2022-09-13 00:00:00,43.19063742906143,
2022-09-13 10:00:00,28.064212041701353,
2022-09-13 10:30:00,15.570053083081831,
2022-09-13 12:00:00,28.957624053838906,
2022-09-13 13:30:00,36.95824116102264,
2022-09-13 15:00:00,25.544531996525123,
2022-09-13 15:30:30,25.544531996525123,
2022-09-13 23:59:59,22.24165209106198,c
2022-09-14 00:00:00,21.89882155513996,
2022-09-14 10:00:00,40.590424603594634,
2022-09-14 10:30:00,39.376649602637684,
2022-09-14 12:00:00,38.353118977254134,
2022-09-14 13:30:00,34.63951445497928,
2022-09-14 15:00:00,42.866942910402365,
2022-09-14 15:30:30,42.866942910402365,
2022-09-14 23:59:59,36.17241498646977,c
2022-09-15 00:00:00,63.933636064711216,
2022-09-15 10:00:00,54.731332378961,
2022-09-15 10:30:00,38.88340556734054,
2022-09-15 12:00:00,37.177398881216256,
2022-09-15 13:30:00,45.43832430670499,
2022-09-15 15:00:00,43.35500226132387,
2022-09-15 15:30:30,43.35500226132387,
2022-09-15 23:59:59,45.2392344081147,c
2022-09-16 00:00:00,32.11475884775767,
2022-09-16 10:00:00,72.09860479057016,
2022-09-16 10:30:00,57.47370444614652,
2022-09-16 12:00:00,63.03014187491673,
2022-09-16 13:30:00,89.340722796392,
2022-09-16 15:00:00,93.97965434621875,
2022-09-16 15:30:30,93.97965434621875,
2022-09-16 23:59:59,80.81155271119695,e
2022-09-19 00:00:00,92.35653442704842,
2022-09-19 10:00:00,46.53278327797381,
2022-09-19 10:30:00,43.744616788929996,
2022-09-19 12:00:00,45.81830291378368,
2022-09-19 13:30:00,39.545123383574044,
2022-09-19 15:00:00,34.87721425035982,
2022-09-19 15:30:30,34.87721425035982,
2022-09-19 23:59:59,35.76547110782283,c
2022-09-20 00:00:00,28.574885819762514,
2022-09-20 10:00:00,48.25480688803072,
2022-09-20 10:30:00,45.514300442857305,
2022-09-20 12:00:00,38.03964184117756,
2022-09-20 13:30:00,28.2046088797469,
2022-09-20 15:00:00,21.11001808810272,
2022-09-20 15:30:30,21.11001808810272,
2022-09-20 23:59:59,18.15543729306397,c
2022-09-21 00:00:00,-21.24385492542757,
2022-09-21 10:00:00,-7.64222769834349,
2022-09-21 10:30:00,-13.493689817958114,
2022-09-21 12:00:00,0.652258939609311,
2022-09-21 13:30:00,7.487168344543505,
2022-09-21 15:00:00,7.519876407883174,
2022-09-21 15:30:30,7.519876407883174,
2022-09-21 23:59:59,0.36742992777611505,c
2022-09-22 00:00:00,-27.429283037521813,
2022-09-22 10:00:00,7.466807675348008,
2022-09-22 10:30:00,4.496660042278762,
2022-09-22 12:00:00,39.8692642424388,
2022-09-22 13:30:00,37.24029667843962,
2022-09-22 15:00:00,51.99126346213741,
2022-09-22 15:30:30,51.99126346213741,
2022-09-22 23:59:59,48.45236324281922,c
2022-09-23 00:00:00,91.45818596243417,
2022-09-23 10:00:00,122.16338392398907,
2022-09-23 10:30:00,125.32045633321638,
2022-09-23 12:00:00,122.76095941664472,
2022-09-23 13:30:00,124.2663077299244,
2022-09-23 15:00:00,121.67075953138355,
2022-09-23 15:30:30,121.67075953138355,
2022-09-23 23:59:59,107.79607318204886,w
2022-09-26 00:00:00,115.48319096117284,
2022-09-26 10:00:00,114.85848548558864,
2022-09-26 10:30:00,96.13342232670854,
2022-09-26 12:00:00,104.21978496569618,
2022-09-26 13:30:00,117.7345015513994,
2022-09-26 15:00:00,120.25539051369287,
2022-09-26 15:30:30,120.25539051369287,
2022-09-26 23:59:59,117.21616706627445,c
2022-09-27 00:00:00,99.66650528838635,
2022-09-27 10:00:00,113.42310170201301,
2022-09-27 10:30:00,101.66836476093987,
2022-09-27 12:00:00,104.72367307808369,
2022-09-27 13:30:00,105.39439830293304,
2022-09-27 15:00:00,105.97149138497323,
2022-09-27 15:30:30,105.97149138497323,
2022-09-27 23:59:59,103.41306206452242,c
2022-09-28 00:00:00,95.97404299319429,
2022-09-28 10:00:00,85.74382025975318,
2022-09-28 10:30:00,79.75324851972371,
2022-09-28 12:00:00,60.75626004150226,
2022-09-28 13:30:00,58.95216140829345,
2022-09-28 15:00:00,56.70576494795827,
2022-09-28 15:30:30,56.70576494795827,
2022-09-28 23:59:59,52.57164837603579,c
2022-09-29 00:00:00,54.38898691731268,
2022-09-29 10:00:00,49.08766492781611,
2022-09-29 10:30:00,53.128111514518025,
2022-09-29 12:00:00,61.99149927416307,
2022-09-29 13:30:00,54.875538800082964,
2022-09-29 15:00:00,60.61154501021139,
2022-09-29 15:30:30,60.61154501021139,
2022-09-29 23:59:59,47.36248375536216,c
2022-09-30 00:00:00,68.82349298750614,
2022-09-30 10:00:00,43.5605120421284,
2022-09-30 10:30:00,44.18224426502171,
2022-09-30 12:00:00,22.373237724652498,
2022-09-30 13:30:00,23.062735563509193,
2022-09-30 15:00:00,25.841526531808682,
2022-09-30 15:30:30,25.841526531808682,
2022-09-30 23:59:59,10.149213530417143,w
