date,EU_FTSEUK_MIG_2022_Q4,meta
2022-11-30 04:00:00,138.99645207966773,
2022-11-30 06:00:00,100.0151573393191,
2022-11-30 08:00:00,13.313011557468599,
2022-11-30 10:30:00,-46.87671184655642,
2022-11-30 11:00:00,-28.14904960446256,
2022-11-30 23:59:59,0.0,a
2022-12-01 00:00:00,-50.39614388964037,
2022-12-01 03:30:00,-121.83341180089815,
2022-12-01 04:00:00,-123.78742903869397,
2022-12-01 06:00:00,-93.97856634900609,
2022-12-01 08:00:00,-49.04236017672929,
2022-12-01 10:30:00,-8.416006815731407,
2022-12-01 11:00:00,1.075114066418564,
2022-12-01 23:59:59,-28.047749736955893,c
2022-12-02 00:00:00,-0.26254740260674225,
2022-12-02 03:30:00,-12.76575677060282,
2022-12-02 04:00:00,-8.738754156980804,
2022-12-02 06:00:00,-31.89732577018799,
2022-12-02 08:00:00,-28.14867665780048,
2022-12-02 10:30:00,-21.854569927658304,
2022-12-02 11:00:00,-27.590225044134513,
2022-12-02 23:59:59,-44.31856623943304,w
2022-12-05 00:00:00,-46.41648371258566,
2022-12-05 03:30:00,-65.45377269368805,
2022-12-05 04:00:00,-35.26105469699519,
2022-12-05 06:00:00,-25.969733959802625,
2022-12-05 08:00:00,2.3519425341785336,
2022-12-05 10:30:00,-7.029435895638926,
2022-12-05 11:00:00,-9.472921693704166,
2022-12-05 23:59:59,6.369445267035871,c
2022-12-06 00:00:00,-5.964485227192654,
2022-12-06 03:30:00,-6.9338748880506955,
2022-12-06 04:00:00,-10.246748607286008,
2022-12-06 06:00:00,12.161243385518446,
2022-12-06 08:00:00,16.179388403748817,
2022-12-06 10:30:00,60.35017210849355,
2022-12-06 11:00:00,61.289676735384774,
2022-12-06 23:59:59,72.47124393315516,c
2022-12-07 00:00:00,45.49545138801295,
2022-12-07 03:30:00,5.1980727710715655,
2022-12-07 04:00:00,0.8159314295357945,
2022-12-07 06:00:00,-36.39062463722553,
2022-12-07 08:00:00,-40.644284821616566,
2022-12-07 10:30:00,-83.19403620963863,
2022-12-07 11:00:00,-92.1850635001897,
2022-12-07 23:59:59,-100.4709251016061,c
2022-12-08 00:00:00,-106.26411329579332,
2022-12-08 03:30:00,-78.47023755216719,
2022-12-08 04:00:00,-47.97161699286039,
2022-12-08 06:00:00,7.5601962770076625,
2022-12-08 08:00:00,7.003479998517378,
2022-12-08 10:30:00,-36.98952278426259,
2022-12-08 11:00:00,-47.170449607101546,
2022-12-08 23:59:59,-59.34996530877106,c
2022-12-09 00:00:00,-80.63293336306015,
2022-12-09 03:30:00,-122.2024382151235,
2022-12-09 04:00:00,-117.36103808132293,
2022-12-09 06:00:00,-126.14492190936244,
2022-12-09 08:00:00,-118.45682897266738,
2022-12-09 10:30:00,-94.70165437868627,
2022-12-09 11:00:00,-92.26197436650295,
2022-12-09 23:59:59,-96.1166017917501,w
2022-12-12 00:00:00,-118.19404757546567,
2022-12-12 03:30:00,-103.46686180097845,
2022-12-12 04:00:00,-104.69945811336765,
2022-12-12 06:00:00,-107.88922803964556,
2022-12-12 08:00:00,-116.39511325792046,
2022-12-12 10:30:00,-155.38946717952717,
2022-12-12 11:00:00,-182.4059551723633,
2022-12-12 23:59:59,-184.54285927163505,c
2022-12-13 00:00:00,-158.8166492694204,
2022-12-13 03:30:00,-177.09241631714053,
2022-12-13 04:00:00,-174.62187655447906,
2022-12-13 06:00:00,-187.10535348560848,
2022-12-13 08:00:00,-230.4604224513339,
2022-12-13 10:30:00,-274.661051345807,
2022-12-13 11:00:00,-283.0157279633104,
2022-12-13 23:59:59,-282.49010078349374,c
2022-12-14 00:00:00,-312.4707996283562,
2022-12-14 03:30:00,-309.3251182384611,
2022-12-14 04:00:00,-321.33221786586523,
2022-12-14 06:00:00,-299.76589115277966,
2022-12-14 08:00:00,-293.3564648910874,
2022-12-14 10:30:00,-271.9556626351882,
2022-12-14 11:00:00,-260.5444949701407,
2022-12-14 23:59:59,-274.0264583656706,c
2022-12-15 00:00:00,-245.40110144497976,
2022-12-15 03:30:00,-246.1161941233347,
2022-12-15 04:00:00,-241.54659527468039,
2022-12-15 06:00:00,-266.68523663572546,
2022-12-15 08:00:00,-221.77721246393935,
2022-12-15 10:30:00,-235.50165210790146,
2022-12-15 11:00:00,-217.77302901578082,
2022-12-15 23:59:59,-179.40512143952424,c
2022-12-16 00:00:00,-178.74425360713485,
2022-12-16 03:30:00,-222.99785340397534,
2022-12-16 04:00:00,-284.50785896931325,
2022-12-16 06:00:00,-192.5526779242332,
2022-12-16 08:00:00,-289.4688631961865,
2022-12-16 10:30:00,-264.65299742012894,
2022-12-16 11:00:00,-236.90081661895033,
2022-12-16 23:59:59,-195.32227742256055,e
2022-12-19 00:00:00,-197.56273475929288,
2022-12-19 03:30:00,-193.41442748448185,
2022-12-19 04:00:00,-166.11553315866672,
2022-12-19 06:00:00,-110.98037507867275,
2022-12-19 08:00:00,-72.621713594104,
2022-12-19 10:30:00,-45.36601143976486,
2022-12-19 11:00:00,-61.53311272331234,
2022-12-19 23:59:59,-47.02790086805862,c
2022-12-20 00:00:00,-24.922451826528913,
2022-12-20 03:30:00,-11.4054103649828,
2022-12-20 04:00:00,3.5316097625482143,
2022-12-20 06:00:00,30.47678581042487,
2022-12-20 08:00:00,19.103533379689225,
2022-12-20 10:30:00,25.334113567221493,
2022-12-20 11:00:00,-3.595406422128235,
2022-12-20 23:59:59,17.909722232200693,c
2022-12-21 00:00:00,6.641321183200034,
2022-12-21 03:30:00,-18.6785570615325,
2022-12-21 04:00:00,-12.545754576258332,
2022-12-21 06:00:00,1.0365972247768696,
2022-12-21 08:00:00,-2.9527484218688187,
2022-12-21 10:30:00,1.594641943689112,
2022-12-21 11:00:00,24.02491167860194,
2022-12-21 23:59:59,43.861801522987435,c
2022-12-22 00:00:00,48.61165498588525,
2022-12-22 03:30:00,8.616215862064792,
2022-12-22 04:00:00,27.98538648616477,
2022-12-22 06:00:00,4.947065989296334,
2022-12-22 08:00:00,12.167867311644386,
2022-12-22 10:30:00,-13.424461216345208,
2022-12-22 11:00:00,5.933848173487377,
2022-12-22 23:59:59,14.645680419963355,c
2022-12-23 00:00:00,58.54858851979316,
2022-12-23 03:30:00,45.78305034877076,
2022-12-23 04:00:00,40.42864855534458,
2022-12-23 06:00:00,37.08149251468444,
2022-12-23 08:00:00,37.08149251468444,
2022-12-23 10:30:00,37.08149251468444,
2022-12-23 11:00:00,37.08149251468444,
2022-12-23 23:59:59,53.67691925190593,w
2022-12-26 00:00:00,53.67691925190593,
2022-12-26 03:30:00,53.67691925190593,
2022-12-26 04:00:00,53.67691925190593,
2022-12-26 06:00:00,53.67691925190593,
2022-12-26 08:00:00,53.67691925190593,
2022-12-26 10:30:00,53.67691925190593,
2022-12-26 11:00:00,53.67691925190593,
2022-12-26 23:59:59,53.67691925190593,c
2022-12-27 00:00:00,53.67691925190593,
2022-12-27 03:30:00,53.67691925190593,
2022-12-27 04:00:00,53.67691925190593,
2022-12-27 06:00:00,53.67691925190593,
2022-12-27 08:00:00,53.67691925190593,
2022-12-27 10:30:00,53.67691925190593,
2022-12-27 11:00:00,53.67691925190593,
2022-12-27 23:59:59,53.67691925190593,c
2022-12-28 00:00:00,94.66793195405626,
2022-12-28 03:30:00,51.97518807619235,
2022-12-28 04:00:00,66.69919779546171,
2022-12-28 06:00:00,65.15035522042785,
2022-12-28 08:00:00,61.427997560971335,
2022-12-28 10:30:00,50.004833527054416,
2022-12-28 11:00:00,61.36238283938292,
2022-12-28 23:59:59,33.31605743333125,c
2022-12-29 00:00:00,23.570885015261638,
2022-12-29 03:30:00,56.913798128423196,
2022-12-29 04:00:00,82.8099713873753,
2022-12-29 06:00:00,74.73884418174111,
2022-12-29 08:00:00,66.57224500305938,
2022-12-29 10:30:00,34.27882902305919,
2022-12-29 11:00:00,30.742514425678564,
2022-12-29 23:59:59,35.12648812205066,c
2022-12-30 00:00:00,33.08729958398112,
2022-12-30 03:30:00,46.31030106193498,
2022-12-30 04:00:00,42.92176117430381,
2022-12-30 06:00:00,45.2953953985043,
2022-12-30 08:00:00,45.2953953985043,
2022-12-30 10:30:00,45.2953953985043,
2022-12-30 11:00:00,45.2953953985043,
2022-12-30 23:59:59,70.94581693528403,w
