date,EU_FTSEUK_MCX_2023_Q1,meta
2023-02-08 00:00:00,-560.549737251331,
2023-02-08 03:30:00,-597.5141278910205,
2023-02-08 04:00:00,-513.4468569610863,
2023-02-08 06:00:00,-548.164832866335,
2023-02-08 08:00:00,-534.5267281582028,
2023-02-08 10:30:00,-531.5387599839896,
2023-02-08 11:00:00,-487.16450979354886,
2023-02-08 23:59:59,-522.7847841866942,c
2023-02-09 00:00:00,-460.36713144824444,
2023-02-09 03:30:00,-448.27645488623875,
2023-02-09 04:00:00,-451.6316255668935,
2023-02-09 06:00:00,-462.9814694417546,
2023-02-09 08:00:00,-472.05063516060545,
2023-02-09 10:30:00,-484.15327104982407,
2023-02-09 11:00:00,-494.7207934389371,
2023-02-09 23:59:59,-485.64539907673225,c
2023-02-10 00:00:00,-470.0873022450396,
2023-02-10 03:30:00,-467.1887449996493,
2023-02-10 04:00:00,-462.9478229236065,
2023-02-10 06:00:00,-503.35976851268424,
2023-02-10 08:00:00,-556.6464925588634,
2023-02-10 10:30:00,-452.54260621132835,
2023-02-10 11:00:00,-464.1809381017956,
2023-02-10 23:59:59,-460.4966224753143,w
2023-02-13 00:00:00,-493.63072190276307,
2023-02-13 03:30:00,-467.7738400572034,
2023-02-13 04:00:00,-463.100708881243,
2023-02-13 06:00:00,-469.96948155484006,
2023-02-13 08:00:00,-410.7316236884053,
2023-02-13 10:30:00,-411.9537538302311,
2023-02-13 11:00:00,-402.4593617024311,
2023-02-13 23:59:59,-462.46605905679735,c
2023-02-14 00:00:00,-437.9489981596589,
2023-02-14 03:30:00,-426.52852948620693,
2023-02-14 04:00:00,-423.1039072294834,
2023-02-14 06:00:00,-350.06021639486517,
2023-02-14 08:00:00,-410.5896616959717,
2023-02-14 10:30:00,-395.7667210632062,
2023-02-14 11:00:00,-452.13796895025644,
2023-02-14 23:59:59,-494.1146595708078,c
2023-02-15 00:00:00,-476.2679453562341,
2023-02-15 03:30:00,-460.29463620086153,
2023-02-15 04:00:00,-454.8751560246601,
2023-02-15 06:00:00,-443.5278350397666,
2023-02-15 08:00:00,-466.67051737455495,
