date,EU_SPYW_2021_Q2,meta
2021-05-21 00:00:00,-1.0696342080512409,
2021-05-21 03:30:00,1.4789382849584172,
2021-05-21 04:00:00,0.20924746771436276,
2021-05-21 06:00:00,-2.9076934050876275,
2021-05-21 08:00:00,-10.696956401569025,
2021-05-21 10:30:00,-5.877044389125558,
2021-05-21 11:00:00,-12.071655999716029,
2021-05-21 23:59:59,-12.101451226759025,w
2021-05-24 00:00:00,-11.297238887328035,
2021-05-24 03:30:00,-7.200332783225633,
2021-05-24 04:00:00,-0.46197437378299355,
2021-05-24 06:00:00,-0.4756059420087695,
2021-05-24 08:00:00,4.451151076539929,
2021-05-24 10:30:00,-0.017717912502689614,
2021-05-24 11:00:00,-0.5215190462708961,
2021-05-24 23:59:59,-3.729578894242138,c
2021-05-25 00:00:00,-19.201577620797195,
2021-05-25 03:30:00,-13.789204874667348,
2021-05-25 04:00:00,-15.142742790542343,
2021-05-25 06:00:00,-9.933477462192513,
2021-05-25 08:00:00,-6.944611759317297,
2021-05-25 10:30:00,-3.7223223728260564,
2021-05-25 11:00:00,0.13831952888574506,
2021-05-25 23:59:59,7.063060744642655,c
2021-05-26 00:00:00,10.518114043783555,
2021-05-26 03:30:00,21.58164687177549,
2021-05-26 04:00:00,16.757844057660748,
2021-05-26 06:00:00,11.77378633623482,
2021-05-26 08:00:00,3.9816600542957303,
2021-05-26 10:30:00,8.75053430192537,
2021-05-26 11:00:00,2.8815819302026284,
2021-05-26 23:59:59,1.3636424997217205,c
2021-05-27 00:00:00,34.778706274854244,
2021-05-27 03:30:00,42.10184025048244,
2021-05-27 04:00:00,34.63048576377213,
2021-05-27 06:00:00,33.56954595255155,
2021-05-27 08:00:00,42.047255303797385,
2021-05-27 10:30:00,30.843537721724886,
2021-05-27 11:00:00,37.42880233957425,
2021-05-27 23:59:59,43.55141589338285,c
2021-05-28 00:00:00,40.187119603392546,
2021-05-28 03:30:00,20.531212509005968,
2021-05-28 04:00:00,31.45719443102479,
2021-05-28 06:00:00,30.12256037685114,
2021-05-28 08:00:00,33.10708509269176,
2021-05-28 10:30:00,33.99309687201048,
2021-05-28 11:00:00,32.387329746580406,
2021-05-28 23:59:59,23.592007906883282,w
2021-05-31 00:00:00,23.748450665473968,
2021-05-31 03:30:00,20.34484578182088,
2021-05-31 04:00:00,22.846401913974148,
2021-05-31 06:00:00,38.48429577861782,
2021-05-31 08:00:00,36.9306421793068,
2021-05-31 10:30:00,32.80738612954548,
2021-05-31 11:00:00,32.81465333845841,
2021-05-31 23:59:59,32.17190288903669,c
2021-06-01 00:00:00,34.746191290540594,
2021-06-01 03:30:00,13.360251177659734,
2021-06-01 04:00:00,10.03459539834654,
2021-06-01 06:00:00,3.976398653081958,
2021-06-01 08:00:00,-4.821247404009682,
