date,EU_SPYW_2021_Q2,meta
2021-06-01 10:30:00,-5.186435855933155,
2021-06-01 11:00:00,6.380802777028691,
2021-06-01 23:59:59,9.348774034500707,c
2021-06-02 00:00:00,4.279741450022527,
2021-06-02 03:30:00,-4.336489231744338,
2021-06-02 04:00:00,-8.887589063692246,
2021-06-02 06:00:00,-13.994076767279523,
2021-06-02 08:00:00,-11.151020760079405,
2021-06-02 10:30:00,-20.820641647693037,
2021-06-02 11:00:00,-23.107397219489428,
2021-06-02 23:59:59,-24.503327437303483,c
2021-06-03 00:00:00,-13.1652238011971,
2021-06-03 03:30:00,-15.260000053571446,
2021-06-03 04:00:00,-13.120077872133038,
2021-06-03 06:00:00,-20.791886967133223,
2021-06-03 08:00:00,-10.633473937287249,
2021-06-03 10:30:00,-23.251733135550523,
2021-06-03 11:00:00,-31.470794245095874,
2021-06-03 23:59:59,-26.475983658434586,c
2021-06-04 00:00:00,-23.93028714721072,
2021-06-04 03:30:00,-17.592086865791543,
2021-06-04 04:00:00,-22.9253883393161,
2021-06-04 06:00:00,-22.01031093440764,
2021-06-04 08:00:00,-22.223778929850937,
2021-06-04 10:30:00,-28.501773760278184,
2021-06-04 11:00:00,-32.89820666590754,
2021-06-04 23:59:59,-31.07030037572747,w
2021-06-07 00:00:00,-21.43659335827249,
2021-06-07 03:30:00,-27.349674430659547,
2021-06-07 04:00:00,-27.990857803989968,
2021-06-07 06:00:00,-31.95526468333486,
2021-06-07 08:00:00,-39.24273644719062,
2021-06-07 10:30:00,-32.87866031778492,
2021-06-07 11:00:00,-30.992235802665903,
2021-06-07 23:59:59,-25.76383790539444,c
2021-06-08 00:00:00,-26.950917249741565,
2021-06-08 03:30:00,-4.898495992991116,
2021-06-08 04:00:00,0.325234026679027,
2021-06-08 06:00:00,-5.344715387481756,
2021-06-08 08:00:00,-12.106142743553221,
2021-06-08 10:30:00,-10.80681393744112,
2021-06-08 11:00:00,-10.161771278816218,
2021-06-08 23:59:59,-6.949609525799417,c
2021-06-09 00:00:00,-1.147612028298738,
2021-06-09 03:30:00,-4.725930366227658,
2021-06-09 04:00:00,-3.3188051227716073,
2021-06-09 06:00:00,3.666460421764839,
2021-06-09 08:00:00,1.7684722316066654,
2021-06-09 10:30:00,9.552469412814617,
2021-06-09 11:00:00,1.9051888969667061,
2021-06-09 23:59:59,0.40711286711456296,c
2021-06-10 00:00:00,-0.3321163436589245,
2021-06-10 03:30:00,12.654934717332537,
2021-06-10 04:00:00,12.114759963004019,
2021-06-10 06:00:00,-2.0723106905812188,
2021-06-10 08:00:00,-1.116109284622155,
2021-06-10 10:30:00,-12.94727628864797,
2021-06-10 11:00:00,-4.53528773091773,
2021-06-10 23:59:59,-9.981672191789016,c
2021-06-11 00:00:00,-10.614299074602911,
2021-06-11 03:30:00,-14.04663604111795,
2021-06-11 04:00:00,-9.844307072079971,
2021-06-11 06:00:00,-16.718924692049654,
2021-06-11 08:00:00,-18.497238298501998,
2021-06-11 10:30:00,4.247599089868345,
2021-06-11 11:00:00,6.452022523603262,
2021-06-11 23:59:59,0.0,a
2021-06-14 00:00:00,8.004800564884704,
2021-06-14 03:30:00,66.00223872294993,
2021-06-14 04:00:00,78.57473189903124,
2021-06-14 06:00:00,70.16462077595747,
2021-06-14 08:00:00,79.67808113965663,
2021-06-14 10:30:00,67.78502459627731,
2021-06-14 11:00:00,62.23289046123432,
2021-06-14 23:59:59,63.66994844637719,c
2021-06-15 00:00:00,67.01363366878184,
2021-06-15 03:30:00,74.3978027627266,
2021-06-15 04:00:00,83.93466973404384,
2021-06-15 06:00:00,90.86091880485577,
2021-06-15 08:00:00,88.40501117713268,
2021-06-15 10:30:00,77.68984320987778,
2021-06-15 11:00:00,73.74317923831723,
2021-06-15 23:59:59,68.00574130976321,c
2021-06-16 00:00:00,68.69424214262477,
2021-06-16 03:30:00,82.83806484171942,
2021-06-16 04:00:00,90.3697320904489,
2021-06-16 06:00:00,95.38673052079389,
2021-06-16 08:00:00,93.51725823780401,
2021-06-16 10:30:00,97.42815449973608,
2021-06-16 11:00:00,94.1687541856881,
2021-06-16 23:59:59,92.21055342857966,c
2021-06-17 00:00:00,86.30345159469476,
2021-06-17 03:30:00,63.591042708325574,
2021-06-17 04:00:00,74.40486488961653,
2021-06-17 06:00:00,74.14087926603747,
2021-06-17 08:00:00,75.86363213344697,
2021-06-17 10:30:00,80.46962066608052,
2021-06-17 11:00:00,80.48686089228033,
2021-06-17 23:59:59,91.14760335187924,c
2021-06-18 00:00:00,93.65994031124274,
2021-06-18 03:30:00,90.7296801323701,
2021-06-18 04:00:00,86.8610148461213,
2021-06-18 06:00:00,97.06531777143249,
2021-06-18 08:00:00,107.04252632166947,
2021-06-18 10:30:00,114.93276730551776,
2021-06-18 11:00:00,118.57288088584104,
2021-06-18 23:59:59,98.29569258247341,e
2021-06-21 00:00:00,110.81865065728044,
2021-06-21 03:30:00,116.03195805495693,
2021-06-21 04:00:00,111.85017919962536,
2021-06-21 06:00:00,84.59605284994728,
2021-06-21 08:00:00,74.15037708372506,
2021-06-21 10:30:00,55.521320186855064,
2021-06-21 11:00:00,64.14483023336606,
2021-06-21 23:59:59,67.05126526923522,c
2021-06-22 00:00:00,61.620242146687076,
2021-06-22 03:30:00,55.19904258130828,
2021-06-22 04:00:00,67.80508862998676,
2021-06-22 06:00:00,68.66208982772162,
2021-06-22 08:00:00,70.02121526057203,
2021-06-22 10:30:00,71.5384546467568,
2021-06-22 11:00:00,69.01461506743152,
2021-06-22 23:59:59,67.1969093868318,c
2021-06-23 00:00:00,54.66820965376036,
2021-06-23 03:30:00,46.02968731017802,
2021-06-23 04:00:00,40.28536238086298,
2021-06-23 06:00:00,35.74177427361292,
2021-06-23 08:00:00,34.43677103924034,
2021-06-23 10:30:00,15.879347868075627,
2021-06-23 11:00:00,21.459015247171862,
2021-06-23 23:59:59,26.299024833010776,c
2021-06-24 00:00:00,18.222877868275873,
2021-06-24 03:30:00,12.010003527320464,
2021-06-24 04:00:00,8.550337630352317,
2021-06-24 06:00:00,-2.368682613436647,
2021-06-24 08:00:00,-6.556692692376998,
2021-06-24 10:30:00,-8.925560986784944,
2021-06-24 11:00:00,-3.2906915514248567,
2021-06-24 23:59:59,-5.137358355828212,c
2021-06-25 00:00:00,1.6105272465093776,
2021-06-25 03:30:00,-7.136449885267666,
2021-06-25 04:00:00,-10.443076962134683,
2021-06-25 06:00:00,-10.39906317308953,
2021-06-25 08:00:00,-19.908715695150818,
2021-06-25 10:30:00,-16.647341728415256,
2021-06-25 11:00:00,-22.64982288406037,
2021-06-25 23:59:59,-20.511080257142623,w
2021-06-28 00:00:00,-24.771142225863116,
2021-06-28 03:30:00,-35.333003164487366,
2021-06-28 04:00:00,-23.714699713362904,
2021-06-28 06:00:00,-19.026522907257174,
2021-06-28 08:00:00,-21.718098369569873,
2021-06-28 10:30:00,-1.4906053061905027,
2021-06-28 11:00:00,-2.4366542465974703,
2021-06-28 23:59:59,4.1247277621693,c
2021-06-29 00:00:00,2.832933211980503,
2021-06-29 03:30:00,-7.273172467959284,
2021-06-29 04:00:00,-10.293950536361194,
2021-06-29 06:00:00,-12.996989677770216,
2021-06-29 08:00:00,-8.791330480774832,
2021-06-29 10:30:00,-22.799649976081866,
2021-06-29 11:00:00,-14.162147115058133,
2021-06-29 23:59:59,-12.732429736970971,c
2021-06-30 00:00:00,-6.638603742120097,
2021-06-30 03:30:00,-21.898809557501636,
2021-06-30 04:00:00,-19.422032750678625,
2021-06-30 06:00:00,-11.137854123551563,
2021-06-30 08:00:00,-31.349501000010207,
2021-06-30 10:30:00,-29.33133453322057,
2021-06-30 11:00:00,-18.72958681693757,
2021-06-30 23:59:59,-9.022264714031735,c
2021-07-01 00:00:00,-11.116110075216682,
2021-07-01 03:30:00,-34.02234612636329,
2021-07-01 04:00:00,-38.52467875076405,
2021-07-01 06:00:00,-40.15440312962471,
2021-07-01 08:00:00,-42.67769413780354,
2021-07-01 10:30:00,-34.65277824680197,
2021-07-01 11:00:00,-34.75378070264088,
2021-07-01 23:59:59,-30.80382717517068,c
2021-07-02 00:00:00,-36.14073359528544,
2021-07-02 03:30:00,-33.34316223598728,
2021-07-02 04:00:00,-33.97553342157647,
2021-07-02 06:00:00,-25.957971454209087,
2021-07-02 08:00:00,-27.44643507427662,
2021-07-02 10:30:00,-25.993482927689058,
2021-07-02 11:00:00,-26.831869977181782,
2021-07-02 23:59:59,-27.872306588916047,w
