date,REM_2022_Q2,meta
2022-06-23 10:00:00,29.496077135181075,
2022-06-23 10:30:00,27.079083660540203,
2022-06-23 12:00:00,4.357263515622819,
2022-06-23 13:30:00,20.87459919651272,
2022-06-23 15:00:00,-0.5562896225652594,
2022-06-23 15:30:30,-0.5562896225652594,
2022-06-23 23:59:59,-2.841604508281975,c
2022-06-24 00:00:00,-7.199033549678866,
2022-06-24 10:00:00,-41.71356946840878,
2022-06-24 10:30:00,-57.48552298126762,
2022-06-24 12:00:00,-52.840872154195154,
2022-06-24 13:30:00,-31.128042637792575,
2022-06-24 15:00:00,-43.5855213573241,
2022-06-24 15:30:30,-43.5855213573241,
2022-06-24 23:59:59,-89.6016992160556,w
2022-06-27 00:00:00,-94.03795003856689,
2022-06-27 10:00:00,-86.24032734330119,
2022-06-27 10:30:00,-91.00404112553608,
2022-06-27 12:00:00,-99.35583327120767,
2022-06-27 13:30:00,-100.81918829105797,
2022-06-27 15:00:00,-105.52879364414008,
2022-06-27 15:30:30,-105.52879364414008,
2022-06-27 23:59:59,-95.66364145795106,c
2022-06-28 00:00:00,-108.79958028369845,
2022-06-28 10:00:00,-134.90661531257308,
2022-06-28 10:30:00,-104.15931661933206,
2022-06-28 12:00:00,-102.87837508217117,
2022-06-28 13:30:00,-75.72405536670807,
2022-06-28 15:00:00,-65.06756015135144,
2022-06-28 15:30:30,-65.06756015135144,
2022-06-28 23:59:59,-67.44667497221818,c
2022-06-29 00:00:00,-51.7621739650733,
2022-06-29 10:00:00,-86.0606717576093,
2022-06-29 10:30:00,-88.67833146280222,
2022-06-29 12:00:00,-80.99268430351276,
2022-06-29 13:30:00,-104.37080559367178,
2022-06-29 15:00:00,-122.34738510676294,
2022-06-29 15:30:30,-122.34738510676294,
2022-06-29 23:59:59,-132.51060434441112,c
2022-06-30 00:00:00,-143.97189837104884,
2022-06-30 10:00:00,-107.69451817398655,
2022-06-30 10:30:00,-98.28054404095917,
2022-06-30 12:00:00,-113.43063854079256,
2022-06-30 13:30:00,-101.03069700337198,
2022-06-30 15:00:00,-83.42075903205055,
2022-06-30 15:30:30,-83.42075903205055,
2022-06-30 23:59:59,-84.1004818574315,c
2022-07-01 00:00:00,-77.98734155528084,
2022-07-01 10:00:00,-112.59669298565262,
2022-07-01 10:30:00,-113.24651002722416,
2022-07-01 12:00:00,-97.89908821009243,
2022-07-01 13:30:00,-119.73747497666994,
2022-07-01 15:00:00,-122.75151120418036,
2022-07-01 15:30:30,-122.75151120418036,
2022-07-01 23:59:59,-109.39560242012237,w
