date,AS_MSCI_EM_REST_AD_2022_Q3,meta
2022-07-21 00:00:00,-256.9302337283016,
2022-07-21 01:00:00,-245.8018118179643,
2022-07-21 02:30:00,-245.8018118179643,
2022-07-21 03:00:00,-245.8018118179643,
2022-07-21 18:30:00,-245.8018118179643,
2022-07-21 20:00:00,-245.8018118179643,
2022-07-21 23:00:00,-200.49528285444833,
2022-07-21 23:59:59,-200.96254655047144,c
2022-07-22 00:00:00,-204.75710284677987,
2022-07-22 01:00:00,-220.40364163640615,
2022-07-22 02:30:00,-220.40364163640615,
2022-07-22 03:00:00,-220.40364163640615,
2022-07-22 18:30:00,-220.40364163640615,
2022-07-22 20:00:00,-220.40364163640615,
2022-07-22 23:00:00,-220.40364163640615,
2022-07-22 23:59:59,-220.16802319665052,w
2022-07-25 00:00:00,-194.4992084267465,
2022-07-25 01:00:00,-193.54499605012464,
2022-07-25 02:30:00,-193.54499605012464,
2022-07-25 03:00:00,-193.54499605012464,
2022-07-25 18:30:00,-193.54499605012464,
2022-07-25 20:00:00,-193.54499605012464,
2022-07-25 23:00:00,-208.34481623048154,
2022-07-25 23:59:59,-204.57583807287736,c
2022-07-26 00:00:00,-217.16048827183508,
2022-07-26 01:00:00,-239.0936882514827,
2022-07-26 02:30:00,-239.0936882514827,
2022-07-26 03:00:00,-239.0936882514827,
2022-07-26 18:30:00,-239.0936882514827,
2022-07-26 20:00:00,-239.0936882514827,
2022-07-26 23:00:00,-234.7801547883802,
2022-07-26 23:59:59,-244.77581112805646,c
2022-07-27 00:00:00,-255.6892867038679,
2022-07-27 01:00:00,-262.19736867276634,
2022-07-27 02:30:00,-262.19736867276634,
2022-07-27 03:00:00,-262.19736867276634,
2022-07-27 18:30:00,-262.19736867276634,
2022-07-27 20:00:00,-262.19736867276634,
2022-07-27 23:00:00,-272.12403698692765,
2022-07-27 23:59:59,-267.474256379351,c
2022-07-28 00:00:00,-239.9838303227439,
2022-07-28 01:00:00,-241.97435055575394,
2022-07-28 02:30:00,-241.97435055575394,
2022-07-28 03:00:00,-241.97435055575394,
