date,EU_MDAX_2022_Q1,meta
2022-02-03 00:00:00,-423.5478415580218,
2022-02-03 03:30:00,-414.07109983686223,
2022-02-03 04:00:00,-426.0541467704754,
2022-02-03 06:00:00,-427.653295746199,
2022-02-03 08:00:00,-454.492417338938,
2022-02-03 10:30:00,-433.74770005723326,
2022-02-03 11:00:00,-422.800861778887,
2022-02-03 23:59:59,-387.5040659520789,c
2022-02-04 00:00:00,-362.28891097746214,
2022-02-04 03:30:00,-310.85852221126925,
2022-02-04 04:00:00,-295.6390164343061,
2022-02-04 06:00:00,-279.74394584593756,
2022-02-04 08:00:00,-258.716480615868,
2022-02-04 10:30:00,-305.3026138491673,
2022-02-04 11:00:00,-322.1761757011386,
2022-02-04 23:59:59,-321.6764888884443,w
2022-02-07 00:00:00,-354.3457482710712,
2022-02-07 03:30:00,-412.30775402519293,
2022-02-07 04:00:00,-391.67700196780254,
2022-02-07 06:00:00,-346.94914247060956,
2022-02-07 08:00:00,-265.8879770089725,
2022-02-07 10:30:00,-262.57449143604344,
2022-02-07 11:00:00,-245.51267902013979,
2022-02-07 23:59:59,-218.25765023600707,c
2022-02-08 00:00:00,-233.80274427536278,
2022-02-08 03:30:00,-211.4250233838411,
2022-02-08 04:00:00,-219.47035155461754,
2022-02-08 06:00:00,-193.1506531626162,
2022-02-08 08:00:00,-154.37052998521654,
2022-02-08 10:30:00,-198.13730656925827,
2022-02-08 11:00:00,-241.61157105123561,
2022-02-08 23:59:59,-237.96871336896288,c
2022-02-09 00:00:00,-279.90022174022397,
2022-02-09 03:30:00,-259.87471325841784,
2022-02-09 04:00:00,-247.76350942669114,
2022-02-09 06:00:00,-229.41745951993835,
2022-02-09 08:00:00,-224.32232322097752,
2022-02-09 10:30:00,-181.27506633267035,
2022-02-09 11:00:00,-166.89652707382015,
2022-02-09 23:59:59,-122.73126292171696,c
2022-02-10 00:00:00,-127.44451221017107,
2022-02-10 03:30:00,-73.31933974747153,
2022-02-10 04:00:00,-129.9390965022235,
2022-02-10 06:00:00,-151.30749288266247,
2022-02-10 08:00:00,-195.90942754254206,
2022-02-10 10:30:00,-152.73822612350932,
2022-02-10 11:00:00,-174.49462825036994,
2022-02-10 23:59:59,-181.54428215987764,c
2022-02-11 00:00:00,-181.54428215987764,
2022-02-11 03:30:00,-181.54428215987764,
2022-02-11 04:00:00,-181.54428215987764,
2022-02-11 06:00:00,-181.54428215987764,
2022-02-11 08:00:00,-181.54428215987764,
2022-02-11 10:30:00,-181.54428215987764,
2022-02-11 11:00:00,-181.54428215987764,
2022-02-11 23:59:59,-181.54428215987764,w
2022-02-14 00:00:00,-158.08599496928105,
2022-02-14 03:30:00,-173.75936451299913,
2022-02-14 04:00:00,-195.8677680648325,
2022-02-14 06:00:00,-148.73390142059338,
2022-02-14 08:00:00,-181.41974036040324,
2022-02-14 10:30:00,-204.2191355183943,
2022-02-14 11:00:00,-226.28675698281018,
2022-02-14 23:59:59,-250.01344085553978,c
2022-02-15 00:00:00,-269.7539620439486,
2022-02-15 03:30:00,-236.3680435755973,
2022-02-15 04:00:00,-212.04163286197877,
2022-02-15 06:00:00,-223.7174915615285,
2022-02-15 08:00:00,-210.16174786703868,
2022-02-15 10:30:00,-218.73464381655413,
2022-02-15 11:00:00,-215.17621620972432,
2022-02-15 23:59:59,-219.9794233294499,c
2022-02-16 00:00:00,-219.5942849200469,
2022-02-16 03:30:00,-175.03162698316441,
2022-02-16 04:00:00,-174.10142051203775,
2022-02-16 06:00:00,-180.6286769392416,
2022-02-16 08:00:00,-185.817295034283,
2022-02-16 10:30:00,-164.56273755638927,
2022-02-16 11:00:00,-186.30178954938197,
2022-02-16 23:59:59,-175.73457094285686,c
2022-02-17 00:00:00,-220.6986728808747,
2022-02-17 03:30:00,-241.4987875685672,
2022-02-17 04:00:00,-242.56436263056844,
2022-02-17 06:00:00,-190.77331609376165,
2022-02-17 08:00:00,-142.19124185208398,
2022-02-17 10:30:00,-136.01171394304583,
2022-02-17 11:00:00,-141.91572201996428,
2022-02-17 23:59:59,-147.4936000599514,c
2022-02-18 00:00:00,-136.46792031864334,
2022-02-18 03:30:00,-153.64890063642542,
2022-02-18 04:00:00,-114.35223494995284,
2022-02-18 06:00:00,-146.7792367890479,
2022-02-18 08:00:00,-106.72835529337476,
