date,US_MISC_2021_Q2,meta
2021-05-21 00:00:00,-264.03999334385213,
2021-05-21 10:00:00,-270.7836052652837,
2021-05-21 10:30:00,-277.4594577753108,
2021-05-21 12:00:00,-293.65595551119895,
2021-05-21 13:30:00,-301.5607780541939,
2021-05-21 15:00:00,-301.56564247938763,
2021-05-21 15:30:30,-301.56564247938763,
2021-05-21 23:59:59,-302.44936047574754,w
2021-05-24 00:00:00,-307.89685662152596,
2021-05-24 10:00:00,-302.4426616756358,
2021-05-24 10:30:00,-322.9400544991201,
2021-05-24 12:00:00,-313.5210918767957,
2021-05-24 13:30:00,-322.80369793363997,
2021-05-24 15:00:00,-324.0536823937506,
2021-05-24 15:30:30,-324.0536823937506,
2021-05-24 23:59:59,-321.4442544448367,c
2021-05-25 00:00:00,-306.5651837276531,
2021-05-25 10:00:00,-312.50529706875625,
2021-05-25 10:30:00,-306.53314796255484,
2021-05-25 12:00:00,-327.2532416405444,
2021-05-25 13:30:00,-312.5413089673166,
2021-05-25 15:00:00,-315.538402532364,
2021-05-25 15:30:30,-315.538402532364,
2021-05-25 23:59:59,-324.47497948451155,c
2021-05-26 00:00:00,-313.9654492093882,
2021-05-26 10:00:00,-278.0063180643441,
2021-05-26 10:30:00,-247.02435084861014,
2021-05-26 12:00:00,-241.98805747607236,
2021-05-26 13:30:00,-234.4820816078455,
2021-05-26 15:00:00,-230.76075766440738,
2021-05-26 15:30:30,-230.76075766440738,
2021-05-26 23:59:59,-244.67365433308316,c
2021-05-27 00:00:00,-223.5459039329778,
2021-05-27 10:00:00,-252.79322752977998,
2021-05-27 10:30:00,-245.8225186102614,
2021-05-27 12:00:00,-251.41758393266662,
2021-05-27 13:30:00,-246.71397325950312,
2021-05-27 15:00:00,-240.71615405617916,
2021-05-27 15:30:30,-240.71615405617916,m
2021-05-27 23:59:59,-228.56195030700587,c
2021-05-28 00:00:00,-231.95504220629067,
2021-05-28 10:00:00,-228.19121526930098,
2021-05-28 10:30:00,-245.13411716990703,
2021-05-28 12:00:00,-261.78004374486807,
