date,EU_FTSE_DM_SC_2022_Q2,meta
2022-04-29 11:00:00,97.53692605754757,
2022-04-29 23:59:59,96.88761998857547,w
2022-05-02 00:00:00,121.74505352064789,
2022-05-02 03:30:00,115.10729020212072,
2022-05-02 04:00:00,101.80261971380584,
2022-05-02 06:00:00,111.22092560562332,
2022-05-02 08:00:00,101.66089040759287,
2022-05-02 10:30:00,120.33197728675118,
2022-05-02 11:00:00,115.69266439047195,
2022-05-02 23:59:59,119.74606869031435,c
2022-05-03 00:00:00,128.11032850159427,
2022-05-03 03:30:00,97.66970515734151,
2022-05-03 04:00:00,65.73707377115939,
2022-05-03 06:00:00,80.26951458979744,
2022-05-03 08:00:00,62.77257455216128,
2022-05-03 10:30:00,43.590829201681714,
2022-05-03 11:00:00,39.17521228908849,
2022-05-03 23:59:59,28.813022364011715,c
2022-05-04 00:00:00,41.898635920811515,
2022-05-04 03:30:00,-16.363690447136094,
2022-05-04 04:00:00,10.292241000834252,
2022-05-04 06:00:00,-22.747344328648722,
2022-05-04 08:00:00,-14.775653569609403,
2022-05-04 10:30:00,-8.049738110601098,
2022-05-04 11:00:00,-8.441613396979292,
2022-05-04 23:59:59,17.033792880441624,c
2022-05-05 00:00:00,7.2914397108489055,
2022-05-05 03:30:00,28.305404979916347,
2022-05-05 04:00:00,48.67291779073096,
2022-05-05 06:00:00,87.16472785115994,
2022-05-05 08:00:00,58.2084823391954,
2022-05-05 10:30:00,12.97039252606055,
2022-05-05 11:00:00,22.53258174094225,
2022-05-05 23:59:59,35.44067521642728,c
2022-05-06 00:00:00,85.34947884642102,
2022-05-06 03:30:00,58.26742780926752,
2022-05-06 04:00:00,36.5855429285472,
2022-05-06 06:00:00,16.310918755857955,
2022-05-06 08:00:00,13.951076010733544,
2022-05-06 10:30:00,8.762679078839696,
2022-05-06 11:00:00,11.375472653441449,
2022-05-06 23:59:59,31.95334476227748,w
2022-05-09 00:00:00,71.92445116479638,
2022-05-09 03:30:00,-30.046187581796744,
2022-05-09 04:00:00,-24.478474703258172,
2022-05-09 06:00:00,-45.46120248495865,
2022-05-09 08:00:00,-50.385075539735055,
2022-05-09 10:30:00,-93.71585775657752,
2022-05-09 11:00:00,-88.96051135540853,
2022-05-09 23:59:59,-76.88554975161443,c
2022-05-10 00:00:00,-91.50156197100574,
2022-05-10 03:30:00,-59.25896985472326,
2022-05-10 04:00:00,-73.76495613036371,
2022-05-10 06:00:00,-90.86631340184357,
2022-05-10 08:00:00,-84.42712231884153,
2022-05-10 10:30:00,-98.99609664159598,
2022-05-10 11:00:00,-99.43005896387544,
2022-05-10 23:59:59,-101.27143381930884,c
2022-05-11 00:00:00,-99.76278208475259,
2022-05-11 03:30:00,-87.96598911807828,
2022-05-11 04:00:00,-103.57092657869748,
2022-05-11 06:00:00,-78.05265860715048,
2022-05-11 08:00:00,-118.887398089638,
2022-05-11 10:30:00,-122.56856621749463,
2022-05-11 11:00:00,-121.4107522729065,
2022-05-11 23:59:59,-148.61872398870779,c
2022-05-12 00:00:00,-126.93191162448011,
2022-05-12 03:30:00,-176.1265005485557,
2022-05-12 04:00:00,-211.67578168333895,
2022-05-12 06:00:00,-196.90813514979268,
2022-05-12 08:00:00,-210.15134193342672,
2022-05-12 10:30:00,-197.22117602560454,
2022-05-12 11:00:00,-174.36385212856763,
2022-05-12 23:59:59,-164.01000234949012,c
2022-05-13 00:00:00,-111.1641539985435,
2022-05-13 03:30:00,-75.58664403562335,
2022-05-13 04:00:00,-65.33675813173934,
2022-05-13 06:00:00,-73.29817962525175,
2022-05-13 08:00:00,-72.70093904697342,
2022-05-13 10:30:00,-58.22680192743553,
2022-05-13 11:00:00,-44.67074948825385,
2022-05-13 23:59:59,-56.80726074338634,w
2022-05-16 00:00:00,-45.133842801024315,
2022-05-16 03:30:00,-62.42300609269057,
2022-05-16 04:00:00,-16.6519101918731,
2022-05-16 06:00:00,-35.88253671556177,
2022-05-16 08:00:00,-18.766209027194407,
2022-05-16 10:30:00,-10.15567948214482,
2022-05-16 11:00:00,-11.497967851217737,
2022-05-16 23:59:59,-23.180336987466347,c
2022-05-17 00:00:00,-57.37458108855765,
2022-05-17 03:30:00,-166.5812278752177,
2022-05-17 04:00:00,-170.17312881369932,
2022-05-17 06:00:00,-143.740378387294,
2022-05-17 08:00:00,-144.19565205099363,
2022-05-17 10:30:00,-257.14864590741274,
2022-05-17 11:00:00,-229.9097374870644,
2022-05-17 23:59:59,-206.66193522193615,c
2022-05-18 00:00:00,-236.20718935658252,
2022-05-18 03:30:00,-209.40531608253278,
2022-05-18 04:00:00,-233.24828586244396,
2022-05-18 06:00:00,-263.69223298073643,
2022-05-18 08:00:00,-258.562618663374,
2022-05-18 10:30:00,-281.98278330670985,
