date,EU_SX5P_AD_2021_Q4,meta
2021-12-01 03:30:00,-139.2504776852702,
2021-12-01 04:00:00,-169.242663513533,
2021-12-01 06:00:00,-143.3258572218965,
2021-12-01 08:00:00,-128.49134072606512,
2021-12-01 10:30:00,-17.212078426274275,
2021-12-01 11:00:00,-11.679456974306959,
2021-12-01 23:59:59,0.0,a
2021-12-02 00:00:00,-84.67031582183881,
2021-12-02 03:30:00,-59.971988879226956,
2021-12-02 04:00:00,-24.17735303349309,
2021-12-02 06:00:00,-22.937126280747634,
2021-12-02 08:00:00,-74.18013981652712,
2021-12-02 10:30:00,-81.17783826513232,
2021-12-02 11:00:00,-87.80866342389663,
2021-12-02 23:59:59,-98.38996165404524,c
2021-12-03 00:00:00,-57.20574889658883,
2021-12-03 03:30:00,-18.01911563991507,
2021-12-03 04:00:00,-29.472343387153614,
2021-12-03 06:00:00,-39.88545790439002,
2021-12-03 08:00:00,-33.701056809097736,
2021-12-03 10:30:00,-87.14823935463528,
2021-12-03 11:00:00,-110.43535038764276,
2021-12-03 23:59:59,-122.60605965357718,w
2021-12-06 00:00:00,-85.22954869621844,
2021-12-06 03:30:00,-194.03878398553888,
2021-12-06 04:00:00,-164.8762366281021,
2021-12-06 06:00:00,-152.52167471454277,
2021-12-06 08:00:00,-140.8017870833205,
2021-12-06 10:30:00,-132.11186040975463,
2021-12-06 11:00:00,-149.56578998767645,
2021-12-06 23:59:59,-123.64720031350134,c
2021-12-07 00:00:00,-123.64720031350134,
2021-12-07 03:30:00,-13.202795803163099,
2021-12-07 04:00:00,-48.29436471326244,
2021-12-07 06:00:00,76.26177996018396,
2021-12-07 08:00:00,100.39663507042178,
2021-12-07 10:30:00,169.0206261452895,
2021-12-07 11:00:00,174.37429177252216,
2021-12-07 23:59:59,185.0813338560356,c
2021-12-08 00:00:00,247.81401279848433,
2021-12-08 03:30:00,242.24085311820818,
2021-12-08 04:00:00,226.24575072837342,
2021-12-08 06:00:00,116.2381768061091,
2021-12-08 08:00:00,142.22320316722107,
2021-12-08 10:30:00,147.623141080624,
2021-12-08 11:00:00,88.64014144041494,
2021-12-08 23:59:59,120.38824388923786,c
2021-12-09 00:00:00,129.48681517871182,
2021-12-09 03:30:00,142.15043345124877,
2021-12-09 04:00:00,85.53457500107243,
2021-12-09 06:00:00,39.5765290004465,
2021-12-09 08:00:00,11.67998168616532,
2021-12-09 10:30:00,22.126066900710157,
2021-12-09 11:00:00,29.195811338486237,
2021-12-09 23:59:59,26.150861683668154,c
2021-12-10 00:00:00,91.80711924869092,
2021-12-10 03:30:00,28.980575185458747,
2021-12-10 04:00:00,48.92617301400014,
2021-12-10 06:00:00,65.99085564897132,
2021-12-10 08:00:00,-4.02302984890548,
2021-12-10 10:30:00,63.57681837052769,
2021-12-10 11:00:00,83.75357145325825,
2021-12-10 23:59:59,37.52407579550709,w
2021-12-13 00:00:00,50.51522921090418,
2021-12-13 03:30:00,49.32413264430352,
2021-12-13 04:00:00,75.95195093366056,
2021-12-13 06:00:00,-0.29074836565359874,
2021-12-13 08:00:00,-6.686711313265732,
2021-12-13 10:30:00,-64.55538220079961,
2021-12-13 11:00:00,-51.17201453443249,
2021-12-13 23:59:59,-49.87133533644783,c
2021-12-14 00:00:00,-70.03168714316053,
2021-12-14 03:30:00,-138.96690938401616,
2021-12-14 04:00:00,-147.2195287539039,
2021-12-14 06:00:00,-174.10244383360623,
2021-12-14 08:00:00,-182.23273474300504,
2021-12-14 10:30:00,-199.72498401741586,
2021-12-14 11:00:00,-279.03452416997425,
2021-12-14 23:59:59,-275.4242929112538,c
2021-12-15 00:00:00,-262.4267696674565,
2021-12-15 03:30:00,-253.83376526242,
2021-12-15 04:00:00,-199.2077847712112,
2021-12-15 06:00:00,-131.8363545232187,
2021-12-15 08:00:00,-143.7916830893937,
2021-12-15 10:30:00,-140.43085552361254,
2021-12-15 11:00:00,-106.76658617799376,
2021-12-15 23:59:59,-125.2337766195019,c
2021-12-16 00:00:00,-58.96854248155705,
2021-12-16 03:30:00,-159.9396818025325,
2021-12-16 04:00:00,-135.94038344369847,
2021-12-16 06:00:00,-150.92522665106026,
2021-12-16 08:00:00,-126.02844733175198,
2021-12-16 10:30:00,-139.87384486455267,
2021-12-16 11:00:00,-160.8997906874729,
2021-12-16 23:59:59,-172.3617759986373,c
2021-12-17 00:00:00,-203.8719125974867,
2021-12-17 03:30:00,-178.34372045801138,
2021-12-17 04:00:00,-192.31288514250855,
2021-12-17 06:00:00,-295.0929557749955,
2021-12-17 08:00:00,-381.45689066438126,
2021-12-17 10:30:00,-498.5286041084478,
2021-12-17 11:00:00,-473.20305532496104,
2021-12-17 23:59:59,-504.19198333429404,e
2021-12-20 00:00:00,-587.0180699750085,
2021-12-20 03:30:00,-529.9448342853184,
2021-12-20 04:00:00,-441.08494573629514,
2021-12-20 06:00:00,-366.0888668367493,
2021-12-20 08:00:00,-362.80449483245184,
2021-12-20 10:30:00,-358.3463462315399,
2021-12-20 11:00:00,-347.29615867917437,
2021-12-20 23:59:59,-403.0742367704361,c
2021-12-21 00:00:00,-271.817105847545,
2021-12-21 03:30:00,-334.7061118015713,
2021-12-21 04:00:00,-314.16278110810026,
2021-12-21 06:00:00,-372.3720279593758,
2021-12-21 08:00:00,-388.9752375627563,
2021-12-21 10:30:00,-465.142893464591,
2021-12-21 11:00:00,-465.65937391862417,
2021-12-21 23:59:59,-407.9873391053429,c
2021-12-22 00:00:00,-394.33968313265177,
2021-12-22 03:30:00,-375.06082723309055,
2021-12-22 04:00:00,-341.8820184398496,
2021-12-22 06:00:00,-375.4683280088152,
2021-12-22 08:00:00,-391.9286962368951,
2021-12-22 10:30:00,-382.65436566846984,
2021-12-22 11:00:00,-348.4647860387431,
2021-12-22 23:59:59,-341.3572675720461,c
2021-12-23 00:00:00,-337.1320569350596,
2021-12-23 03:30:00,-390.89837280980237,
2021-12-23 04:00:00,-351.1615904719338,
2021-12-23 06:00:00,-338.3298249590912,
2021-12-23 08:00:00,-374.64948614998457,
2021-12-23 10:30:00,-321.42103060540376,
2021-12-23 11:00:00,-308.3623983288767,
2021-12-23 23:59:59,-271.50021758554385,c
2021-12-24 00:00:00,-267.5982071411495,
2021-12-24 03:30:00,-283.51659863317855,
2021-12-24 04:00:00,-283.06898398289377,
2021-12-24 06:00:00,-279.20228409442643,
2021-12-24 08:00:00,-279.20228409442643,
2021-12-24 10:30:00,-279.20228409442643,
2021-12-24 11:00:00,-279.20228409442643,
2021-12-24 23:59:59,-261.74519147455976,w
2021-12-27 00:00:00,-318.6112728588964,
2021-12-27 03:30:00,-327.42509783000787,
2021-12-27 04:00:00,-294.0426275527707,
2021-12-27 06:00:00,-252.5709272639965,
2021-12-27 08:00:00,-231.50109004464593,
2021-12-27 10:30:00,-156.32202893008025,
2021-12-27 11:00:00,-172.5881421553927,
2021-12-27 23:59:59,-200.32982357947049,c
2021-12-28 00:00:00,-211.703039856337,
2021-12-28 03:30:00,-203.91527727060202,
2021-12-28 04:00:00,-190.69085518051543,
2021-12-28 06:00:00,-181.9524722680403,
2021-12-28 08:00:00,-162.69738608506987,
2021-12-28 10:30:00,-201.68475113989552,
2021-12-28 11:00:00,-194.28374202485247,
2021-12-28 23:59:59,-182.1326775364737,c
2021-12-29 00:00:00,-196.43408134249376,
2021-12-29 03:30:00,-159.89033519911573,
2021-12-29 04:00:00,-187.88433717681937,
2021-12-29 06:00:00,-176.68568269883554,
2021-12-29 08:00:00,-156.7033920174672,
2021-12-29 10:30:00,-164.40990427842462,
2021-12-29 11:00:00,-149.74160785304593,
2021-12-29 23:59:59,-158.0887749454705,c
2021-12-30 00:00:00,-148.9880149258961,
