date,AS_WT_2021_Q4,meta
2021-09-28 00:00:00,-129.4107951370791,
2021-09-28 01:00:00,-130.00288331016327,
2021-09-28 02:30:00,-132.00804946802032,
2021-09-28 03:00:00,-125.18975857983429,
2021-09-28 18:30:00,-125.18975857983429,
2021-09-28 20:00:00,-125.18975857983429,
2021-09-28 23:00:00,-127.60650770204177,
2021-09-28 23:59:59,-122.74956480883282,c
2021-09-29 00:00:00,-120.75252014245297,
2021-09-29 01:00:00,-125.24661026282712,
2021-09-29 02:30:00,-119.7949270183264,
2021-09-29 03:00:00,-121.96251314682411,
2021-09-29 18:30:00,-121.96251314682411,
2021-09-29 20:00:00,-121.96251314682411,
2021-09-29 23:00:00,-127.64455148508705,
2021-09-29 23:59:59,-124.57401426305137,c
2021-09-30 00:00:00,-132.21496445287568,
2021-09-30 01:00:00,-135.08724167607465,
2021-09-30 02:30:00,-126.29858749456417,
2021-09-30 03:00:00,-133.99266680120724,
2021-09-30 18:30:00,-133.99266680120724,
2021-09-30 20:00:00,-133.99266680120724,
2021-09-30 23:00:00,-126.78034982023468,
2021-09-30 23:59:59,-129.95874191119805,c
2021-10-01 00:00:00,-123.86667717447159,
2021-10-01 01:00:00,-121.64033958152027,
2021-10-01 02:30:00,-124.43231001728316,
2021-10-01 03:00:00,-123.33669616938545,
2021-10-01 18:30:00,-123.33669616938545,
2021-10-01 20:00:00,-123.33669616938545,
2021-10-01 23:00:00,-123.33669616938545,
2021-10-01 23:59:59,-125.29983157243316,w
2021-10-04 00:00:00,-120.9892768841467,
2021-10-04 01:00:00,-125.53438822030142,
2021-10-04 02:30:00,-118.80082379521133,
2021-10-04 03:00:00,-127.22699950207908,
2021-10-04 18:30:00,-127.22699950207908,
2021-10-04 20:00:00,-125.27120207064917,
2021-10-04 23:00:00,-126.18772730878896,
2021-10-04 23:59:59,-133.61577101084498,c
2021-10-05 00:00:00,-131.67034951663624,
2021-10-05 01:00:00,-129.73097434957344,
2021-10-05 02:30:00,-129.23586607371578,
2021-10-05 03:00:00,-129.8363686817654,
2021-10-05 18:30:00,-129.8363686817654,
2021-10-05 20:00:00,-127.62175482282697,
2021-10-05 23:00:00,-127.19769997447162,
2021-10-05 23:59:59,-134.84814328544917,c
2021-10-06 00:00:00,-134.09048902182468,
2021-10-06 01:00:00,-131.4300121577038,
2021-10-06 02:30:00,-130.5804175997713,
2021-10-06 03:00:00,-132.89792094297542,
2021-10-06 18:30:00,-132.89792094297542,
2021-10-06 20:00:00,-131.44738533882293,
2021-10-06 23:00:00,-121.3235002771957,
2021-10-06 23:59:59,-131.48061462797648,c
2021-10-07 00:00:00,-128.22593877969558,
2021-10-07 01:00:00,-128.30254273882548,
2021-10-07 02:30:00,-130.78358260819743,
2021-10-07 03:00:00,-129.28065187614607,
2021-10-07 18:30:00,-129.28065187614607,
2021-10-07 20:00:00,-126.28556868791287,
2021-10-07 23:00:00,-88.93723223272434,
2021-10-07 23:59:59,-81.98793883843734,c
2021-10-08 00:00:00,-75.96732949136157,
2021-10-08 01:00:00,-77.63553916062563,
2021-10-08 02:30:00,-90.5668640903047,
2021-10-08 03:00:00,-93.32689769503321,
2021-10-08 18:30:00,-93.32689769503321,
2021-10-08 20:00:00,-93.32689769503321,
2021-10-08 23:00:00,-93.32689769503321,
2021-10-08 23:59:59,-93.67701590198635,w
2021-10-11 00:00:00,-45.910153248338304,
2021-10-11 01:00:00,-45.87361642277028,
2021-10-11 02:30:00,-43.971767407417076,
2021-10-11 03:00:00,-42.35742516608667,
2021-10-11 18:30:00,-42.35742516608667,
2021-10-11 20:00:00,-38.42460847923536,
2021-10-11 23:00:00,-20.10972877144917,
2021-10-11 23:59:59,-14.361047285146071,c
2021-10-12 00:00:00,-8.370152434627812,
2021-10-12 01:00:00,-5.656283172958581,
2021-10-12 02:30:00,-9.85487748860578,
2021-10-12 03:00:00,-11.638460807842364,
2021-10-12 18:30:00,-11.638460807842364,
2021-10-12 20:00:00,-4.953054896680669,
2021-10-12 23:00:00,4.508939205542333,
2021-10-12 23:59:59,0.0,a
2021-10-13 00:00:00,-1.0865610439024067,
2021-10-13 01:00:00,-0.14250979633862926,
2021-10-13 02:30:00,0.02609106521799731,
2021-10-13 03:00:00,-2.6244663151496184,
2021-10-13 18:30:00,-2.6244663151496184,
2021-10-13 20:00:00,-7.212764227686421,
2021-10-13 23:00:00,-10.96563442652291,
2021-10-13 23:59:59,-9.617022004445062,c
2021-10-14 00:00:00,-12.535759513077778,
2021-10-14 01:00:00,-10.033033493069354,
2021-10-14 02:30:00,-6.585136951238724,
2021-10-14 03:00:00,-5.592967305321338,
2021-10-14 18:30:00,-5.592967305321338,
2021-10-14 20:00:00,-7.783235098295961,
2021-10-14 23:00:00,8.010540230972424,
2021-10-14 23:59:59,11.65969239622342,c
2021-10-15 00:00:00,14.901340436832413,
2021-10-15 01:00:00,17.356588604944818,
2021-10-15 02:30:00,5.877220894806271,
2021-10-15 03:00:00,6.494285235876362,
2021-10-15 18:30:00,6.494285235876362,
2021-10-15 20:00:00,6.494285235876362,
2021-10-15 23:00:00,6.494285235876362,
2021-10-15 23:59:59,1.983799386124872,w
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
0,1.983799386124872,
2021-10-18 00:00:00,12.719447530223363,
2021-10-18 01:00:00,15.270792930654693,
2021-10-18 02:30:00,15.92857194627112,
2021-10-18 03:00:00,18.178880436367876,
2021-10-18 18:30:00,18.178880436367876,
2021-10-18 20:00:00,31.24646317506881,
2021-10-18 23:00:00,19.36795745285127,
2021-10-18 23:59:59,18.714308466925957,c
2021-10-19 00:00:00,15.53353671343956,
2021-10-19 01:00:00,17.79488344202707,
2021-10-19 02:30:00,15.509617356902368,
2021-10-19 03:00:00,14.8627222847187,
2021-10-19 18:30:00,14.8627222847187,
2021-10-19 20:00:00,10.804740823788734,
2021-10-19 23:00:00,13.523163158680006,
2021-10-19 23:59:59,18.50381114449408,c
2021-10-20 00:00:00,20.01028408581311,
2021-10-20 01:00:00,20.1729825533983,
2021-10-20 02:30:00,16.039064263604985,
2021-10-20 03:00:00,12.580336020378809,
2021-10-20 18:30:00,12.580336020378809,
2021-10-20 20:00:00,16.000650841847005,
2021-10-20 23:00:00,31.419731098919556,
2021-10-20 23:59:59,41.06766980442933,e
2021-10-21 00:00:00,40.595105380368125,
2021-10-21 01:00:00,42.14349725340372,
2021-10-21 02:30:00,51.11721746494135,
2021-10-21 03:00:00,62.53331851064809,
2021-10-21 18:30:00,62.53331851064809,
2021-10-21 20:00:00,66.97657273442843,
2021-10-21 23:00:00,68.81947616203689,
2021-10-21 23:59:59,59.201729077110144,c
2021-10-22 00:00:00,61.590312078815884,
2021-10-22 01:00:00,61.336095482667474,
2021-10-22 02:30:00,53.97722291618453,
2021-10-22 03:00:00,53.11856657492774,
2021-10-22 18:30:00,53.11856657492774,
2021-10-22 20:00:00,53.11856657492774,
2021-10-22 23:00:00,53.11856657492774,
2021-10-22 23:59:59,47.39657274996313,w
2021-10-25 00:00:00,9.724526432605273,
2021-10-25 01:00:00,7.321552416591658,
2021-10-25 02:30:00,6.495947700736167,
2021-10-25 03:00:00,5.537119512575373,
2021-10-25 18:30:00,5.537119512575373,
2021-10-25 20:00:00,4.64992846683333,
2021-10-25 23:00:00,-14.867051091107044,
2021-10-25 23:59:59,-20.133433266030977,c
2021-10-26 00:00:00,-21.923524313765995,
2021-10-26 01:00:00,-21.943245260801916,
2021-10-26 02:30:00,-23.268227400591,
2021-10-26 03:00:00,-23.333521550255796,
2021-10-26 18:30:00,-23.333521550255796,
2021-10-26 20:00:00,-23.37233031544821,
2021-10-26 23:00:00,-37.289057376845335,
2021-10-26 23:59:59,-33.593698296929745,c
2021-10-27 00:00:00,-40.13147091945331,
2021-10-27 01:00:00,-43.784376598728784,
2021-10-27 02:30:00,-48.918030258862586,
2021-10-27 03:00:00,-48.929506189394544,
2021-10-27 18:30:00,-48.929506189394544,
2021-10-27 20:00:00,-49.818920555013506,
2021-10-27 23:00:00,-52.50944834605508,
2021-10-27 23:59:59,-51.41685471214629,c
2021-10-28 00:00:00,-49.87828077985563,
2021-10-28 01:00:00,-50.81797233521195,
2021-10-28 02:30:00,-48.09899555880651,
2021-10-28 03:00:00,-45.20726439314882,
2021-10-28 18:30:00,-45.20726439314882,
2021-10-28 20:00:00,-41.77182013643272,
2021-10-28 23:00:00,-36.25899866584007,
2021-10-28 23:59:59,-37.36002458182986,c
2021-10-29 00:00:00,-41.297772150612786,
2021-10-29 01:00:00,-35.802818504886886,
2021-10-29 02:30:00,-48.654207363454134,
2021-10-29 03:00:00,-50.14922998596717,
2021-10-29 18:30:00,-50.14922998596717,
2021-10-29 20:00:00,-50.14922998596717,
2021-10-29 23:00:00,-50.14922998596717,
2021-10-29 23:59:59,-50.944825782577084,w
2021-11-01 00:00:00,-47.71001309116701,
2021-11-01 01:00:00,-50.687440041286834,
2021-11-01 02:30:00,-48.05377108580825,
2021-11-01 03:00:00,-50.64996825327046,
2021-11-01 18:30:00,-50.64996825327046,
2021-11-01 20:00:00,-41.94067186749777,
2021-11-01 23:00:00,-46.539489805037704,
2021-11-01 23:59:59,-45.96919615446711,c
2021-11-02 00:00:00,-35.20555885081626,
2021-11-02 01:00:00,-34.175545649989544,
2021-11-02 02:30:00,-46.899934752478146,
2021-11-02 03:00:00,-44.09608336892882,
2021-11-02 18:30:00,-44.09608336892882,
2021-11-02 20:00:00,-44.56657956547946,
2021-11-02 23:00:00,-52.16577361333651,
2021-11-02 23:59:59,-46.137244078083256,c
2021-11-03 00:00:00,-51.64690838249197,
2021-11-03 01:00:00,-53.28343217877068,
2021-11-03 02:30:00,-50.82548079885834,
2021-11-03 03:00:00,-50.4382564213102,
2021-11-03 18:30:00,-50.4382564213102,
2021-11-03 20:00:00,-50.4382564213102,
2021-11-03 23:00:00,-50.4382564213102,
2021-11-03 23:59:59,-52.9054906588305,c
