date,GUNR_2021_Q1,meta
2021-02-19 00:00:00,434.62719599591946,
2021-02-19 10:00:00,433.92565198811326,
2021-02-19 10:30:00,439.31944481495475,
2021-02-19 12:00:00,435.91057825302914,
2021-02-19 13:30:00,427.26248971966015,
2021-02-19 15:00:00,423.8515007809601,
2021-02-19 15:30:30,423.8515007809601,
2021-02-19 23:59:59,428.9134291247756,w
2021-02-22 00:00:00,411.54437031501175,
2021-02-22 10:00:00,400.1732827913038,
2021-02-22 10:30:00,376.2178921985201,
2021-02-22 12:00:00,350.9518615321981,
2021-02-22 13:30:00,332.4130142937529,
2021-02-22 15:00:00,334.67517991827935,
2021-02-22 15:30:30,334.67517991827935,
2021-02-22 23:59:59,345.30130307601894,c
2021-02-23 00:00:00,307.60758928380665,
2021-02-23 10:00:00,320.1404341391258,
2021-02-23 10:30:00,323.97501698322776,
2021-02-23 12:00:00,353.5958280674122,
2021-02-23 13:30:00,338.1860085368685,
2021-02-23 15:00:00,333.91222515087657,
2021-02-23 15:30:30,333.91222515087657,
2021-02-23 23:59:59,342.16784794770047,c
2021-02-24 00:00:00,331.85436552351985,
2021-02-24 10:00:00,313.59509378551684,
2021-02-24 10:30:00,312.40361926233163,
2021-02-24 12:00:00,273.73808608357376,
2021-02-24 13:30:00,269.85329693086624,
2021-02-24 15:00:00,252.9406917721658,
2021-02-24 15:30:30,252.9406917721658,
2021-02-24 23:59:59,261.46900437298837,c
2021-02-25 00:00:00,250.5703295699318,
2021-02-25 10:00:00,264.9675745592508,
2021-02-25 10:30:00,241.16033674278106,
2021-02-25 12:00:00,259.8214954233581,
2021-02-25 13:30:00,281.6136689302966,
2021-02-25 15:00:00,281.0176794504591,
2021-02-25 15:30:30,281.0176794504591,
2021-02-25 23:59:59,293.9930220848396,c
2021-02-26 00:00:00,356.29088074294896,
2021-02-26 10:00:00,361.2377596013407,
2021-02-26 10:30:00,383.2931045923074,
2021-02-26 12:00:00,356.56113594134786,
2021-02-26 13:30:00,324.5556899607045,
2021-02-26 15:00:00,333.9327105527086,
2021-02-26 15:30:30,333.9327105527086,s
2021-02-26 23:59:59,350.06754482470296,w
2021-03-01 00:00:00,264.9559859646947,
2021-03-01 10:00:00,225.57699579960263,
2021-03-01 10:30:00,213.2380944444044,
2021-03-01 12:00:00,235.31626974863138,
2021-03-01 13:30:00,251.2826562714822,
2021-03-01 15:00:00,242.39385244251707,
2021-03-01 15:30:30,242.39385244251707,
2021-03-01 23:59:59,257.64703206053855,c
2021-03-02 00:00:00,253.6887079733856,
2021-03-02 10:00:00,238.3263998805628,
2021-03-02 10:30:00,253.92127987475533,
2021-03-02 12:00:00,247.6583333662661,
2021-03-02 13:30:00,228.77622504768897,
2021-03-02 15:00:00,224.49642377464716,
2021-03-02 15:30:30,224.49642377464716,
2021-03-02 23:59:59,247.8799910073394,c
2021-03-03 00:00:00,240.61300154951778,
2021-03-03 10:00:00,241.31517817975373,
2021-03-03 10:30:00,256.8995704338313,
2021-03-03 12:00:00,233.34986339657053,
2021-03-03 13:30:00,181.89549696187623,
2021-03-03 15:00:00,203.4842511577067,
2021-03-03 15:30:30,203.4842511577067,
2021-03-03 23:59:59,242.51212579851654,c
2021-03-04 00:00:00,229.150127797594,
2021-03-04 10:00:00,211.30314917110945,
2021-03-04 10:30:00,185.9018410260037,
2021-03-04 12:00:00,172.1473996364566,
2021-03-04 13:30:00,220.25818638556666,
2021-03-04 15:00:00,229.66622636160946,
2021-03-04 15:30:30,229.66622636160946,
2021-03-04 23:59:59,226.4185644563504,c
2021-03-05 00:00:00,201.54351121644322,
2021-03-05 10:00:00,192.98190565613368,
2021-03-05 10:30:00,173.4891090657984,
2021-03-05 12:00:00,170.7046541607092,
2021-03-05 13:30:00,143.60006631331453,
2021-03-05 15:00:00,133.8374402993586,
2021-03-05 15:30:30,133.8374402993586,
2021-03-05 23:59:59,115.75344976674887,w
2021-03-08 00:00:00,96.48182942913718,
2021-03-08 10:00:00,124.4250691390157,
2021-03-08 10:30:00,117.91868850455239,
2021-03-08 12:00:00,94.26315117918011,
2021-03-08 13:30:00,82.20102223782033,
2021-03-08 15:00:00,69.12207836220477,
2021-03-08 15:30:30,69.12207836220477,
2021-03-08 23:59:59,81.1935004521556,c
2021-03-09 00:00:00,76.13165753585827,
2021-03-09 10:00:00,106.75578391261752,
2021-03-09 10:30:00,90.06919990602682,
2021-03-09 12:00:00,51.6917446463749,
2021-03-09 13:30:00,53.482931948301484,
2021-03-09 15:00:00,54.06951180361693,
2021-03-09 15:30:30,54.06951180361693,
2021-03-09 23:59:59,69.95600628887951,c
2021-03-10 00:00:00,26.769790770495547,
2021-03-10 10:00:00,20.42146710748966,
2021-03-10 10:30:00,10.845281780685582,
2021-03-10 12:00:00,10.405286848357719,
2021-03-10 13:30:00,-13.619950126667845,
2021-03-10 15:00:00,-17.578448909830968,
2021-03-10 15:30:30,-17.578448909830968,
2021-03-10 23:59:59,-14.375744688504255,c
2021-03-11 00:00:00,-6.922544882141665,
2021-03-11 10:00:00,-19.04855930653548,
2021-03-11 10:30:00,-10.1101158755082,
2021-03-11 12:00:00,3.5182280443400487,
2021-03-11 13:30:00,8.745389812806934,
2021-03-11 15:00:00,10.899799470586004,
2021-03-11 15:30:30,10.899799470586004,
2021-03-11 23:59:59,23.269794460081812,c
2021-03-12 00:00:00,4.93778653577192,
2021-03-12 10:00:00,-8.299741902046208,
2021-03-12 10:30:00,-6.735544158082121,
2021-03-12 12:00:00,-6.265309189615891,
2021-03-12 13:30:00,-3.9785807366297377,
