date,CIBR_2021_Q2,meta
2021-05-21 00:00:00,79.99018574784236,
2021-05-21 10:00:00,79.14756176007245,
2021-05-21 10:30:00,56.639326890973535,
2021-05-21 12:00:00,47.2948434020701,
2021-05-21 13:30:00,34.76932540529525,
2021-05-21 15:00:00,36.0787246370957,
2021-05-21 15:30:30,36.0787246370957,
2021-05-21 23:59:59,31.34703066510976,w
2021-05-24 00:00:00,58.183481249520085,
2021-05-24 10:00:00,46.79859477811905,
2021-05-24 10:30:00,32.41287217747296,
2021-05-24 12:00:00,35.97405872733002,
2021-05-24 13:30:00,35.7268929878428,
2021-05-24 15:00:00,47.5414644975655,
2021-05-24 15:30:30,47.5414644975655,
2021-05-24 23:59:59,56.11738875159125,c
2021-05-25 00:00:00,60.80642871466968,
2021-05-25 10:00:00,63.21457138881037,
2021-05-25 10:30:00,70.79900721858401,
2021-05-25 12:00:00,62.11280987523993,
2021-05-25 13:30:00,76.8117469662928,
2021-05-25 15:00:00,89.90895742808398,
2021-05-25 15:30:30,89.90895742808398,
2021-05-25 23:59:59,88.98128394950858,c
2021-05-26 00:00:00,146.1397126815429,
2021-05-26 10:00:00,115.72605478043938,
2021-05-26 10:30:00,126.97725472343753,
2021-05-26 12:00:00,135.38000774218366,
2021-05-26 13:30:00,135.3529564046603,
2021-05-26 15:00:00,145.8028922350953,
2021-05-26 15:30:30,145.8028922350953,
2021-05-26 23:59:59,147.5827448629193,c
2021-05-27 00:00:00,-1.0216807948345554,
2021-05-27 10:00:00,-65.57899015009819,
2021-05-27 10:30:00,-33.0508166644707,
2021-05-27 12:00:00,-63.585889311100104,
2021-05-27 13:30:00,-34.76477505019679,
2021-05-27 15:00:00,-43.8694728752247,
2021-05-27 15:30:30,-43.8694728752247,m
2021-05-27 23:59:59,-44.77909834648207,c
2021-05-28 00:00:00,-35.31441246391942,
2021-05-28 10:00:00,-73.02847184770171,
2021-05-28 10:30:00,-68.01978459159865,
2021-05-28 12:00:00,-38.15561023084105,
2021-05-28 13:30:00,-50.5766196102422,
2021-05-28 15:00:00,-57.98675512376036,
2021-05-28 15:30:30,-57.98675512376036,
2021-05-28 23:59:59,-66.80175007195774,w
2021-05-31 00:00:00,-66.80175007195774,
2021-05-31 10:00:00,-66.80175007195774,
2021-05-31 10:30:00,-66.80175007195774,
2021-05-31 12:00:00,-66.80175007195774,
2021-05-31 13:30:00,-66.80175007195774,
2021-05-31 15:00:00,-66.80175007195774,
2021-05-31 15:30:30,-66.80175007195774,s
2021-05-31 23:59:59,-66.80175007195774,c
2021-06-01 00:00:00,-72.46495645387964,
2021-06-01 10:00:00,-91.71779067106831,
2021-06-01 10:30:00,-113.6275042437163,
2021-06-01 12:00:00,-110.45535160853166,
2021-06-01 13:30:00,-98.21580581346184,
2021-06-01 15:00:00,-112.20167371351444,
2021-06-01 15:30:30,-112.20167371351444,
2021-06-01 23:59:59,-111.37787275746001,c
2021-06-02 00:00:00,-111.8174951557026,
2021-06-02 10:00:00,-124.85794542083337,
2021-06-02 10:30:00,-141.59818935675273,
2021-06-02 12:00:00,-148.85139359607794,
2021-06-02 13:30:00,-159.25063650079886,
