date,SPX_EW_HEDGED_2020_Q4,meta
2020-10-30 00:00:00,250.2023323727607,
2020-10-30 10:00:00,243.71258185258114,
2020-10-30 10:30:00,240.9519964640618,
2020-10-30 12:00:00,248.14627122459595,
2020-10-30 13:30:00,237.14087655026867,
2020-10-30 15:00:00,236.42892240154612,
2020-10-30 15:30:30,236.42892240154612,
2020-10-30 23:59:59,237.04907439932947,w
2020-11-02 00:00:00,225.8759482232344,
2020-11-02 10:00:00,217.79750986059003,
2020-11-02 10:30:00,216.93603325556828,
2020-11-02 12:00:00,213.28093407009354,
2020-11-02 13:30:00,207.67614992947244,
2020-11-02 15:00:00,203.91473538865563,
2020-11-02 15:30:30,203.91473538865563,
2020-11-02 23:59:59,204.10402200529077,c
2020-11-03 00:00:00,201.4779197978536,
2020-11-03 10:00:00,195.99038821101288,
2020-11-03 10:30:00,191.5090487735978,
2020-11-03 12:00:00,192.5314717923424,
2020-11-03 13:30:00,192.72362539967475,
2020-11-03 15:00:00,192.41953677848315,
2020-11-03 15:30:30,192.41953677848315,
2020-11-03 23:59:59,192.10264236847357,c
2020-11-04 00:00:00,219.14379929370907,
2020-11-04 10:00:00,219.7354771050835,
2020-11-04 10:30:00,214.96880818063872,
2020-11-04 12:00:00,209.08862002804318,
2020-11-04 13:30:00,209.73857252251506,
2020-11-04 15:00:00,208.87205509202883,
2020-11-04 15:30:30,208.87205509202883,
2020-11-04 23:59:59,210.98392102516414,c
2020-11-05 00:00:00,202.8428407738043,
2020-11-05 10:00:00,212.2093872532181,
2020-11-05 10:30:00,215.27126385841112,
2020-11-05 12:00:00,205.26572168886003,
2020-11-05 13:30:00,203.71972283641156,
2020-11-05 15:00:00,203.61331788043262,
2020-11-05 15:30:30,203.61331788043262,
2020-11-05 23:59:59,201.5643561274091,c
2020-11-06 00:00:00,210.6706662048522,
2020-11-06 10:00:00,204.8326573201983,
2020-11-06 10:30:00,208.34189484083313,
2020-11-06 12:00:00,209.74862208843078,
2020-11-06 13:30:00,216.01972473275163,
2020-11-06 15:00:00,221.17436318873365,
2020-11-06 15:30:30,221.17436318873365,
2020-11-06 23:59:59,217.93433614932087,w
2020-11-09 00:00:00,195.1206524578945,
2020-11-09 10:00:00,172.63765673908796,
2020-11-09 10:30:00,173.03775014893944,
2020-11-09 12:00:00,169.2825993593499,
2020-11-09 13:30:00,161.96378037916082,
2020-11-09 15:00:00,167.00388621728396,
2020-11-09 15:30:30,167.00388621728396,x
2020-11-09 23:59:59,167.33560325657675,c
2020-11-10 00:00:00,168.63865939713185,
2020-11-10 10:00:00,171.17934755724409,
2020-11-10 10:30:00,161.29695973083895,
2020-11-10 12:00:00,168.8186113602815,
2020-11-10 13:30:00,173.7199938796576,
2020-11-10 15:00:00,177.47219889053778,
2020-11-10 15:30:30,177.47219889053778,
2020-11-10 23:59:59,177.13208064978664,c
2020-11-11 00:00:00,164.2327019531508,
2020-11-11 10:00:00,184.85127074116767,
2020-11-11 10:30:00,180.07170883983457,
2020-11-11 12:00:00,183.27373248550458,
2020-11-11 13:30:00,181.5000521118066,
2020-11-11 15:00:00,183.81596558920668,
2020-11-11 15:30:30,183.81596558920668,
2020-11-11 23:59:59,189.51607360586485,c
2020-11-12 00:00:00,188.46282793406135,
2020-11-12 10:00:00,194.5517390573107,
2020-11-12 10:30:00,193.62399817066114,
2020-11-12 12:00:00,202.1161495874058,
2020-11-12 13:30:00,204.14428734961868,
2020-11-12 15:00:00,205.86774158188064,
2020-11-12 15:30:30,205.86774158188064,
2020-11-12 23:59:59,199.4143877385431,c
2020-11-13 00:00:00,198.15460319284935,
2020-11-13 10:00:00,194.41722213285507,
2020-11-13 10:30:00,195.35208719633684,
2020-11-13 12:00:00,194.03272283162363,
2020-11-13 13:30:00,199.74167253076507,
2020-11-13 15:00:00,194.53747455344262,
2020-11-13 15:30:30,194.53747455344262,s
2020-11-13 23:59:59,192.71099725142813,w
2020-11-16 00:00:00,174.98638220048198,
2020-11-16 10:00:00,169.04380698728775,
2020-11-16 10:30:00,169.89382888047095,
2020-11-16 12:00:00,175.14349476913642,
2020-11-16 13:30:00,174.25781946836307,
2020-11-16 15:00:00,173.87080029097285,
2020-11-16 15:30:30,173.87080029097285,
2020-11-16 23:59:59,171.82351499373584,c
2020-11-17 00:00:00,177.7282466269694,
2020-11-17 10:00:00,181.1774870604351,
2020-11-17 10:30:00,174.51757184305285,
2020-11-17 12:00:00,171.67658163841628,
2020-11-17 13:30:00,168.06471708850233,
2020-11-17 15:00:00,166.43254039133706,
2020-11-17 15:30:30,166.43254039133706,
2020-11-17 23:59:59,161.1989742261087,c
2020-11-18 00:00:00,175.90642300206184,
2020-11-18 10:00:00,161.52764801032558,
2020-11-18 10:30:00,151.34755509699212,
2020-11-18 12:00:00,141.04602022344653,
2020-11-18 13:30:00,137.77016255561654,
2020-11-18 15:00:00,136.9210108138251,
2020-11-18 15:30:30,136.9210108138251,
2020-11-18 23:59:59,142.4984891470031,c
2020-11-19 00:00:00,147.2792009823503,
2020-11-19 10:00:00,146.68098545226636,
2020-11-19 10:30:00,148.0598296115483,
2020-11-19 12:00:00,143.26403728660637,
2020-11-19 13:30:00,138.57416381412037,
2020-11-19 15:00:00,135.49472014270583,
2020-11-19 15:30:30,135.49472014270583,
2020-11-19 23:59:59,135.06941280968402,c
2020-11-20 00:00:00,132.15883667788108,
2020-11-20 10:00:00,134.4891865630531,
2020-11-20 10:30:00,136.40596791934593,
2020-11-20 12:00:00,136.73093824664176,
2020-11-20 13:30:00,135.02701810528822,
2020-11-20 15:00:00,133.06101330840931,
2020-11-20 15:30:30,133.06101330840931,
2020-11-20 23:59:59,132.54105916709227,w
2020-11-23 00:00:00,120.5891596085546,
2020-11-23 10:00:00,116.8276505553059,
2020-11-23 10:30:00,117.08448027809227,
2020-11-23 12:00:00,120.95447532136117,
2020-11-23 13:30:00,120.65126585885129,
2020-11-23 15:00:00,123.61346442233052,
2020-11-23 15:30:30,123.61346442233052,
2020-11-23 23:59:59,121.4930884299589,c
2020-11-24 00:00:00,100.11303481114896,
2020-11-24 10:00:00,106.7664856493184,
2020-11-24 10:30:00,99.51512940920702,
2020-11-24 12:00:00,93.78129581960269,
2020-11-24 13:30:00,98.2854109228521,
2020-11-24 15:00:00,89.23906748412196,
2020-11-24 15:30:30,89.23906748412196,
2020-11-24 23:59:59,84.46774179659604,c
2020-11-25 00:00:00,103.23940159260329,
2020-11-25 10:00:00,101.68893669759868,
2020-11-25 10:30:00,98.95834047467466,
2020-11-25 12:00:00,101.95554250376404,
2020-11-25 13:30:00,96.18554375059057,
2020-11-25 15:00:00,101.71843187827798,
2020-11-25 15:30:30,101.71843187827798,
2020-11-25 23:59:59,100.97819241042583,c
2020-11-26 00:00:00,100.97819241042583,
2020-11-26 10:00:00,100.97819241042583,
2020-11-26 10:30:00,100.97819241042583,
2020-11-26 12:00:00,100.97819241042583,
2020-11-26 13:30:00,100.97819241042583,
2020-11-26 15:00:00,100.97819241042583,
2020-11-26 15:30:30,100.97819241042583,
2020-11-26 23:59:59,100.97819241042583,c
2020-11-27 00:00:00,96.70026693384406,
2020-11-27 10:00:00,103.602004934896,
2020-11-27 10:30:00,106.53203472955266,
2020-11-27 12:00:00,103.88088998147579,
2020-11-27 13:30:00,103.88088998147579,
2020-11-27 15:00:00,103.88088998147579,
2020-11-27 15:30:30,103.88088998147579,
2020-11-27 23:59:59,110.36829633021416,w
2020-11-30 00:00:00,111.68272214077045,
2020-11-30 10:00:00,108.35031298407596,
2020-11-30 10:30:00,112.14612043852023,
2020-11-30 12:00:00,105.86963366365481,
2020-11-30 13:30:00,107.15993321762954,
2020-11-30 15:00:00,105.76750677443484,
2020-11-30 15:30:30,105.76750677443484,x
2020-11-30 23:59:59,107.81858450608793,c
2020-12-01 00:00:00,106.41909413469376,
2020-12-01 10:00:00,103.15647546695087,
2020-12-01 10:30:00,105.11071948222296,
2020-12-01 12:00:00,113.19989850304928,
2020-12-01 13:30:00,113.62683065239689,
2020-12-01 15:00:00,115.05300354438735,
2020-12-01 15:30:30,115.05300354438735,
2020-12-01 23:59:59,111.4326499125934,c
2020-12-02 00:00:00,103.94701126003271,
2020-12-02 10:00:00,97.4639859051797,
2020-12-02 10:30:00,102.57152623754331,
2020-12-02 12:00:00,97.59575856188482,
2020-12-02 13:30:00,98.8854409753784,
2020-12-02 15:00:00,97.5456469257739,
2020-12-02 15:30:30,97.5456469257739,
2020-12-02 23:59:59,103.23715993756842,c
2020-12-03 00:00:00,100.66616551235458,
2020-12-03 10:00:00,98.12460318695085,
2020-12-03 10:30:00,90.31241344495857,
2020-12-03 12:00:00,90.95343763525472,
2020-12-03 13:30:00,83.15426571873382,
2020-12-03 15:00:00,77.7544960958943,
2020-12-03 15:30:30,77.7544960958943,
2020-12-03 23:59:59,76.95250935545681,c
2020-12-04 00:00:00,71.5328459862865,
2020-12-04 10:00:00,73.02153330985772,
2020-12-04 10:30:00,66.21367772724551,
2020-12-04 12:00:00,59.81313302559985,
2020-12-04 13:30:00,55.625683537231765,
2020-12-04 15:00:00,55.362428111998724,
2020-12-04 15:30:30,55.362428111998724,
2020-12-04 23:59:59,58.64177380479896,w
2020-12-07 00:00:00,72.30718980487876,
2020-12-07 10:00:00,80.65996664245242,
2020-12-07 10:30:00,66.00684184816942,
2020-12-07 12:00:00,67.58268062148593,
2020-12-07 13:30:00,62.66013299985255,
2020-12-07 15:00:00,59.95785265315013,
2020-12-07 15:30:30,59.95785265315013,
2020-12-07 23:59:59,52.18923286229332,c
2020-12-08 00:00:00,66.68629643308404,
2020-12-08 10:00:00,42.128886399124895,
2020-12-08 10:30:00,42.720950155003266,
2020-12-08 12:00:00,56.06408945635556,
2020-12-08 13:30:00,52.11406978344482,
2020-12-08 15:00:00,50.27354722496705,
2020-12-08 15:30:30,50.27354722496705,
2020-12-08 23:59:59,50.63540776747428,c
2020-12-09 00:00:00,46.53576085177599,
2020-12-09 10:00:00,35.737111304216114,
2020-12-09 10:30:00,24.3214298004564,
