date,HEAL_2021_Q2,meta
2021-06-11 15:00:00,230.64831851059307,
2021-06-11 15:30:30,230.64831851059307,
2021-06-11 23:59:59,231.82490804422605,w
2021-06-14 00:00:00,238.172216912596,
2021-06-14 10:00:00,240.25151800703952,
2021-06-14 10:30:00,212.2064874975049,
2021-06-14 12:00:00,187.52358943035233,
2021-06-14 13:30:00,198.18241970024155,
2021-06-14 15:00:00,203.23603450243672,
2021-06-14 15:30:30,203.23603450243672,
2021-06-14 23:59:59,201.3730273113947,c
2021-06-15 00:00:00,223.78033964749557,
2021-06-15 10:00:00,195.49158123086,
2021-06-15 10:30:00,182.76846303931643,
2021-06-15 12:00:00,179.2388591841709,
2021-06-15 13:30:00,174.72867576175395,
2021-06-15 15:00:00,172.40795597784518,
2021-06-15 15:30:30,172.40795597784518,
2021-06-15 23:59:59,163.71054068352896,c
2021-06-16 00:00:00,166.38308772237042,
2021-06-16 10:00:00,180.7370165776092,
2021-06-16 10:30:00,185.68876263331822,
2021-06-16 12:00:00,200.79842359485883,
2021-06-16 13:30:00,183.60579020933937,
2021-06-16 15:00:00,172.66322364862208,
2021-06-16 15:30:30,172.66322364862208,
2021-06-16 23:59:59,191.79414715384883,c
2021-06-17 00:00:00,181.19257287454366,
2021-06-17 10:00:00,183.1928809797878,
2021-06-17 10:30:00,192.4592362709909,
2021-06-17 12:00:00,174.87816283941856,
2021-06-17 13:30:00,186.72711184073705,
2021-06-17 15:00:00,211.848524760313,
2021-06-17 15:30:30,211.848524760313,
2021-06-17 23:59:59,215.5306524642856,c
2021-06-18 00:00:00,190.9610579024975,
2021-06-18 10:00:00,208.78879168492676,
2021-06-18 10:30:00,207.74019483978145,
2021-06-18 12:00:00,203.41822716531578,
2021-06-18 13:30:00,188.9612556403472,
2021-06-18 15:00:00,173.7701736500344,
2021-06-18 15:30:30,173.7701736500344,
2021-06-18 23:59:59,251.03329774941176,e
2021-06-21 00:00:00,254.13588186753987,
2021-06-21 10:00:00,226.9954278953851,
2021-06-21 10:30:00,207.28091535224257,
2021-06-21 12:00:00,209.68076393017873,
2021-06-21 13:30:00,225.23129921460713,
2021-06-21 15:00:00,234.98483986230667,
