date,SIL_2021_Q2,meta
2021-04-23 10:00:00,12.226452396271227,
2021-04-23 10:30:00,-7.618546974563515,
2021-04-23 12:00:00,-15.302100135303888,
2021-04-23 13:30:00,-0.7235117689455421,
2021-04-23 15:00:00,-13.578373096078138,
2021-04-23 15:30:30,-13.578373096078138,
2021-04-23 23:59:59,0.0,a
2021-04-26 00:00:00,-8.09491192883982,
2021-04-26 10:00:00,-5.277209521150979,
2021-04-26 10:30:00,10.953657576028817,
2021-04-26 12:00:00,2.0997848871704576,
2021-04-26 13:30:00,-6.332389273767205,
2021-04-26 15:00:00,-19.97642290827629,
2021-04-26 15:30:30,-19.97642290827629,
2021-04-26 23:59:59,-31.859558081247044,c
2021-04-27 00:00:00,-18.557483453955072,
2021-04-27 10:00:00,-60.148300856547976,
2021-04-27 10:30:00,-53.73044305183194,
2021-04-27 12:00:00,-30.315370878440746,
2021-04-27 13:30:00,-29.75829231354659,
2021-04-27 15:00:00,-25.2625753137377,
2021-04-27 15:30:30,-25.2625753137377,
2021-04-27 23:59:59,-19.99141530416631,c
2021-04-28 00:00:00,-22.797547014949302,
2021-04-28 10:00:00,-20.98723125927671,
2021-04-28 10:30:00,-38.14080411256272,
2021-04-28 12:00:00,-27.803756541924827,
2021-04-28 13:30:00,-16.876487061459542,
2021-04-28 15:00:00,8.575935500923393,
2021-04-28 15:30:30,8.575935500923393,
2021-04-28 23:59:59,37.65148501382184,c
2021-04-29 00:00:00,-21.994647828870214,
2021-04-29 10:00:00,3.4308517979810205,
2021-04-29 10:30:00,14.478819107593225,
2021-04-29 12:00:00,45.25408653360218,
2021-04-29 13:30:00,62.90954712560658,
2021-04-29 15:00:00,55.64659882031124,
2021-04-29 15:30:30,55.64659882031124,
2021-04-29 23:59:59,49.749701140916656,c
2021-04-30 00:00:00,67.47997969303084,
2021-04-30 10:00:00,134.39222008567754,
2021-04-30 10:30:00,168.22632911973244,
2021-04-30 12:00:00,130.8800857605654,
2021-04-30 13:30:00,109.93704512427148,
2021-04-30 15:00:00,129.6977928115848,
2021-04-30 15:30:30,129.6977928115848,
2021-04-30 23:59:59,71.4919288653498,e
2021-05-03 00:00:00,71.183124868648,
2021-05-03 10:00:00,5.354886131534997,
2021-05-03 10:30:00,25.87223435021137,
2021-05-03 12:00:00,-14.404088467056113,
2021-05-03 13:30:00,-31.649808328670318,
2021-05-03 15:00:00,-56.93749186689254,
2021-05-03 15:30:30,-56.93749186689254,
2021-05-03 23:59:59,-57.64459587466692,c
2021-05-04 00:00:00,-60.6318090943645,
2021-05-04 10:00:00,-84.0004915043528,
2021-05-04 10:30:00,-103.29701165275152,
2021-05-04 12:00:00,-123.0600707046408,
2021-05-04 13:30:00,-117.90409453879684,
2021-05-04 15:00:00,-115.77860784653551,
2021-05-04 15:30:30,-115.77860784653551,
2021-05-04 23:59:59,-93.49930422615546,c
2021-05-05 00:00:00,-92.9437924932117,
2021-05-05 10:00:00,-111.76013553294666,
2021-05-05 10:30:00,-109.98106420254726,
2021-05-05 12:00:00,-114.85161783702537,
2021-05-05 13:30:00,-90.35372320759569,
2021-05-05 15:00:00,-71.7579330556849,
2021-05-05 15:30:30,-71.7579330556849,
2021-05-05 23:59:59,-68.23147035594475,c
2021-05-06 00:00:00,-74.271266836016,
2021-05-06 10:00:00,-106.1867612290914,
2021-05-06 10:30:00,-105.0838949837013,
2021-05-06 12:00:00,-86.38890741923053,
2021-05-06 13:30:00,-105.22157402951284,
2021-05-06 15:00:00,-99.56410587084096,
2021-05-06 15:30:30,-99.56410587084096,
2021-05-06 23:59:59,-128.5974732889474,c
2021-05-07 00:00:00,-138.9606756787153,
2021-05-07 10:00:00,-124.15626508884948,
2021-05-07 10:30:00,-128.38327088694058,
2021-05-07 12:00:00,-196.42845488064967,
2021-05-07 13:30:00,-207.30745655577812,
2021-05-07 15:00:00,-175.7375150117486,
2021-05-07 15:30:30,-175.7375150117486,
2021-05-07 23:59:59,-184.26725763602423,w
2021-05-10 00:00:00,-212.57434202443525,
2021-05-10 10:00:00,-164.99998829748006,
2021-05-10 10:30:00,-133.6779347379399,
2021-05-10 12:00:00,-146.1639870111248,
2021-05-10 13:30:00,-144.97861741600244,
2021-05-10 15:00:00,-151.04194202110438,
2021-05-10 15:30:30,-151.04194202110438,
2021-05-10 23:59:59,-119.93076144395725,c
2021-05-11 00:00:00,-110.07322693534356,
2021-05-11 10:00:00,-112.7310440822153,
2021-05-11 10:30:00,-60.54798215550895,
2021-05-11 12:00:00,-75.8905086965195,
2021-05-11 13:30:00,-93.1016646030404,
2021-05-11 15:00:00,-124.13195096140298,
2021-05-11 15:30:30,-124.13195096140298,
2021-05-11 23:59:59,-104.28880894851109,c
2021-05-12 00:00:00,-70.87307509023535,
2021-05-12 10:00:00,-90.20507123880584,
2021-05-12 10:30:00,-76.44596873932255,
2021-05-12 12:00:00,-94.11069597814864,
2021-05-12 13:30:00,-83.63238881041389,
2021-05-12 15:00:00,-68.65133177457702,
2021-05-12 15:30:30,-68.65133177457702,
2021-05-12 23:59:59,-64.114348318931,c
2021-05-13 00:00:00,-81.35102247248645,
2021-05-13 10:00:00,-66.10717514283365,
2021-05-13 10:30:00,-61.77120052179074,
2021-05-13 12:00:00,-32.96444832546575,
2021-05-13 13:30:00,-48.69068271572155,
2021-05-13 15:00:00,-55.550250830830635,
