date,EU_IBUY_2022_Q2,meta
2022-04-21 00:00:00,1561.1382789444651,
2022-04-21 03:30:00,1511.3912613223674,
2022-04-21 04:00:00,1642.1524299704597,
2022-04-21 06:00:00,1548.1814436214372,
2022-04-21 08:00:00,1688.4232057789104,
2022-04-21 10:30:00,1572.282093341557,
2022-04-21 11:00:00,1487.296595783664,
2022-04-21 23:59:59,1588.9592475839781,c
2022-04-22 00:00:00,1588.9592475839781,
2022-04-22 03:30:00,1435.022903457164,
2022-04-22 04:00:00,1505.0118180081445,
2022-04-22 06:00:00,1380.8263698912106,
2022-04-22 08:00:00,1330.6471502816603,
2022-04-22 10:30:00,1186.463374055269,
2022-04-22 11:00:00,1200.6984872977519,
2022-04-22 23:59:59,1205.5589938088815,w
2022-04-25 00:00:00,1094.2067548323212,
2022-04-25 03:30:00,1075.825038045974,
2022-04-25 04:00:00,955.7411767136491,
2022-04-25 06:00:00,811.319924463236,
2022-04-25 08:00:00,919.8729621730308,
2022-04-25 10:30:00,915.7203125371452,
2022-04-25 11:00:00,883.3577719873028,
2022-04-25 23:59:59,946.4245199338911,c
2022-04-26 00:00:00,1049.9379405776745,
2022-04-26 03:30:00,890.029068274478,
2022-04-26 04:00:00,945.0884117544938,
2022-04-26 06:00:00,1015.5839565257065,
2022-04-26 08:00:00,865.5709619600766,
2022-04-26 10:30:00,738.4986123412255,
2022-04-26 11:00:00,554.3617641471646,
2022-04-26 23:59:59,561.0759556453468,c
2022-04-27 00:00:00,580.2878970025049,
2022-04-27 03:30:00,405.2001815648837,
2022-04-27 04:00:00,552.3975012799037,
2022-04-27 06:00:00,540.8438565550823,
2022-04-27 08:00:00,471.680211336361,
2022-04-27 10:30:00,407.0168147122822,
2022-04-27 11:00:00,361.9793766361345,
2022-04-27 23:59:59,463.3060668625094,c
2022-04-28 00:00:00,453.1110454019963,
2022-04-28 03:30:00,428.792809584731,
2022-04-28 04:00:00,896.9003155692008,
2022-04-28 06:00:00,718.9296876765675,
2022-04-28 08:00:00,696.7641196383029,
2022-04-28 10:30:00,581.2422767139578,
2022-04-28 11:00:00,558.23632781181,
2022-04-28 23:59:59,604.2806090336435,c
2022-04-29 00:00:00,505.6721468827236,
2022-04-29 03:30:00,603.1333286897261,
2022-04-29 04:00:00,559.549259062007,
2022-04-29 06:00:00,686.1952748008916,
2022-04-29 08:00:00,719.4861275944568,
2022-04-29 10:30:00,752.4218438022108,
2022-04-29 11:00:00,859.5607850649903,
2022-04-29 23:59:59,859.5184618817657,w
2022-05-02 00:00:00,739.5344074833447,
2022-05-02 03:30:00,708.9186287835437,
2022-05-02 04:00:00,440.38905362194964,
2022-05-02 06:00:00,708.4712490646416,
2022-05-02 08:00:00,624.6936846523404,
2022-05-02 10:30:00,831.9046151109142,
2022-05-02 11:00:00,768.8860446895087,
2022-05-02 23:59:59,845.0645030590786,c
2022-05-03 00:00:00,967.7670769205233,
2022-05-03 03:30:00,1076.7084652777085,
2022-05-03 04:00:00,1066.4091660870872,
2022-05-03 06:00:00,957.2761375170849,
2022-05-03 08:00:00,983.4104374010403,
2022-05-03 10:30:00,843.1649526697729,
2022-05-03 11:00:00,779.6274984389693,
2022-05-03 23:59:59,750.1601096976647,c
2022-05-04 00:00:00,710.5809135589825,
2022-05-04 03:30:00,604.3532492186896,
2022-05-04 04:00:00,613.1089153012836,
2022-05-04 06:00:00,537.86543260092,
2022-05-04 08:00:00,587.959510619341,
2022-05-04 10:30:00,510.00037360000715,
2022-05-04 11:00:00,482.1357644384443,
2022-05-04 23:59:59,458.5150490671858,c
2022-05-05 00:00:00,411.8444554057987,
2022-05-05 03:30:00,649.9828188967567,
2022-05-05 04:00:00,655.4322148504834,
2022-05-05 06:00:00,787.5595303629052,
2022-05-05 08:00:00,541.1655449937753,
2022-05-05 10:30:00,38.43093730502733,
2022-05-05 11:00:00,-11.641277428991089,
2022-05-05 23:59:59,0.0,a
2022-05-06 00:00:00,0.0,
2022-05-06 03:30:00,75.37387321177448,
2022-05-06 04:00:00,60.648103934701794,
2022-05-06 06:00:00,85.14290922245345,
2022-05-06 08:00:00,89.11794757198186,
2022-05-06 10:30:00,8.348943173101361,
2022-05-06 11:00:00,101.49257444969226,
2022-05-06 23:59:59,39.771748376088,w
2022-05-09 00:00:00,-62.75612294122402,
2022-05-09 03:30:00,-90.15932001839246,
2022-05-09 04:00:00,-173.2096304186216,
2022-05-09 06:00:00,-267.5430478129165,
2022-05-09 08:00:00,-252.8606233483879,
