date,AS_JETS_2022_Q1,meta
2022-02-04 00:00:00,-538.538777487762,
2022-02-04 01:00:00,-489.88496161851776,
2022-02-04 02:30:00,-532.1238135391363,
2022-02-04 03:00:00,-529.3637402206848,
2022-02-04 18:30:00,-529.3637402206848,
2022-02-04 20:00:00,-529.3637402206848,
2022-02-04 23:00:00,-529.3637402206848,
2022-02-04 23:59:59,-529.844163288175,w
2022-02-07 00:00:00,-558.0614706807892,
2022-02-07 01:00:00,-530.9218581598973,
2022-02-07 02:30:00,-578.2247117231886,
2022-02-07 03:00:00,-573.0062783729311,
2022-02-07 18:30:00,-573.0062783729311,
2022-02-07 20:00:00,-552.1732825019337,
2022-02-07 23:00:00,-445.30748284579,
2022-02-07 23:59:59,-440.96368322125727,c
2022-02-08 00:00:00,-519.360836219528,
2022-02-08 01:00:00,-544.2022181300945,
2022-02-08 02:30:00,-509.61702438782277,
2022-02-08 03:00:00,-509.84098952410295,
2022-02-08 18:30:00,-509.84098952410295,
2022-02-08 20:00:00,-541.5691514055468,
2022-02-08 23:00:00,-384.44375434925814,
2022-02-08 23:59:59,-380.81843342677826,c
2022-02-09 00:00:00,-347.8531850434365,
2022-02-09 01:00:00,-351.6751561348308,
2022-02-09 02:30:00,-362.19185899491845,
2022-02-09 03:00:00,-335.38922257279023,
2022-02-09 18:30:00,-335.38922257279023,
2022-02-09 20:00:00,-332.79416804542734,
2022-02-09 23:00:00,-140.20375375833282,
2022-02-09 23:59:59,-130.77836313945227,c
2022-02-10 00:00:00,-291.0785336182223,
2022-02-10 01:00:00,-303.7495600687812,
2022-02-10 02:30:00,-232.32152081858248,
2022-02-10 03:00:00,-272.05107040158373,
2022-02-10 18:30:00,-272.05107040158373,
2022-02-10 20:00:00,-272.05107040158373,
2022-02-10 23:00:00,-202.86927242032425,
2022-02-10 23:59:59,-202.79047980095265,c
2022-02-11 00:00:00,-218.6069815175963,
2022-02-11 01:00:00,-168.81020724040445,
2022-02-11 02:30:00,-238.36317748056308,
2022-02-11 03:00:00,-291.3436764613191,
2022-02-11 18:30:00,-291.3436764613191,
