date,SDOG_2021_Q4,meta
2021-12-10 10:00:00,41.82254340152754,
2021-12-10 10:30:00,34.561091701858686,
2021-12-10 12:00:00,29.199548301362796,
2021-12-10 13:30:00,23.39344566828484,
2021-12-10 15:00:00,15.094808508923137,
2021-12-10 15:30:30,15.094808508923137,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,15.16891658171835,
2021-12-13 10:00:00,30.626646094642126,
2021-12-13 10:30:00,26.944707911307773,
2021-12-13 12:00:00,17.205213480803565,
2021-12-13 13:30:00,17.188363036643153,
2021-12-13 15:00:00,25.192983956852515,
2021-12-13 15:30:30,25.192983956852515,
2021-12-13 23:59:59,18.596076610505918,c
2021-12-14 00:00:00,12.777831311113573,
2021-12-14 10:00:00,10.307792562611155,
2021-12-14 10:30:00,6.339788858241519,
2021-12-14 12:00:00,-3.2313828479918527,
2021-12-14 13:30:00,-14.892388145866335,
2021-12-14 15:00:00,-8.52219138944983,
2021-12-14 15:30:30,-8.52219138944983,
2021-12-14 23:59:59,-13.89585647223032,c
2021-12-15 00:00:00,-17.73988810189627,
2021-12-15 10:00:00,-8.30151481946453,
2021-12-15 10:30:00,-23.018192990602188,
2021-12-15 12:00:00,-32.50737732139922,
2021-12-15 13:30:00,-49.61258331149364,
2021-12-15 15:00:00,-51.80205673651378,
2021-12-15 15:30:30,-51.80205673651378,
2021-12-15 23:59:59,-51.45000047344067,c
2021-12-16 00:00:00,-43.548965538792174,
2021-12-16 10:00:00,-19.56275385884331,
2021-12-16 10:30:00,-38.59449896873551,
2021-12-16 12:00:00,-72.30366817896012,
2021-12-16 13:30:00,-63.746665197253634,
2021-12-16 15:00:00,-51.89547666398474,
2021-12-16 15:30:30,-51.89547666398474,
2021-12-16 23:59:59,-44.57290561223746,c
2021-12-17 00:00:00,-36.52900185548236,
2021-12-17 10:00:00,-36.67773968475822,
2021-12-17 10:30:00,-21.90581734862039,
2021-12-17 12:00:00,-24.796485480216546,
2021-12-17 13:30:00,-17.43450321966222,
2021-12-17 15:00:00,-28.630114668144387,
2021-12-17 15:30:30,-28.630114668144387,
2021-12-17 23:59:59,-28.310282675735948,e
2021-12-20 00:00:00,-29.751987342980442,
2021-12-20 10:00:00,-62.887820439035295,
2021-12-20 10:30:00,-62.446793889882116,
2021-12-20 12:00:00,-73.88405146542019,
2021-12-20 13:30:00,-71.90795937402697,
2021-12-20 15:00:00,-79.27679425348626,
2021-12-20 15:30:30,-79.27679425348626,
2021-12-20 23:59:59,-89.94572569547606,c
2021-12-21 00:00:00,-95.53073031547879,
2021-12-21 10:00:00,-81.02359879538358,
2021-12-21 10:30:00,-78.41000084595879,
2021-12-21 12:00:00,-93.25901999347187,
2021-12-21 13:30:00,-106.28870576723867,
2021-12-21 15:00:00,-119.42110821934344,
2021-12-21 15:30:30,-119.42110821934344,
2021-12-21 23:59:59,-116.33700186450002,c
2021-12-22 00:00:00,-117.60614789244951,
2021-12-22 10:00:00,-139.99652170035543,
2021-12-22 10:30:00,-146.16741724457606,
2021-12-22 12:00:00,-151.5556756839142,
2021-12-22 13:30:00,-154.38644413929833,
2021-12-22 15:00:00,-146.62873710124327,
2021-12-22 15:30:30,-146.62873710124327,
2021-12-22 23:59:59,-155.3191928652092,c
2021-12-23 00:00:00,-158.6823159276128,
2021-12-23 10:00:00,-147.6236924080384,
2021-12-23 10:30:00,-150.1199687970931,
2021-12-23 12:00:00,-144.02352195127807,
2021-12-23 13:30:00,-139.14969477566362,
2021-12-23 15:00:00,-140.82280490873538,
2021-12-23 15:30:30,-140.82280490873538,
2021-12-23 23:59:59,-135.6125613121042,c
2021-12-24 00:00:00,-135.6125613121042,
2021-12-24 10:00:00,-135.6125613121042,
2021-12-24 10:30:00,-135.6125613121042,
2021-12-24 12:00:00,-135.6125613121042,
2021-12-24 13:30:00,-135.6125613121042,
2021-12-24 15:00:00,-135.6125613121042,
2021-12-24 15:30:30,-135.6125613121042,
2021-12-24 23:59:59,-135.6125613121042,w
2021-12-27 00:00:00,-142.03985870803925,
2021-12-27 10:00:00,-140.64620521622336,
2021-12-27 10:30:00,-149.91281571428274,
2021-12-27 12:00:00,-144.5488370395328,
2021-12-27 13:30:00,-148.14519017722287,
2021-12-27 15:00:00,-147.9319396677458,
2021-12-27 15:30:30,-147.9319396677458,
2021-12-27 23:59:59,-150.76113173036165,c
2021-12-28 00:00:00,-151.41279705950976,
2021-12-28 10:00:00,-143.72276111041472,
2021-12-28 10:30:00,-133.3159136534109,
2021-12-28 12:00:00,-128.00863621029575,
2021-12-28 13:30:00,-138.6815052542551,
2021-12-28 15:00:00,-143.84987273552932,
2021-12-28 15:30:30,-143.84987273552932,
