date,FDN_HEDGED_2021_Q1,meta
2021-02-05 00:00:00,73.40340408937065,
2021-02-05 10:00:00,74.34739647774894,
2021-02-05 10:30:00,56.117851171548125,
2021-02-05 12:00:00,42.31979584369503,
2021-02-05 13:30:00,30.328815309562042,
2021-02-05 15:00:00,16.370607955033687,
2021-02-05 15:30:30,16.370607955033687,
2021-02-05 23:59:59,29.851264968153114,w
2021-02-08 00:00:00,21.69912373693608,
2021-02-08 10:00:00,26.89979381708971,
2021-02-08 10:30:00,9.25404853341346,
2021-02-08 12:00:00,6.335661789853037,
2021-02-08 13:30:00,-6.371069428162824,
2021-02-08 15:00:00,-9.026684445069364,
2021-02-08 15:30:30,-9.026684445069364,
2021-02-08 23:59:59,-10.785494934921886,c
2021-02-09 00:00:00,26.000602153917335,
2021-02-09 10:00:00,-10.46796485517504,
2021-02-09 10:30:00,-11.139980047982974,
2021-02-09 12:00:00,-13.170583020654828,
2021-02-09 13:30:00,20.642475605012272,
2021-02-09 15:00:00,42.567869638027,
2021-02-09 15:30:30,42.567869638027,
2021-02-09 23:59:59,37.31863783520811,c
2021-02-10 00:00:00,13.105276303908898,
2021-02-10 10:00:00,51.474806617248646,
2021-02-10 10:30:00,2.411947069085328,
2021-02-10 12:00:00,9.756579685321514,
2021-02-10 13:30:00,-15.811708159398759,
2021-02-10 15:00:00,-6.8964708157218935,
2021-02-10 15:30:30,-6.8964708157218935,
2021-02-10 23:59:59,-3.400853491349488,c
2021-02-11 00:00:00,-64.78815520014673,
2021-02-11 10:00:00,-84.56291251834129,
2021-02-11 10:30:00,-79.58649767007887,
2021-02-11 12:00:00,-72.58958371519091,
2021-02-11 13:30:00,-49.81077805066167,
2021-02-11 15:00:00,-52.01696657481657,
2021-02-11 15:30:30,-52.01696657481657,
2021-02-11 23:59:59,-72.44265874584413,c
2021-02-12 00:00:00,-144.88560265949664,
2021-02-12 10:00:00,-146.31837979980344,
2021-02-12 10:30:00,-166.1093303925766,
2021-02-12 12:00:00,-141.1756488573143,
2021-02-12 13:30:00,-153.68505192763888,
2021-02-12 15:00:00,-158.13011833624353,
2021-02-12 15:30:30,-158.13011833624353,
