date,AS_FTSE_DM_AD_2023_Q1,meta
2023-01-27 02:30:00,-116.17275437193348,
2023-01-27 03:00:00,-116.17275437193348,
2023-01-27 18:30:00,-116.17275437193348,
2023-01-27 20:00:00,-116.17275437193348,
2023-01-27 23:00:00,-116.17275437193348,
2023-01-27 23:59:59,-116.27822443134376,w
2023-01-30 00:00:00,-78.21748625712812,
2023-01-30 01:00:00,-83.37166821110151,
2023-01-30 02:30:00,-83.37166821110151,
2023-01-30 03:00:00,-83.37166821110151,
2023-01-30 18:30:00,-88.26851406347369,
2023-01-30 20:00:00,-68.547720720603,
2023-01-30 23:00:00,-24.002892335612216,
2023-01-30 23:59:59,-28.276573776795587,c
2023-01-31 00:00:00,-51.66305965765021,
2023-01-31 01:00:00,-38.74352977389836,
2023-01-31 02:30:00,-38.74352977389836,
2023-01-31 03:00:00,-38.74352977389836,
2023-01-31 18:30:00,-36.125910292055764,
2023-01-31 20:00:00,30.977109425933605,
2023-01-31 23:00:00,28.085959562562266,
2023-01-31 23:59:59,22.862007288084328,c
2023-02-01 00:00:00,20.026920846092167,
2023-02-01 01:00:00,18.535921859209623,
2023-02-01 02:30:00,18.535921859209623,
2023-02-01 03:00:00,18.535921859209623,
2023-02-01 18:30:00,13.883005195792776,
2023-02-01 20:00:00,28.802395719454182,
2023-02-01 23:00:00,48.71766566208527,
2023-02-01 23:59:59,44.76081563993401,c
2023-02-02 00:00:00,44.42429499426831,
2023-02-02 01:00:00,48.597690186872654,
2023-02-02 02:30:00,48.597690186872654,
2023-02-02 03:00:00,48.597690186872654,
2023-02-02 18:30:00,53.56378435355009,
2023-02-02 20:00:00,0.345141871734711,
2023-02-02 23:00:00,3.4575074300305317,
2023-02-02 23:59:59,2.3251622997623116,c
2023-02-03 00:00:00,13.167310034227796,
2023-02-03 01:00:00,14.993867294644588,
2023-02-03 02:30:00,14.993867294644588,
2023-02-03 03:00:00,14.993867294644588,
2023-02-03 18:30:00,14.993867294644588,
2023-02-03 20:00:00,14.993867294644588,
2023-02-03 23:00:00,14.993867294644588,
2023-02-03 23:59:59,15.847858891553756,w
2023-02-06 00:00:00,31.875910768271808,
2023-02-06 01:00:00,20.002147783867002,
2023-02-06 02:30:00,20.002147783867002,
2023-02-06 03:00:00,20.002147783867002,
2023-02-06 18:30:00,18.41827931184639,
2023-02-06 20:00:00,36.21878098351016,
2023-02-06 23:00:00,25.376237691709804,
2023-02-06 23:59:59,25.01009629404527,c
