date,MSCI_FACT_QUAL_2020_Q4,meta
2020-10-14 00:00:00,230.64236224366712,
2020-10-14 10:00:00,217.35069953242956,
2020-10-14 10:30:00,218.8817720030485,
2020-10-14 12:00:00,219.70594800381818,
2020-10-14 13:30:00,219.97509363369366,
2020-10-14 15:00:00,226.05064914118051,
2020-10-14 15:30:30,226.05064914118051,
2020-10-14 23:59:59,223.13938882649686,c
2020-10-15 00:00:00,222.42967045250154,
2020-10-15 10:00:00,219.2888808270899,
2020-10-15 10:30:00,216.55310097152622,
2020-10-15 12:00:00,216.1613673838477,
2020-10-15 13:30:00,227.6148389001764,
2020-10-15 15:00:00,226.62506381545288,
2020-10-15 15:30:30,226.62506381545288,
2020-10-15 23:59:59,223.73653368814732,c
2020-10-16 00:00:00,226.95687730616848,
2020-10-16 10:00:00,245.84915726082895,
2020-10-16 10:30:00,249.98541183364327,
2020-10-16 12:00:00,245.80998423506892,
2020-10-16 13:30:00,245.486002055611,
2020-10-16 15:00:00,242.82879586110082,
2020-10-16 15:30:30,242.82879586110082,
2020-10-16 23:59:59,242.29160419061193,w
2020-10-19 00:00:00,250.90679989070705,
2020-10-19 10:00:00,251.9097478893639,
2020-10-19 10:30:00,257.3763958858267,
2020-10-19 12:00:00,248.28450619194942,
2020-10-19 13:30:00,250.90634964804062,
2020-10-19 15:00:00,248.63430646466188,
2020-10-19 15:30:30,248.63430646466188,
2020-10-19 23:59:59,243.2399588969669,c
2020-10-20 00:00:00,243.67964050868025,
2020-10-20 10:00:00,218.6393973708064,
2020-10-20 10:30:00,220.75020956573942,
2020-10-20 12:00:00,214.74864172433112,
2020-10-20 13:30:00,208.60867594533406,
2020-10-20 15:00:00,211.51464326292668,
2020-10-20 15:30:30,211.51464326292668,
2020-10-20 23:59:59,209.0419023216239,c
2020-10-21 00:00:00,196.67186492406958,
2020-10-21 10:00:00,188.20643888211944,
2020-10-21 10:30:00,174.65664060311138,
2020-10-21 12:00:00,166.79823868238108,
2020-10-21 13:30:00,164.81347396266298,
2020-10-21 15:00:00,163.32960418611285,
2020-10-21 15:30:30,163.32960418611285,
2020-10-21 23:59:59,155.7849332471271,c
2020-10-22 00:00:00,121.98161887363358,
2020-10-22 10:00:00,110.7072071106846,
2020-10-22 10:30:00,107.41296578776468,
2020-10-22 12:00:00,114.35587220031638,
2020-10-22 13:30:00,111.94720451667163,
2020-10-22 15:00:00,103.81415487080827,
2020-10-22 15:30:30,103.81415487080827,
