date,MSCI_FACT_USMV_2020_Q4,meta
2020-10-14 00:00:00,843.9312748209234,
2020-10-14 10:00:00,782.8449485854342,
2020-10-14 10:30:00,787.7334149732325,
2020-10-14 12:00:00,784.3877561919044,
2020-10-14 13:30:00,761.9004343998906,
2020-10-14 15:00:00,786.5368602278484,
2020-10-14 15:30:30,786.5368602278484,
2020-10-14 23:59:59,800.9099539495951,c
2020-10-15 00:00:00,755.3042031474608,
2020-10-15 10:00:00,760.6557575209652,
2020-10-15 10:30:00,713.0054769653855,
2020-10-15 12:00:00,688.7806672366428,
2020-10-15 13:30:00,672.9292932022959,
2020-10-15 15:00:00,679.1372409635146,
2020-10-15 15:30:30,679.1372409635146,
2020-10-15 23:59:59,690.8032386546156,c
2020-10-16 00:00:00,705.2258677780007,
2020-10-16 10:00:00,751.2835190021958,
2020-10-16 10:30:00,767.0370133981924,
2020-10-16 12:00:00,738.8910858110205,
2020-10-16 13:30:00,736.8597242721455,
2020-10-16 15:00:00,737.9025408735936,
2020-10-16 15:30:30,737.9025408735936,
2020-10-16 23:59:59,737.3624530047462,w
2020-10-19 00:00:00,757.9964892759692,
2020-10-19 10:00:00,751.0912588000697,
2020-10-19 10:30:00,742.9594650135501,
2020-10-19 12:00:00,735.6907450185296,
2020-10-19 13:30:00,754.0210515218854,
2020-10-19 15:00:00,750.150435860787,
2020-10-19 15:30:30,750.150435860787,
2020-10-19 23:59:59,757.5660607909128,c
2020-10-20 00:00:00,742.4358030764814,
2020-10-20 10:00:00,696.3244647768482,
2020-10-20 10:30:00,693.4379483427647,
2020-10-20 12:00:00,696.6622528310564,
2020-10-20 13:30:00,681.9718023391664,
2020-10-20 15:00:00,681.922493532318,
2020-10-20 15:30:30,681.922493532318,
2020-10-20 23:59:59,677.0141402187364,c
2020-10-21 00:00:00,695.3992200287989,
2020-10-21 10:00:00,690.6113275801142,
2020-10-21 10:30:00,656.8655917815297,
2020-10-21 12:00:00,630.6229204367197,
2020-10-21 13:30:00,627.0497137099015,
2020-10-21 15:00:00,629.4895037316596,
2020-10-21 15:30:30,629.4895037316596,
2020-10-21 23:59:59,614.6021175629168,c
2020-10-22 00:00:00,613.5652999857593,
2020-10-22 10:00:00,598.1788892831635,
2020-10-22 10:30:00,576.4543433324054,
2020-10-22 12:00:00,561.7793188408607,
2020-10-22 13:30:00,573.1221069216583,
2020-10-22 15:00:00,566.3726635878928,
2020-10-22 15:30:30,566.3726635878928,
2020-10-22 23:59:59,564.7225047656045,c
2020-10-23 00:00:00,549.6539974873776,
2020-10-23 10:00:00,544.8870994844549,
2020-10-23 10:30:00,557.2307383365192,
2020-10-23 12:00:00,544.9335651669098,
2020-10-23 13:30:00,551.8435333115738,
2020-10-23 15:00:00,543.5439144515299,
2020-10-23 15:30:30,543.5439144515299,
2020-10-23 23:59:59,550.8147947314466,w
2020-10-26 00:00:00,569.182668508703,
2020-10-26 10:00:00,628.6121684039595,
2020-10-26 10:30:00,625.8907411188666,
2020-10-26 12:00:00,618.7277190865159,
2020-10-26 13:30:00,624.8486891585196,
2020-10-26 15:00:00,637.3675327443177,
2020-10-26 15:30:30,637.3675327443177,
2020-10-26 23:59:59,636.466816594743,c
2020-10-27 00:00:00,648.7481853842171,
2020-10-27 10:00:00,673.0961264803793,
2020-10-27 10:30:00,653.5537618265596,
2020-10-27 12:00:00,697.1448070332192,
2020-10-27 13:30:00,694.2321275451585,
2020-10-27 15:00:00,716.9432748971525,
2020-10-27 15:30:30,716.9432748971525,
2020-10-27 23:59:59,739.1367042383081,c
2020-10-28 00:00:00,749.7248809030045,
2020-10-28 10:00:00,738.5271203317907,
2020-10-28 10:30:00,725.7724307059525,
2020-10-28 12:00:00,720.9774065378892,
2020-10-28 13:30:00,730.4040727094517,
2020-10-28 15:00:00,750.1877360437553,
2020-10-28 15:30:30,750.1877360437553,
