date,AS_HEAL_2022_Q2,meta
2022-06-10 03:00:00,-103.14393242842016,
2022-06-10 18:30:00,-103.14393242842016,
2022-06-10 20:00:00,-103.14393242842016,
2022-06-10 23:00:00,-103.14393242842016,
2022-06-10 23:59:59,-101.00346266773158,w
2022-06-13 00:00:00,-253.44601968019924,
2022-06-13 01:00:00,-273.44179026718484,
2022-06-13 02:30:00,-291.5617459020523,
2022-06-13 03:00:00,-293.39540735156424,
2022-06-13 18:30:00,-293.39540735156424,
2022-06-13 20:00:00,-293.39540735156424,
2022-06-13 23:00:00,-276.5596156231968,
2022-06-13 23:59:59,-280.060337136988,c
2022-06-14 00:00:00,-375.7866063950887,
2022-06-14 01:00:00,-363.292244365487,
2022-06-14 02:30:00,-338.9032119960011,
2022-06-14 03:00:00,-343.49775696199686,
2022-06-14 18:30:00,-343.49775696199686,
2022-06-14 20:00:00,-343.49775696199686,
2022-06-14 23:00:00,-427.66766072937116,
2022-06-14 23:59:59,-446.3404279720662,c
2022-06-15 00:00:00,-458.8898384235963,
2022-06-15 01:00:00,-466.7689900002515,
2022-06-15 02:30:00,-449.6570897089068,
2022-06-15 03:00:00,-454.5123719410394,
2022-06-15 18:30:00,-454.5123719410394,
2022-06-15 20:00:00,-454.5123719410394,
2022-06-15 23:00:00,-503.25535998684336,
2022-06-15 23:59:59,-499.6090533131119,c
2022-06-16 00:00:00,-468.3525233003156,
2022-06-16 01:00:00,-515.2591413834334,
2022-06-16 02:30:00,-561.5593002640171,
2022-06-16 03:00:00,-560.5458322273616,
2022-06-16 18:30:00,-560.5458322273616,
2022-06-16 20:00:00,-560.5458322273616,
2022-06-16 23:00:00,-487.0911227855386,
2022-06-16 23:59:59,-468.02838057632107,c
2022-06-17 00:00:00,-518.2388632004076,
2022-06-17 01:00:00,-477.36528868589903,
2022-06-17 02:30:00,-430.2502566136145,
2022-06-17 03:00:00,-436.5703158366814,
2022-06-17 18:30:00,-436.5703158366814,
2022-06-17 20:00:00,-436.5703158366814,
2022-06-17 23:00:00,-436.5703158366814,
2022-06-17 23:59:59,-389.616274777939,e
2022-06-20 00:00:00,-534.4229634581852,
2022-06-20 01:00:00,-543.3727205131181,
2022-06-20 02:30:00,-559.7421626207852,
2022-06-20 03:00:00,-561.1507259580576,
2022-06-20 18:30:00,-561.1507259580576,
2022-06-20 20:00:00,-561.1507259580576,
2022-06-20 23:00:00,-554.3025756718998,
2022-06-20 23:59:59,-514.9949094494086,c
2022-06-21 00:00:00,-495.4091215221724,
2022-06-21 01:00:00,-467.2679297595623,
2022-06-21 02:30:00,-471.8867981031626,
2022-06-21 03:00:00,-474.8917320620121,
2022-06-21 18:30:00,-474.8917320620121,
2022-06-21 20:00:00,-474.8917320620121,
2022-06-21 23:00:00,-573.5615899674094,
2022-06-21 23:59:59,-581.0242940815788,c
2022-06-22 00:00:00,-550.5129638227991,
2022-06-22 01:00:00,-546.7454650099817,
2022-06-22 02:30:00,-596.6414260871279,
2022-06-22 03:00:00,-600.0003490231602,
2022-06-22 18:30:00,-600.0003490231602,
2022-06-22 20:00:00,-600.0003490231602,
2022-06-22 23:00:00,-529.9487522887157,
2022-06-22 23:59:59,-579.8574756262524,c
2022-06-23 00:00:00,-571.6047492531761,
2022-06-23 01:00:00,-528.8104676485173,
2022-06-23 02:30:00,-599.1470187062814,
2022-06-23 03:00:00,-586.6709716744817,
2022-06-23 18:30:00,-586.6709716744817,
2022-06-23 20:00:00,-586.6709716744817,
2022-06-23 23:00:00,-460.80481121655794,
2022-06-23 23:59:59,-443.9135764827097,c
2022-06-24 00:00:00,-437.2737239550552,
2022-06-24 01:00:00,-423.61105238439995,
2022-06-24 02:30:00,-409.6931045619567,
2022-06-24 03:00:00,-400.8476296259887,
2022-06-24 18:30:00,-400.8476296259887,
2022-06-24 20:00:00,-400.8476296259887,
2022-06-24 23:00:00,-400.8476296259887,
2022-06-24 23:59:59,-415.79455883239007,w
2022-06-27 00:00:00,-344.473495728309,
2022-06-27 01:00:00,-339.19651745981173,
2022-06-27 02:30:00,-346.7342504182143,
2022-06-27 03:00:00,-349.39811345208,
2022-06-27 18:30:00,-349.39811345208,
2022-06-27 20:00:00,-349.39811345208,
2022-06-27 23:00:00,-321.74530852112275,
2022-06-27 23:59:59,-331.0721958476106,c
2022-06-28 00:00:00,-300.47495787858134,
2022-06-28 01:00:00,-336.04486213766086,
2022-06-28 02:30:00,-325.9814664381256,
2022-06-28 03:00:00,-323.691892015182,
2022-06-28 18:30:00,-323.691892015182,
2022-06-28 20:00:00,-323.691892015182,
2022-06-28 23:00:00,-219.9521389141255,
2022-06-28 23:59:59,-213.67892862973713,c
2022-06-29 00:00:00,-230.40210643807404,
2022-06-29 01:00:00,-231.9264157156349,
2022-06-29 02:30:00,-325.66298669180287,
2022-06-29 03:00:00,-296.55288733004636,
2022-06-29 18:30:00,-296.55288733004636,
2022-06-29 20:00:00,-296.55288733004636,
2022-06-29 23:00:00,-286.48452030132194,
2022-06-29 23:59:59,-308.0641374709421,c
2022-06-30 00:00:00,-293.44652170506833,
2022-06-30 01:00:00,-319.55826622133463,
2022-06-30 02:30:00,-368.8392987812467,
2022-06-30 03:00:00,-362.7485443349324,
2022-06-30 18:30:00,-362.7485443349324,
2022-06-30 20:00:00,-362.7485443349324,
2022-06-30 23:00:00,-496.5881453181728,
2022-06-30 23:59:59,-539.0452496222197,c
2022-07-01 00:00:00,-537.1047206321191,
2022-07-01 01:00:00,-533.8129614237887,
2022-07-01 02:30:00,-533.8129614237887,
2022-07-01 03:00:00,-533.8129614237887,
2022-07-01 18:30:00,-533.8129614237887,
2022-07-01 20:00:00,-533.8129614237887,
2022-07-01 23:00:00,-533.8129614237887,
2022-07-01 23:59:59,-519.2401114248405,w
