date,AS_MSCI_EM_REST_SC_2023_Q1,meta
2022-12-29 00:00:00,-392.44351289722766,
2022-12-29 01:00:00,-398.42338349284586,
2022-12-29 02:30:00,-376.31021572763484,
2022-12-29 03:00:00,-384.94753543513065,
2022-12-29 18:30:00,-384.94753543513065,
2022-12-29 20:00:00,-384.94753543513065,
2022-12-29 23:00:00,-384.5832153286742,
2022-12-29 23:59:59,-389.36176941724773,c
2022-12-30 00:00:00,-391.8489344197691,
2022-12-30 01:00:00,-397.63243315352054,
2022-12-30 02:30:00,-395.7638275641565,
2022-12-30 03:00:00,-391.5772880163671,
2022-12-30 18:30:00,-391.5772880163671,
2022-12-30 20:00:00,-391.5772880163671,
2022-12-30 23:00:00,-391.5772880163671,
2022-12-30 23:59:59,-387.0582758308947,w
2023-01-02 00:00:00,-376.4675967046149,
2023-01-02 01:00:00,-382.72894177599625,
2023-01-02 02:30:00,-379.79947322668215,
2023-01-02 03:00:00,-378.67004005891897,
2023-01-02 18:30:00,-378.67004005891897,
2023-01-02 20:00:00,-366.2423124861664,
2023-01-02 23:00:00,-342.9679016981439,
2023-01-02 23:59:59,-337.6456303458755,c
2023-01-03 00:00:00,-336.45333287344874,
2023-01-03 01:00:00,-355.2829272519749,
2023-01-03 02:30:00,-351.53503669380143,
2023-01-03 03:00:00,-344.3317131683208,
2023-01-03 18:30:00,-344.3317131683208,
2023-01-03 20:00:00,-367.83488624154023,
2023-01-03 23:00:00,-377.30403064345256,
2023-01-03 23:59:59,-412.43396814222643,c
2023-01-04 00:00:00,-407.6606399028621,
2023-01-04 01:00:00,-403.6623745954589,
2023-01-04 02:30:00,-398.69660720205746,
2023-01-04 03:00:00,-400.4427380788815,
2023-01-04 18:30:00,-400.4427380788815,
2023-01-04 20:00:00,-418.2535306369222,
2023-01-04 23:00:00,-418.0834850682461,
2023-01-04 23:59:59,-414.7984199205405,c
2023-01-05 00:00:00,-426.68773708066624,
2023-01-05 01:00:00,-457.4652124936808,
2023-01-05 02:30:00,-468.0302619892817,
2023-01-05 03:00:00,-468.01216861132,
2023-01-05 18:30:00,-468.01216861132,
2023-01-05 20:00:00,-516.891462236167,
2023-01-05 23:00:00,-514.5115676449516,
2023-01-05 23:59:59,-506.76444828509676,c
2023-01-06 00:00:00,-486.9038283159586,
2023-01-06 01:00:00,-534.2488435862855,
2023-01-06 02:30:00,-518.5854063114602,
2023-01-06 03:00:00,-514.7586554985962,
2023-01-06 18:30:00,-514.7586554985962,
2023-01-06 20:00:00,-514.7586554985962,
