date,SPHQ_HEDGED_2020_Q4,meta
2020-12-11 00:00:00,-12.53523407268176,
2020-12-11 10:00:00,-14.983738378942661,
2020-12-11 10:30:00,-1.9235095994473568,
2020-12-11 12:00:00,-2.122984266697131,
2020-12-11 13:30:00,-3.19949279994853,
2020-12-11 15:00:00,-1.791426082078658,
2020-12-11 15:30:30,-1.791426082078658,
2020-12-11 23:59:59,0.0,a
2020-12-14 00:00:00,-4.06604351766876,
2020-12-14 10:00:00,11.069314973191553,
2020-12-14 10:30:00,13.603753314553586,
2020-12-14 12:00:00,3.6015662234536308,
2020-12-14 13:30:00,-0.522769237583816,
2020-12-14 15:00:00,4.27063691880241,
2020-12-14 15:30:30,4.27063691880241,
2020-12-14 23:59:59,7.646950976736889,c
2020-12-15 00:00:00,-5.728506137989939,
2020-12-15 10:00:00,-14.882241392372777,
2020-12-15 10:30:00,-13.247866254413907,
2020-12-15 12:00:00,-12.693226909325006,
2020-12-15 13:30:00,-12.953640914399358,
2020-12-15 15:00:00,-4.818764279546599,
2020-12-15 15:30:30,-4.818764279546599,
2020-12-15 23:59:59,-2.1280724863742364,c
2020-12-16 00:00:00,7.1275226495567665,
2020-12-16 10:00:00,2.4889982650080924,
2020-12-16 10:30:00,1.931862924525234,
2020-12-16 12:00:00,-4.5075120747727055,
2020-12-16 13:30:00,-2.1717855958438577,
2020-12-16 15:00:00,-8.904074917154986,
2020-12-16 15:30:30,-8.904074917154986,
2020-12-16 23:59:59,-6.652740161123859,c
2020-12-17 00:00:00,-5.179038908923587,
2020-12-17 10:00:00,-0.09448462008623437,
2020-12-17 10:30:00,1.4998957921214924,
2020-12-17 12:00:00,-0.6774716505735796,
2020-12-17 13:30:00,-6.2274863673661685,
2020-12-17 15:00:00,-7.46719388290586,
2020-12-17 15:30:30,-7.46719388290586,
2020-12-17 23:59:59,-6.72229213960199,c
2020-12-18 00:00:00,1.2703106523918564,
2020-12-18 10:00:00,-0.4853896339293442,
2020-12-18 10:30:00,6.410384895253856,
2020-12-18 12:00:00,-7.1291798560448285,
2020-12-18 13:30:00,-10.35454897916378,
2020-12-18 15:00:00,-9.958858921781314,
2020-12-18 15:30:30,-9.958858921781314,
2020-12-18 23:59:59,1.3334485584415177,e
2020-12-21 00:00:00,-3.7991745878873076,
2020-12-21 10:00:00,4.498972727094383,
2020-12-21 10:30:00,9.240325545455164,
2020-12-21 12:00:00,6.3498671535761275,
2020-12-21 13:30:00,0.9057128579892719,
2020-12-21 15:00:00,0.08181419680096269,
2020-12-21 15:30:30,0.08181419680096269,
2020-12-21 23:59:59,2.7239971406723384,c
2020-12-22 00:00:00,-11.112011831213522,
2020-12-22 10:00:00,-17.616165881627666,
2020-12-22 10:30:00,-24.42447296343721,
2020-12-22 12:00:00,-18.212216462319617,
2020-12-22 13:30:00,-26.866289410387424,
2020-12-22 15:00:00,-18.527700005361737,
2020-12-22 15:30:30,-18.527700005361737,
2020-12-22 23:59:59,-15.745032499765443,c
2020-12-23 00:00:00,-15.705692554747003,
2020-12-23 10:00:00,-25.204317178304336,
