date,URA_2023_Q1,meta
2023-01-03 00:00:00,-1753.8243408569924,
2023-01-03 10:00:00,-1780.202953150415,
2023-01-03 10:30:00,-1810.194860444457,
2023-01-03 12:00:00,-1866.1616622356041,
2023-01-03 13:30:00,-1831.666424126689,
2023-01-03 15:00:00,-1819.9684972230907,
2023-01-03 15:30:30,-1819.9684972230907,
2023-01-03 23:59:59,-1793.5345193782578,c
2023-01-04 00:00:00,-1756.7445552600002,
2023-01-04 10:00:00,-1796.3963269692522,
2023-01-04 10:30:00,-1756.216175314221,
2023-01-04 12:00:00,-1695.557362077826,
2023-01-04 13:30:00,-1738.8221645299063,
2023-01-04 15:00:00,-1736.069370415339,
2023-01-04 15:30:30,-1736.069370415339,
2023-01-04 23:59:59,-1739.7787598356572,c
2023-01-05 00:00:00,-1593.3877280395418,
2023-01-05 10:00:00,-1648.4429092890232,
2023-01-05 10:30:00,-1651.561635794783,
2023-01-05 12:00:00,-1634.9585410482805,
2023-01-05 13:30:00,-1595.905458024322,
2023-01-05 15:00:00,-1543.1272818070147,
2023-01-05 15:30:30,-1543.1272818070147,
2023-01-05 23:59:59,-1512.1098937915103,c
2023-01-06 00:00:00,-1407.376351512712,
2023-01-06 10:00:00,-1432.0379914798941,
2023-01-06 10:30:00,-1397.970918973615,
2023-01-06 12:00:00,-1316.2820825637855,
2023-01-06 13:30:00,-1331.6957242810495,
2023-01-06 15:00:00,-1283.4018737072238,
2023-01-06 15:30:30,-1283.4018737072238,
2023-01-06 23:59:59,-1288.0632049346732,w
2023-01-09 00:00:00,-1098.0706139895274,
2023-01-09 10:00:00,-962.1997072981958,
2023-01-09 10:30:00,-968.511799220727,
2023-01-09 12:00:00,-981.0907811318984,
2023-01-09 13:30:00,-754.1728649525103,
2023-01-09 15:00:00,-933.9417513965527,
2023-01-09 15:30:30,-933.9417513965527,
2023-01-09 23:59:59,-741.140697535584,c
2023-01-10 00:00:00,-605.1736344643059,
2023-01-10 10:00:00,-845.9578283879864,
2023-01-10 10:30:00,-897.4639825953282,
2023-01-10 12:00:00,-841.9890100389539,
2023-01-10 13:30:00,-822.4293483632255,
2023-01-10 15:00:00,-786.5763086074303,
2023-01-10 15:30:30,-786.5763086074303,
2023-01-10 23:59:59,-711.8900526342131,c
2023-01-11 00:00:00,-626.9225786585193,
2023-01-11 10:00:00,-602.2677253799393,
2023-01-11 10:30:00,-619.3628401378792,
2023-01-11 12:00:00,-634.2927650862212,
2023-01-11 13:30:00,-618.8904580897242,
2023-01-11 15:00:00,-612.7444325764482,
2023-01-11 15:30:30,-612.7444325764482,
2023-01-11 23:59:59,-557.5641336328854,c
2023-01-12 00:00:00,-530.4004742901752,
2023-01-12 10:00:00,-674.4220769649728,
2023-01-12 10:30:00,-582.8632563202636,
2023-01-12 12:00:00,-527.2915007180127,
2023-01-12 13:30:00,-507.8094587171681,
2023-01-12 15:00:00,-473.7221035753191,
2023-01-12 15:30:30,-473.7221035753191,
2023-01-12 23:59:59,-485.5134826114363,c
2023-01-13 00:00:00,-480.1806302178629,
2023-01-13 10:00:00,-373.80283997374863,
2023-01-13 10:30:00,-281.91135247910734,
2023-01-13 12:00:00,-260.0796329101131,
2023-01-13 13:30:00,-293.3358530239675,
2023-01-13 15:00:00,-257.6907364098397,
2023-01-13 15:30:30,-257.6907364098397,
2023-01-13 23:59:59,-254.2718812682242,w
2023-01-16 00:00:00,-222.41516119019525,
2023-01-16 10:00:00,-203.59794055691236,
2023-01-16 10:30:00,-225.86193491862196,
2023-01-16 12:00:00,-237.4391145992031,
2023-01-16 13:30:00,-272.51745002402185,
2023-01-16 15:00:00,-410.775432226922,
2023-01-16 15:30:30,-410.775432226922,
2023-01-16 23:59:59,-319.9704805413812,c
2023-01-17 00:00:00,-388.3027769784867,
2023-01-17 10:00:00,-289.70888574243054,
2023-01-17 10:30:00,-346.61057322096167,
2023-01-17 12:00:00,-405.41689788681833,
2023-01-17 13:30:00,-371.24748452906533,
2023-01-17 15:00:00,-375.95959161315295,
2023-01-17 15:30:30,-375.95959161315295,s
2023-01-17 23:59:59,-414.4090649887794,c
2023-01-18 00:00:00,-360.0544395949928,
2023-01-18 10:00:00,-347.7342026171136,
2023-01-18 10:30:00,-270.46575376304645,
2023-01-18 12:00:00,-466.2319274157926,
2023-01-18 13:30:00,-471.37121236732037,
2023-01-18 15:00:00,-547.8279364974942,
2023-01-18 15:30:30,-547.8279364974942,
2023-01-18 23:59:59,-535.9320991845789,c
2023-01-19 00:00:00,-649.0824554732271,
2023-01-19 10:00:00,-857.1090825029032,
2023-01-19 10:30:00,-748.6099134285741,
2023-01-19 12:00:00,-724.1217993977207,
2023-01-19 13:30:00,-656.4030255737489,
2023-01-19 15:00:00,-647.9189465485615,
2023-01-19 15:30:30,-647.9189465485615,
2023-01-19 23:59:59,-677.304742747513,c
2023-01-20 00:00:00,-595.6902593559953,
2023-01-20 10:00:00,-486.83000224190073,
2023-01-20 10:30:00,-512.0519201342522,
2023-01-20 12:00:00,-467.08864453951537,
2023-01-20 13:30:00,-514.0040835999125,
2023-01-20 15:00:00,-552.1538113482611,
2023-01-20 15:30:30,-552.1538113482611,
2023-01-20 23:59:59,-587.6887977621791,w
2023-01-23 00:00:00,-494.1465255896428,
2023-01-23 10:00:00,-463.5411058218242,
2023-01-23 10:30:00,-517.217724824618,
2023-01-23 12:00:00,-556.2358244743837,
2023-01-23 13:30:00,-558.4664746002782,
2023-01-23 15:00:00,-604.308913605184,
2023-01-23 15:30:30,-604.308913605184,
2023-01-23 23:59:59,-600.3968132332593,c
2023-01-24 00:00:00,-227.59412188812075,
2023-01-24 10:00:00,-426.4822522409777,
2023-01-24 10:30:00,-359.2403690460933,
2023-01-24 12:00:00,-302.0091699780205,
2023-01-24 13:30:00,-213.80857706969255,
2023-01-24 15:00:00,-12.21364790933967,
2023-01-24 15:30:30,-12.21364790933967,
2023-01-24 23:59:59,0.0,a
2023-01-25 00:00:00,58.70124476203364,
2023-01-25 10:00:00,-155.3494822340872,
2023-01-25 10:30:00,57.495349138718666,
2023-01-25 12:00:00,17.340336710560223,
2023-01-25 13:30:00,150.91743575869077,
2023-01-25 15:00:00,193.52436061656317,
2023-01-25 15:30:30,193.52436061656317,
2023-01-25 23:59:59,164.35006696795426,c
2023-01-26 00:00:00,304.55623453508997,
2023-01-26 10:00:00,197.83528552073494,
2023-01-26 10:30:00,232.94286185851888,
2023-01-26 12:00:00,174.98142038937112,
2023-01-26 13:30:00,108.6786425124983,
2023-01-26 15:00:00,62.87377537026896,
2023-01-26 15:30:30,62.87377537026896,
2023-01-26 23:59:59,87.41963213697454,c
2023-01-27 00:00:00,63.94319618042118,
2023-01-27 10:00:00,60.77261324707615,
2023-01-27 10:30:00,152.70827060937245,
2023-01-27 12:00:00,224.0644171156864,
2023-01-27 13:30:00,176.88537081308095,
2023-01-27 15:00:00,187.40124269692933,
2023-01-27 15:30:30,187.40124269692933,
2023-01-27 23:59:59,204.34117608293946,w
2023-01-30 00:00:00,203.1713440012536,
2023-01-30 10:00:00,151.39050606967612,
2023-01-30 10:30:00,154.5227679438658,
2023-01-30 12:00:00,76.9446899962577,
2023-01-30 13:30:00,141.39179860462718,
2023-01-30 15:00:00,85.64879090847353,
2023-01-30 15:30:30,85.64879090847353,
2023-01-30 23:59:59,129.71415009159318,c
2023-01-31 00:00:00,148.71337396310082,
2023-01-31 10:00:00,116.95488564886546,
2023-01-31 10:30:00,76.50661517426488,
2023-01-31 12:00:00,112.66543433993229,
2023-01-31 13:30:00,1.3862325681120637,
2023-01-31 15:00:00,199.2722991920864,
2023-01-31 15:30:30,199.2722991920864,
2023-01-31 23:59:59,152.25543293559076,e
2023-02-01 00:00:00,238.4113710281663,
2023-02-01 10:00:00,274.58945920323004,
2023-02-01 10:30:00,130.50462247767155,
2023-02-01 12:00:00,213.2245646801366,
2023-02-01 13:30:00,172.61574544337054,
2023-02-01 15:00:00,265.89140157582824,
2023-02-01 15:30:30,265.89140157582824,
2023-02-01 23:59:59,320.10159519130957,c
2023-02-02 00:00:00,302.9574628912551,
2023-02-02 10:00:00,265.5949592684474,
2023-02-02 10:30:00,262.56731501195554,
2023-02-02 12:00:00,193.22630718226264,
2023-02-02 13:30:00,245.7256034618431,
2023-02-02 15:00:00,135.64693346035983,
2023-02-02 15:30:30,135.64693346035983,
2023-02-02 23:59:59,146.51239859930865,c
2023-02-03 00:00:00,80.84700372095722,
2023-02-03 10:00:00,132.44457623907147,
2023-02-03 10:30:00,128.61546352483037,
2023-02-03 12:00:00,156.04260885566146,
2023-02-03 13:30:00,43.28217049597242,
2023-02-03 15:00:00,47.476547751454746,
2023-02-03 15:30:30,47.476547751454746,
2023-02-03 23:59:59,14.409539361669886,w
2023-02-06 00:00:00,-126.2738203290337,
2023-02-06 10:00:00,-243.01951745766473,
2023-02-06 10:30:00,-301.83745090876437,
2023-02-06 12:00:00,-250.58466753588982,
2023-02-06 13:30:00,-293.3754762884546,
2023-02-06 15:00:00,-280.9871919978168,
2023-02-06 15:30:30,-280.9871919978168,
2023-02-06 23:59:59,-325.46119669530617,c
2023-02-07 00:00:00,-211.32977165632474,
2023-02-07 10:00:00,-181.03182293533973,
2023-02-07 10:30:00,-223.78102657610634,
2023-02-07 12:00:00,-80.16405966216826,
2023-02-07 13:30:00,-127.83253291680649,
2023-02-07 15:00:00,-15.803885604268544,
2023-02-07 15:30:30,-15.803885604268544,
2023-02-07 23:59:59,-52.633055693894676,c
2023-02-08 00:00:00,25.765165404803156,
2023-02-08 10:00:00,-3.891808307267638,
2023-02-08 10:30:00,18.284738868212116,
2023-02-08 12:00:00,-24.868718200385047,
2023-02-08 13:30:00,-4.765893034639703,
2023-02-08 15:00:00,22.72742010258571,
2023-02-08 15:30:30,22.72742010258571,
2023-02-08 23:59:59,18.04190708263104,c
2023-02-09 00:00:00,137.36090778728249,
2023-02-09 10:00:00,124.35727778342243,
2023-02-09 10:30:00,108.3020663560319,
2023-02-09 12:00:00,66.88721965483819,
2023-02-09 13:30:00,73.59559217849437,
2023-02-09 15:00:00,49.03782461177616,
2023-02-09 15:30:30,49.03782461177616,
2023-02-09 23:59:59,50.60176673123169,c
2023-02-10 00:00:00,14.02720334735659,
2023-02-10 10:00:00,-105.76056341983985,
2023-02-10 10:30:00,-53.587637579262264,
2023-02-10 12:00:00,-12.85672797956886,
2023-02-10 13:30:00,-20.39001073522013,
2023-02-10 15:00:00,60.23812282197832,
2023-02-10 15:30:30,60.23812282197832,
2023-02-10 23:59:59,58.90357337052319,w
2023-02-13 00:00:00,87.54799557891783,
2023-02-13 10:00:00,-93.08413822361035,
2023-02-13 10:30:00,-191.32881418398028,
2023-02-13 12:00:00,-167.79685494374644,
2023-02-13 13:30:00,-131.2610219941389,
2023-02-13 15:00:00,-169.9918973585045,
2023-02-13 15:30:30,-169.9918973585045,
2023-02-13 23:59:59,-191.47491705747143,c
2023-02-14 00:00:00,-286.9929128079839,
2023-02-14 10:00:00,-293.8775465281169,
2023-02-14 10:30:00,-262.5349025960677,
2023-02-14 12:00:00,-384.1384511605411,
2023-02-14 13:30:00,-338.6061296226435,
2023-02-14 15:00:00,-293.87061709443606,
2023-02-14 15:30:30,-293.87061709443606,
2023-02-14 23:59:59,-287.0578960829389,c
