date,MVECT_2021_Q4,meta
2021-11-19 00:00:00,-19.644760741699663,
2021-11-19 10:00:00,-97.6755588117172,
2021-11-19 10:30:00,-95.76494427914372,
2021-11-19 12:00:00,-131.583957633645,
2021-11-19 13:30:00,-133.4844325440447,
2021-11-19 15:00:00,-127.37447940904423,
2021-11-19 15:30:30,-127.37447940904423,
2021-11-19 23:59:59,-136.26420162522479,w
2021-11-22 00:00:00,-144.0031254426805,
2021-11-22 10:00:00,-162.8207816294516,
2021-11-22 10:30:00,-175.12918596624922,
2021-11-22 12:00:00,-100.21664475861442,
2021-11-22 13:30:00,-142.6069721774012,
2021-11-22 15:00:00,-98.1489880845154,
2021-11-22 15:30:30,-98.1489880845154,u
2021-11-22 23:59:59,-97.41479570795124,c
2021-11-23 00:00:00,-27.97579648526584,
2021-11-23 10:00:00,-61.71825973934913,
2021-11-23 10:30:00,-39.87075718878504,
2021-11-23 12:00:00,-80.55922759448777,
2021-11-23 13:30:00,-84.55988697813072,
2021-11-23 15:00:00,-112.90582722983712,
2021-11-23 15:30:30,-112.90582722983712,
2021-11-23 23:59:59,-120.01240115585452,c
2021-11-24 00:00:00,-124.14294168840354,
2021-11-24 10:00:00,-148.56073854508674,
2021-11-24 10:30:00,-158.99491094042932,
2021-11-24 12:00:00,-163.69422177944034,
2021-11-24 13:30:00,-161.42775574224018,
2021-11-24 15:00:00,-167.65939348313813,
2021-11-24 15:30:30,-167.65939348313813,
2021-11-24 23:59:59,-161.4661273256014,c
2021-11-25 00:00:00,-161.4661273256014,
2021-11-25 10:00:00,-161.4661273256014,
2021-11-25 10:30:00,-161.4661273256014,
2021-11-25 12:00:00,-161.4661273256014,
2021-11-25 13:30:00,-161.4661273256014,
2021-11-25 15:00:00,-161.4661273256014,
2021-11-25 15:30:30,-161.4661273256014,
2021-11-25 23:59:59,-161.4661273256014,c
2021-11-26 00:00:00,-200.13994265273362,
2021-11-26 10:00:00,-180.07289678991475,
2021-11-26 10:30:00,-161.18980332785105,
2021-11-26 12:00:00,-173.1882398135241,
2021-11-26 13:30:00,-173.1882398135241,
2021-11-26 15:00:00,-173.1882398135241,
2021-11-26 15:30:30,-173.1882398135241,
