date,EU_FTSEUK_MIG_2022_Q3,meta
2022-08-10 00:00:00,-1422.1957737718365,
2022-08-10 03:30:00,-1447.598741277421,
2022-08-10 04:00:00,-1463.9322093425199,
2022-08-10 06:00:00,-1461.3553918900247,
2022-08-10 08:00:00,-1472.6498275089682,
2022-08-10 10:30:00,-1587.3682148312141,
2022-08-10 11:00:00,-1607.547181202304,
2022-08-10 23:59:59,-1607.90184515069,c
2022-08-11 00:00:00,-1489.736234017231,
2022-08-11 03:30:00,-1475.5422232726596,
2022-08-11 04:00:00,-1433.1081021766413,
2022-08-11 06:00:00,-1394.4579050204547,
2022-08-11 08:00:00,-1399.938227488622,
2022-08-11 10:30:00,-1454.8835591130555,
2022-08-11 11:00:00,-1431.478143196442,
2022-08-11 23:59:59,-1406.8151970276347,c
2022-08-12 00:00:00,-1396.2069977582805,
2022-08-12 03:30:00,-1380.6513530319544,
2022-08-12 04:00:00,-1325.7000348500067,
2022-08-12 06:00:00,-1340.831426124125,
2022-08-12 08:00:00,-1384.558463420339,
2022-08-12 10:30:00,-1403.2785345478567,
2022-08-12 11:00:00,-1372.3567664123632,
2022-08-12 23:59:59,-1358.728369808567,w
2022-08-15 00:00:00,-1382.6109121517297,
2022-08-15 03:30:00,-1364.3195724777304,
2022-08-15 04:00:00,-1376.7710946956092,
2022-08-15 06:00:00,-1404.4780358582757,
2022-08-15 08:00:00,-1409.9362425406048,
2022-08-15 10:30:00,-1422.3313310267688,
2022-08-15 11:00:00,-1410.380359161762,
2022-08-15 23:59:59,-1398.347883433351,c
2022-08-16 00:00:00,-1395.3018765088775,
2022-08-16 03:30:00,-1367.0015307328774,
2022-08-16 04:00:00,-1335.896225015147,
2022-08-16 06:00:00,-1307.7861631355795,
2022-08-16 08:00:00,-1310.3351584404077,
2022-08-16 10:30:00,-1286.20630632032,
2022-08-16 11:00:00,-1317.484412416372,
2022-08-16 23:59:59,-1306.4930894255217,c
2022-08-17 00:00:00,-1319.7471875990339,
2022-08-17 03:30:00,-1292.475426370127,
2022-08-17 04:00:00,-1269.7853284617822,
2022-08-17 06:00:00,-1263.2203885883073,
2022-08-17 08:00:00,-1247.6195522453597,
2022-08-17 10:30:00,-1196.2253187877127,
2022-08-17 11:00:00,-1177.0151336147494,
2022-08-17 23:59:59,-1158.5611490430229,c
2022-08-18 00:00:00,-1155.6907881863754,
2022-08-18 03:30:00,-1123.8104398509054,
2022-08-18 04:00:00,-1111.8782423428727,
2022-08-18 06:00:00,-1078.086274197886,
2022-08-18 08:00:00,-1084.8255287367851,
2022-08-18 10:30:00,-1051.539972088347,
2022-08-18 11:00:00,-1066.6026305823887,
2022-08-18 23:59:59,-1060.2116848195255,c
2022-08-19 00:00:00,-1025.7394989661082,
2022-08-19 03:30:00,-971.0480624500144,
2022-08-19 04:00:00,-940.4250261925553,
2022-08-19 06:00:00,-1001.3135447457132,
2022-08-19 08:00:00,-1022.0730201370735,
2022-08-19 10:30:00,-972.6123185281517,
2022-08-19 11:00:00,-947.2208144663739,
2022-08-19 23:59:59,-934.9683825839778,w
2022-08-22 00:00:00,-955.3991632403225,
2022-08-22 03:30:00,-871.8489241599916,
2022-08-22 04:00:00,-869.416351604499,
2022-08-22 06:00:00,-805.1080737222035,
2022-08-22 08:00:00,-763.6661526895914,
2022-08-22 10:30:00,-772.5115324090237,
2022-08-22 11:00:00,-771.2928191681555,
2022-08-22 23:59:59,-729.072296050829,c
2022-08-23 00:00:00,-722.0503229756221,
2022-08-23 03:30:00,-665.9361185609749,
2022-08-23 04:00:00,-659.5741286415092,
2022-08-23 06:00:00,-626.9308024771027,
2022-08-23 08:00:00,-611.5756403471879,
2022-08-23 10:30:00,-533.98082086147,
2022-08-23 11:00:00,-524.0235048524722,
2022-08-23 23:59:59,-560.2833809512287,c
2022-08-24 00:00:00,-547.5588024475237,
2022-08-24 03:30:00,-521.7730531463701,
2022-08-24 04:00:00,-501.69850212146184,
2022-08-24 06:00:00,-507.4588554435278,
2022-08-24 08:00:00,-518.5238834501013,
2022-08-24 10:30:00,-524.7873653771675,
2022-08-24 11:00:00,-520.7923560189847,
2022-08-24 23:59:59,-513.1346811750354,c
2022-08-25 00:00:00,-281.7618679096056,
2022-08-25 03:30:00,-184.1409142850921,
2022-08-25 04:00:00,-124.03120943566341,
2022-08-25 06:00:00,-37.258212345973334,
2022-08-25 08:00:00,-5.366074780488361,
2022-08-25 10:30:00,-27.035470956285053,
2022-08-25 11:00:00,-109.9594591321752,
2022-08-25 23:59:59,-88.3036023730051,c
2022-08-26 00:00:00,-75.30285465170505,
2022-08-26 03:30:00,-66.66273161999493,
2022-08-26 04:00:00,-66.88636341674646,
2022-08-26 06:00:00,69.05114487924743,
2022-08-26 08:00:00,82.0665858078753,
2022-08-26 10:30:00,100.82236282072722,
2022-08-26 11:00:00,72.30206019958109,
2022-08-26 23:59:59,112.09694360380081,w
2022-08-29 00:00:00,112.09694360380081,
2022-08-29 03:30:00,112.09694360380081,
2022-08-29 04:00:00,112.09694360380081,
2022-08-29 06:00:00,112.09694360380081,
2022-08-29 08:00:00,112.09694360380081,
2022-08-29 10:30:00,112.09694360380081,
2022-08-29 11:00:00,112.09694360380081,
2022-08-29 23:59:59,112.09694360380081,c
2022-08-30 00:00:00,114.50054603337844,
2022-08-30 03:30:00,167.80063488912924,
2022-08-30 04:00:00,64.00522175367723,
2022-08-30 06:00:00,0.6894756511342166,
2022-08-30 08:00:00,-90.57695089073809,
2022-08-30 10:30:00,-45.607047273681246,
2022-08-30 11:00:00,-77.12821634806596,
2022-08-30 23:59:59,-58.27934798790261,c
2022-08-31 00:00:00,-101.39654322957313,
2022-08-31 03:30:00,-44.45265576019233,
2022-08-31 04:00:00,-36.55103246168051,
2022-08-31 06:00:00,-75.92135693058799,
2022-08-31 08:00:00,-27.814032855826554,
2022-08-31 10:30:00,18.81683792351805,
2022-08-31 11:00:00,4.6167638555980375,
2022-08-31 23:59:59,0.0,a
