date,SCHD_2022_Q3,meta
2022-09-09 10:30:00,-36.91157290559022,
2022-09-09 12:00:00,-18.542477523985553,
2022-09-09 13:30:00,-11.323507771958475,
2022-09-09 15:00:00,-8.279264900116459,
2022-09-09 15:30:30,-8.279264900116459,
2022-09-09 23:59:59,0.0,a
2022-09-12 00:00:00,34.0538420277353,
2022-09-12 10:00:00,34.418479711878945,
2022-09-12 10:30:00,35.34723261119643,
2022-09-12 12:00:00,45.00148601196156,
2022-09-12 13:30:00,48.417037101322194,
2022-09-12 15:00:00,51.23749107363392,
2022-09-12 15:30:30,51.23749107363392,
2022-09-12 23:59:59,38.80340329407659,c
2022-09-13 00:00:00,40.48973911391772,
2022-09-13 10:00:00,61.89204374649216,
2022-09-13 10:30:00,48.54265129879013,
2022-09-13 12:00:00,65.5166518145138,
2022-09-13 13:30:00,83.01673100826042,
2022-09-13 15:00:00,89.51820303576346,
2022-09-13 15:30:30,89.51820303576346,
2022-09-13 23:59:59,78.20211347991244,c
2022-09-14 00:00:00,77.24147476645794,
2022-09-14 10:00:00,89.80469496114324,
2022-09-14 10:30:00,68.69452536111203,
2022-09-14 12:00:00,52.3183503997584,
2022-09-14 13:30:00,35.69779073341897,
2022-09-14 15:00:00,53.47171832750246,
2022-09-14 15:30:30,53.47171832750246,
2022-09-14 23:59:59,38.65989948530773,c
2022-09-15 00:00:00,14.772602325948583,
2022-09-15 10:00:00,52.65453074604443,
2022-09-15 10:30:00,39.707780070645185,
2022-09-15 12:00:00,45.96954013217555,
2022-09-15 13:30:00,57.725943706450835,
2022-09-15 15:00:00,61.7413267962861,
2022-09-15 15:30:30,61.7413267962861,
2022-09-15 23:59:59,63.80026905927184,c
2022-09-16 00:00:00,61.763943946913514,
2022-09-16 10:00:00,53.78431029550279,
2022-09-16 10:30:00,39.063625253187865,
2022-09-16 12:00:00,44.94612343844847,
2022-09-16 13:30:00,66.84949434600617,
2022-09-16 15:00:00,64.08219521649266,
2022-09-16 15:30:30,64.08219521649266,
2022-09-16 23:59:59,40.72010871199927,e
2022-09-19 00:00:00,20.384654738719973,
2022-09-19 10:00:00,-20.874078458790336,
2022-09-19 10:30:00,-4.228816427135371,
