date,EU_PSI20_2022_Q1,meta
2022-03-30 03:30:00,-506.64792623445646,
2022-03-30 04:00:00,-511.549656122972,
2022-03-30 06:00:00,-494.75967478780433,
2022-03-30 08:00:00,-517.0772956783175,
2022-03-30 10:30:00,-452.49800990663084,
2022-03-30 11:00:00,-448.95695579135395,
2022-03-30 23:59:59,-437.8480638144671,c
2022-03-31 00:00:00,-471.92388072091785,
2022-03-31 03:30:00,-486.7834490860291,
2022-03-31 04:00:00,-480.34023259460446,
2022-03-31 06:00:00,-452.31402056542345,
2022-03-31 08:00:00,-446.1588886975555,
2022-03-31 10:30:00,-405.151963481422,
2022-03-31 11:00:00,-427.05406540045976,
2022-03-31 23:59:59,-414.6833211787203,c
2022-04-01 00:00:00,-405.3045641852447,
2022-04-01 03:30:00,-442.0172570465312,
2022-04-01 04:00:00,-411.65314904847537,
2022-04-01 06:00:00,-355.54303487403837,
2022-04-01 08:00:00,-343.2977001151808,
2022-04-01 10:30:00,-400.52534861167476,
2022-04-01 11:00:00,-377.35575815892355,
2022-04-01 23:59:59,-388.9480148731617,w
