date,EU_PSI20_2022_Q1,meta
2022-02-24 00:00:00,-878.3327956759871,
2022-02-24 03:30:00,-960.9564600512363,
2022-02-24 04:00:00,-866.1702435262258,
2022-02-24 06:00:00,-794.6163436271171,
2022-02-24 08:00:00,-726.6578726090835,
2022-02-24 10:30:00,-526.4969332674435,
2022-02-24 11:00:00,-534.6609167482511,
2022-02-24 23:59:59,-535.2114791867459,c
2022-02-25 00:00:00,-522.3377764132499,
2022-02-25 03:30:00,-533.9249091887023,
2022-02-25 04:00:00,-526.6980408707557,
2022-02-25 06:00:00,-500.1270461547606,
2022-02-25 08:00:00,-495.36698109040935,
2022-02-25 10:30:00,-531.064963800746,
2022-02-25 11:00:00,-540.9650333254696,
2022-02-25 23:59:59,-527.1243896389665,w
2022-02-28 00:00:00,-488.4596478695314,
2022-02-28 03:30:00,-406.72688729276854,
2022-02-28 04:00:00,-390.5806450270776,
2022-02-28 06:00:00,-391.75348670580183,
2022-02-28 08:00:00,-382.6035324511666,
2022-02-28 10:30:00,-337.5370352594516,
2022-02-28 11:00:00,-331.51883747863997,
2022-02-28 23:59:59,-327.40567563751426,c
2022-03-01 00:00:00,-385.3658241903602,
2022-03-01 03:30:00,-445.13911032450636,
2022-03-01 04:00:00,-441.43842560347355,
2022-03-01 06:00:00,-434.4246520079024,
2022-03-01 08:00:00,-380.1842482348965,
2022-03-01 10:30:00,-416.0666257011293,
2022-03-01 11:00:00,-443.8865246466265,
2022-03-01 23:59:59,-419.1425558074507,c
2022-03-02 00:00:00,-384.18622255478977,
2022-03-02 03:30:00,-362.1253721222039,
2022-03-02 04:00:00,-352.87603319016,
2022-03-02 06:00:00,-362.8614545472707,
2022-03-02 08:00:00,-280.60962053916734,
2022-03-02 10:30:00,-241.73436193842122,
2022-03-02 11:00:00,-251.2612955903606,
2022-03-02 23:59:59,-239.18915651815055,c
2022-03-03 00:00:00,-244.07061415787672,
2022-03-03 03:30:00,-246.95906588982513,
2022-03-03 04:00:00,-282.7319322695024,
2022-03-03 06:00:00,-346.73740860049185,
2022-03-03 08:00:00,-330.3052510213139,
2022-03-03 10:30:00,-365.83332469226895,
2022-03-03 11:00:00,-361.0054415948886,
2022-03-03 23:59:59,-349.0382067041389,c
2022-03-04 00:00:00,-331.84750111359466,
2022-03-04 03:30:00,-240.297805443286,
2022-03-04 04:00:00,-264.7215602442361,
2022-03-04 06:00:00,-318.86750911408944,
2022-03-04 08:00:00,-299.5303282063727,
2022-03-04 10:30:00,-317.3270528122971,
2022-03-04 11:00:00,-329.7327659965963,
2022-03-04 23:59:59,-333.5757594485988,w
2022-03-07 00:00:00,-268.05608846661096,
2022-03-07 03:30:00,-231.41707908643258,
2022-03-07 04:00:00,-200.00521935982053,
2022-03-07 06:00:00,-100.89048096259009,
2022-03-07 08:00:00,-77.11761112781974,
2022-03-07 10:30:00,-88.27416634235922,
2022-03-07 11:00:00,-116.63854168862862,
2022-03-07 23:59:59,-115.52892837892809,c
2022-03-08 00:00:00,-118.68395506133052,
2022-03-08 03:30:00,64.04907260554162,
2022-03-08 04:00:00,59.324030395281596,
2022-03-08 06:00:00,37.093964500193266,
2022-03-08 08:00:00,-0.4874762876531804,
2022-03-08 10:30:00,17.207063246077354,
2022-03-08 11:00:00,53.16412468797276,
2022-03-08 23:59:59,18.195553149580405,c
2022-03-09 00:00:00,62.860972836835884,
2022-03-09 03:30:00,-30.307408519453446,
2022-03-09 04:00:00,-55.54673369454821,
2022-03-09 06:00:00,-65.05392632739304,
2022-03-09 08:00:00,-58.79936346275528,
2022-03-09 10:30:00,-75.1520025538988,
2022-03-09 11:00:00,-31.169853681421955,
2022-03-09 23:59:59,-49.737415298684056,c
2022-03-10 00:00:00,-37.270958070938235,
2022-03-10 03:30:00,54.42965677757448,
2022-03-10 04:00:00,83.50616950590958,
2022-03-10 06:00:00,86.82029397313718,
2022-03-10 08:00:00,-5.34959239671673,
2022-03-10 10:30:00,-34.628433180176444,
2022-03-10 11:00:00,-16.62965649444422,
2022-03-10 23:59:59,0.0,a
2022-03-11 00:00:00,-42.16678506804297,
2022-03-11 03:30:00,-45.29240324483695,
2022-03-11 04:00:00,-50.821832833564,
2022-03-11 06:00:00,-84.46659097417921,
2022-03-11 08:00:00,-82.43349435985976,
2022-03-11 10:30:00,-64.74670061563913,
2022-03-11 11:00:00,-54.44414420217478,
2022-03-11 23:59:59,-80.3486970023555,w
2022-03-14 00:00:00,-73.05650424997356,
2022-03-14 03:30:00,-73.05650424997356,
2022-03-14 04:00:00,-73.05650424997356,
2022-03-14 06:00:00,-184.71408239750033,
2022-03-14 08:00:00,-198.34201459010538,
2022-03-14 10:30:00,-211.03394182810044,
2022-03-14 11:00:00,-206.0339035623436,
2022-03-14 23:59:59,-230.6320679978329,c
2022-03-15 00:00:00,-297.4158286063875,
2022-03-15 03:30:00,-297.4158286063875,
2022-03-15 04:00:00,-297.4158286063875,
2022-03-15 06:00:00,-370.46896025339686,
2022-03-15 08:00:00,-344.0068341540795,
2022-03-15 10:30:00,-374.3520000076737,
2022-03-15 11:00:00,-347.1675658270777,
2022-03-15 23:59:59,-327.90174802518357,c
2022-03-16 00:00:00,-297.90759716708214,
2022-03-16 03:30:00,-297.90759716708214,
2022-03-16 04:00:00,-297.90759716708214,
2022-03-16 06:00:00,-338.1181075095997,
2022-03-16 08:00:00,-358.31258057250284,
2022-03-16 10:30:00,-359.5592248522821,
2022-03-16 11:00:00,-404.97014637713045,
2022-03-16 23:59:59,-374.6103891672976,c
2022-03-17 00:00:00,-367.04481538391275,
2022-03-17 03:30:00,-367.04481538391275,
2022-03-17 04:00:00,-367.04481538391275,
2022-03-17 06:00:00,-371.3886410252096,
2022-03-17 08:00:00,-371.29611880798313,
2022-03-17 10:30:00,-329.2170583654879,
2022-03-17 11:00:00,-329.4220455639062,
2022-03-17 23:59:59,-320.4021290700741,c
2022-03-18 00:00:00,-324.03647600149924,
2022-03-18 03:30:00,-324.03647600149924,
2022-03-18 04:00:00,-324.03647600149924,
2022-03-18 06:00:00,-274.5593791747201,
2022-03-18 08:00:00,-290.4606065459635,
2022-03-18 10:30:00,-290.3996845790377,
2022-03-18 11:00:00,-294.9782946339104,
2022-03-18 23:59:59,-237.56723278143434,e
2022-03-21 00:00:00,-257.8173006690371,
2022-03-21 03:30:00,-257.8173006690371,
2022-03-21 04:00:00,-257.8173006690371,
2022-03-21 06:00:00,-218.91762695161992,
2022-03-21 08:00:00,-226.75676908746863,
2022-03-21 10:30:00,-243.77859716772792,
2022-03-21 11:00:00,-259.60253126203435,
2022-03-21 23:59:59,-242.61293165810872,c
2022-03-22 00:00:00,-226.26975301207094,
2022-03-22 03:30:00,-226.26975301207094,
2022-03-22 04:00:00,-226.26975301207094,
2022-03-22 06:00:00,-246.62827263452024,
2022-03-22 08:00:00,-270.7188240916206,
2022-03-22 10:30:00,-292.69801811961526,
2022-03-22 11:00:00,-283.7729351565868,
2022-03-22 23:59:59,-261.16577888222133,c
2022-03-23 00:00:00,-261.58128418514093,
2022-03-23 03:30:00,-261.58128418514093,
2022-03-23 04:00:00,-261.58128418514093,
2022-03-23 06:00:00,-271.26875380482977,
2022-03-23 08:00:00,-299.6980728183083,
2022-03-23 10:30:00,-311.0681907172612,
2022-03-23 11:00:00,-288.7873073304952,
2022-03-23 23:59:59,-342.27216812541144,c
2022-03-24 00:00:00,-314.7219440509458,
2022-03-24 03:30:00,-314.7219440509458,
2022-03-24 04:00:00,-314.7219440509458,
2022-03-24 06:00:00,-324.85570847091503,
2022-03-24 08:00:00,-374.5808753676921,
2022-03-24 10:30:00,-409.56988967280506,
2022-03-24 11:00:00,-402.10802130813033,
2022-03-24 23:59:59,-395.60492519471154,c
2022-03-25 00:00:00,-426.41443281051227,
2022-03-25 03:30:00,-426.41443281051227,
2022-03-25 04:00:00,-426.41443281051227,
2022-03-25 06:00:00,-380.85832845911034,
2022-03-25 08:00:00,-372.2614969732355,
2022-03-25 10:30:00,-384.00447946667185,
2022-03-25 11:00:00,-383.0772942221869,
2022-03-25 23:59:59,-383.57117505680276,w
2022-03-28 00:00:00,-437.7988257195152,
2022-03-28 03:30:00,-415.24152035653776,
2022-03-28 04:00:00,-422.92056162856125,
2022-03-28 06:00:00,-446.65212879969727,
2022-03-28 08:00:00,-460.4037526685936,
2022-03-28 10:30:00,-418.5809546995936,
2022-03-28 11:00:00,-429.09878208699047,
2022-03-28 23:59:59,-419.1309551178139,c
2022-03-29 00:00:00,-405.08727286329275,
2022-03-29 03:30:00,-428.71999343635946,
2022-03-29 04:00:00,-460.98506255542,
2022-03-29 06:00:00,-494.58596054479335,
2022-03-29 08:00:00,-498.1363577843058,
2022-03-29 10:30:00,-513.0267495082829,
2022-03-29 11:00:00,-525.5614468135894,
2022-03-29 23:59:59,-528.2966540268851,c
2022-03-30 00:00:00,-519.6127728208078,
