date,R2_AD_HEDGED_2020_Q4,meta
2020-10-16 00:00:00,-437.31945396123876,
2020-10-16 10:00:00,-442.5415334205863,
2020-10-16 10:30:00,-435.2817952850992,
2020-10-16 12:00:00,-418.95001911376846,
2020-10-16 13:30:00,-400.6494199539975,
2020-10-16 15:00:00,-403.07921529995497,
2020-10-16 15:30:30,-403.07921529995497,
2020-10-16 23:59:59,-395.30186769642006,w
2020-10-19 00:00:00,-396.070108752572,
2020-10-19 10:00:00,-365.3975879106935,
2020-10-19 10:30:00,-349.8733306146104,
2020-10-19 12:00:00,-355.4939336413119,
2020-10-19 13:30:00,-337.02382157860404,
2020-10-19 15:00:00,-321.7594349313142,
2020-10-19 15:30:30,-321.7594349313142,
2020-10-19 23:59:59,-321.8118462886404,c
2020-10-20 00:00:00,-331.98467007816464,
2020-10-20 10:00:00,-334.4104018020656,
2020-10-20 10:30:00,-316.3706187700127,
2020-10-20 12:00:00,-340.52152580227255,
2020-10-20 13:30:00,-358.37907373936923,
2020-10-20 15:00:00,-345.2811880763708,
2020-10-20 15:30:30,-345.2811880763708,
2020-10-20 23:59:59,-340.54817814245337,c
2020-10-21 00:00:00,-335.51394775954986,
2020-10-21 10:00:00,-322.28317945312386,
2020-10-21 10:30:00,-322.9722485016461,
2020-10-21 12:00:00,-302.6860147810169,
2020-10-21 13:30:00,-320.5371339597108,
2020-10-21 15:00:00,-313.04497032567883,
2020-10-21 15:30:30,-313.04497032567883,
2020-10-21 23:59:59,-290.19385609947324,c
2020-10-22 00:00:00,-311.73283049557256,
2020-10-22 10:00:00,-327.8638807034068,
2020-10-22 10:30:00,-326.1056153228199,
2020-10-22 12:00:00,-313.18960790824974,
2020-10-22 13:30:00,-293.16375991527804,
2020-10-22 15:00:00,-290.9796313206263,
2020-10-22 15:30:30,-290.9796313206263,
2020-10-22 23:59:59,-291.2994647906806,c
2020-10-23 00:00:00,-310.6247844609627,
2020-10-23 10:00:00,-308.6983312693105,
2020-10-23 10:30:00,-327.68497383746933,
2020-10-23 12:00:00,-319.3087147037939,
2020-10-23 13:30:00,-316.25867727429187,
