date,XT_2020_Q4,meta
2020-11-20 00:00:00,-424.6150469620902,
2020-11-20 10:00:00,-452.8478950629276,
2020-11-20 10:30:00,-450.3760421912202,
2020-11-20 12:00:00,-431.2459749983484,
2020-11-20 13:30:00,-437.30414163071123,
2020-11-20 15:00:00,-442.68638691666183,
2020-11-20 15:30:30,-442.68638691666183,
2020-11-20 23:59:59,-472.8407523111762,w
2020-11-23 00:00:00,-478.2679040883729,
2020-11-23 10:00:00,-471.6462145681153,
2020-11-23 10:30:00,-485.44680641770697,
2020-11-23 12:00:00,-457.73164749064927,
2020-11-23 13:30:00,-445.9710226268221,
2020-11-23 15:00:00,-428.95062683908986,
2020-11-23 15:30:30,-428.95062683908986,
2020-11-23 23:59:59,-422.17526138190556,c
2020-11-24 00:00:00,-419.62567440072417,
2020-11-24 10:00:00,-450.397304170707,
2020-11-24 10:30:00,-473.28592730754417,
2020-11-24 12:00:00,-473.02284770296706,
2020-11-24 13:30:00,-497.91972108602386,
2020-11-24 15:00:00,-527.096645398711,
2020-11-24 15:30:30,-527.096645398711,
2020-11-24 23:59:59,-501.2333610877224,c
2020-11-25 00:00:00,-448.32756961764767,
2020-11-25 10:00:00,-401.302478150586,
2020-11-25 10:30:00,-411.92579629807324,
2020-11-25 12:00:00,-386.5562209472805,
2020-11-25 13:30:00,-350.05671939956255,
2020-11-25 15:00:00,-353.7735900403086,
2020-11-25 15:30:30,-353.7735900403086,
2020-11-25 23:59:59,-352.56058139027505,c
2020-11-26 00:00:00,-352.56058139027505,
2020-11-26 10:00:00,-352.56058139027505,
2020-11-26 10:30:00,-352.56058139027505,
2020-11-26 12:00:00,-352.56058139027505,
2020-11-26 13:30:00,-352.56058139027505,
2020-11-26 15:00:00,-352.56058139027505,
2020-11-26 15:30:30,-352.56058139027505,
2020-11-26 23:59:59,-352.56058139027505,c
2020-11-27 00:00:00,-284.71445068663957,
2020-11-27 10:00:00,-278.1818807419518,
2020-11-27 10:30:00,-268.8895042371696,
2020-11-27 12:00:00,-290.3736789975094,
2020-11-27 13:30:00,-290.3736789975094,
2020-11-27 15:00:00,-290.3736789975094,
2020-11-27 15:30:30,-290.3736789975094,
2020-11-27 23:59:59,-290.290157223749,w
2020-11-30 00:00:00,-237.460947930173,
2020-11-30 10:00:00,-225.91800972927217,
2020-11-30 10:30:00,-285.88315547839875,
