date,MSCI_FACT_VLUE_2021_Q2,meta
2021-04-13 00:00:00,-267.0890056760269,
2021-04-13 10:00:00,-245.76202056839304,
2021-04-13 10:30:00,-233.81379675769324,
2021-04-13 12:00:00,-240.72864425046657,
2021-04-13 13:30:00,-247.76617980005915,
2021-04-13 15:00:00,-249.86405108238262,
2021-04-13 15:30:30,-249.86405108238262,
2021-04-13 23:59:59,-262.7227997621163,c
2021-04-14 00:00:00,-261.72923154422483,
2021-04-14 10:00:00,-280.0180516432023,
2021-04-14 10:30:00,-265.60301779902,
2021-04-14 12:00:00,-255.44702538951287,
2021-04-14 13:30:00,-248.3931792879332,
2021-04-14 15:00:00,-249.80180855095136,
2021-04-14 15:30:30,-249.80180855095136,
2021-04-14 23:59:59,-246.15707480849665,c
2021-04-15 00:00:00,-242.52711241328416,
2021-04-15 10:00:00,-220.17726266033173,
2021-04-15 10:30:00,-221.4170935974529,
2021-04-15 12:00:00,-221.8232990780548,
2021-04-15 13:30:00,-215.8971723330552,
2021-04-15 15:00:00,-223.12012098563264,
2021-04-15 15:30:30,-223.12012098563264,
2021-04-15 23:59:59,-231.9964969074715,c
2021-04-16 00:00:00,-207.8887817606569,
2021-04-16 10:00:00,-221.2628132459398,
2021-04-16 10:30:00,-224.24720093324584,
2021-04-16 12:00:00,-218.88412134254702,
2021-04-16 13:30:00,-215.86871472978987,
2021-04-16 15:00:00,-206.9063667598906,
2021-04-16 15:30:30,-206.9063667598906,
2021-04-16 23:59:59,-209.73077103298795,w
2021-04-19 00:00:00,-206.97119797706193,
2021-04-19 10:00:00,-211.38004226100907,
2021-04-19 10:30:00,-183.63387887361625,
2021-04-19 12:00:00,-163.85338535124572,
2021-04-19 13:30:00,-162.6303920404804,
2021-04-19 15:00:00,-158.02452562008716,
2021-04-19 15:30:30,-158.02452562008716,
2021-04-19 23:59:59,-174.3841304126255,c
2021-04-20 00:00:00,-165.31835819454932,
2021-04-20 10:00:00,-174.67332675221917,
2021-04-20 10:30:00,-180.48404104505505,
2021-04-20 12:00:00,-184.02363942745933,
2021-04-20 13:30:00,-161.8401310833658,
2021-04-20 15:00:00,-161.11008921537177,
2021-04-20 15:30:30,-161.11008921537177,
2021-04-20 23:59:59,-161.22582143167506,c
2021-04-21 00:00:00,-162.55504327996334,
2021-04-21 10:00:00,-183.71645343469845,
2021-04-21 10:30:00,-187.69110294826737,
2021-04-21 12:00:00,-194.52853256360822,
2021-04-21 13:30:00,-200.03098453645657,
2021-04-21 15:00:00,-209.10225448127733,
2021-04-21 15:30:30,-209.10225448127733,
2021-04-21 23:59:59,-221.21691386650912,c
2021-04-22 00:00:00,-199.14720238887787,
2021-04-22 10:00:00,-172.55315656740618,
2021-04-22 10:30:00,-165.69348371108595,
2021-04-22 12:00:00,-168.00369162996265,
2021-04-22 13:30:00,-170.64172589031307,
2021-04-22 15:00:00,-162.73142684253742,
2021-04-22 15:30:30,-162.73142684253742,
2021-04-22 23:59:59,-156.74655525326125,c
2021-04-23 00:00:00,-172.43732934330296,
2021-04-23 10:00:00,-178.59721491280504,
