date,EU_MSCI_MINVOL_2022_Q4,meta
2022-11-04 10:30:00,96.83483698121097,
2022-11-04 11:00:00,93.68685654541943,
2022-11-04 23:59:59,113.12228326231589,w
2022-11-07 00:00:00,103.56111541370592,
2022-11-07 03:30:00,107.96794245179537,
2022-11-07 04:00:00,98.67921807781858,
2022-11-07 06:00:00,91.05005938518718,
2022-11-07 08:00:00,112.48596778363044,
2022-11-07 10:30:00,104.4515855481483,
2022-11-07 11:00:00,104.66933088234562,
2022-11-07 23:59:59,101.04097059163627,c
2022-11-08 00:00:00,98.8614553903504,
2022-11-08 03:30:00,106.14594698333168,
2022-11-08 04:00:00,91.69765872409457,
2022-11-08 06:00:00,93.37695718549179,
2022-11-08 08:00:00,91.13017583285128,
2022-11-08 10:30:00,81.165153284957,
2022-11-08 11:00:00,77.40986680804288,
2022-11-08 23:59:59,82.33436892973867,c
2022-11-09 00:00:00,87.4849762782562,
2022-11-09 03:30:00,80.81060211733258,
2022-11-09 04:00:00,85.82917553472376,
2022-11-09 06:00:00,88.05573554556628,
2022-11-09 08:00:00,81.8271671214857,
2022-11-09 10:30:00,77.3930737284472,
2022-11-09 11:00:00,81.1356109080017,
2022-11-09 23:59:59,84.78277889152676,c
2022-11-10 00:00:00,69.65739926747534,
2022-11-10 03:30:00,82.31382958554454,
2022-11-10 04:00:00,85.72461062927567,
2022-11-10 06:00:00,71.20215887277826,
2022-11-10 08:00:00,76.76979981360482,
2022-11-10 10:30:00,8.812411864568304,
2022-11-10 11:00:00,1.8983183396046428,
2022-11-10 23:59:59,5.560581906425568,c
2022-11-11 00:00:00,21.73986704009554,
2022-11-11 03:30:00,10.106992932639955,
2022-11-11 04:00:00,-11.865377928880953,
2022-11-11 06:00:00,-19.587562619903146,
2022-11-11 08:00:00,-26.358268481941707,
2022-11-11 10:30:00,-56.95534485442799,
2022-11-11 11:00:00,-54.3637471585661,
2022-11-11 23:59:59,-62.2025880151306,w
2022-11-14 00:00:00,-56.14538472363009,
2022-11-14 03:30:00,-61.613646630463606,
2022-11-14 04:00:00,-65.66122821614454,
2022-11-14 06:00:00,-55.00246080102265,
2022-11-14 08:00:00,-65.29595275185574,
2022-11-14 10:30:00,-63.75409238233662,
2022-11-14 11:00:00,-57.07986922545436,
2022-11-14 23:59:59,-61.66884312819117,c
2022-11-15 00:00:00,-56.18876173423493,
2022-11-15 03:30:00,-35.2388871486166,
2022-11-15 04:00:00,-38.03478501430121,
2022-11-15 06:00:00,-46.61398909779027,
2022-11-15 08:00:00,-48.46297065840929,
2022-11-15 10:30:00,-19.557825449053695,
2022-11-15 11:00:00,-27.003345271229193,
2022-11-15 23:59:59,-26.321845082143923,c
2022-11-16 00:00:00,-23.653716815779546,
2022-11-16 03:30:00,3.2145912517865654,
2022-11-16 04:00:00,14.483775457904656,
2022-11-16 06:00:00,15.759052779851835,
2022-11-16 08:00:00,7.686801563016189,
2022-11-16 10:30:00,18.840688749133374,
2022-11-16 11:00:00,20.413037014209465,
2022-11-16 23:59:59,20.10595607918024,c
2022-11-17 00:00:00,15.81279779313342,
2022-11-17 03:30:00,-1.5771030794840115,
2022-11-17 04:00:00,-3.705396305306067,
2022-11-17 06:00:00,-11.642189450367773,
2022-11-17 08:00:00,-22.37948300305083,
2022-11-17 10:30:00,-11.670816562454483,
2022-11-17 11:00:00,-11.092282894516508,
2022-11-17 23:59:59,-12.000308007459232,c
2022-11-18 00:00:00,-8.174604593565036,
2022-11-18 03:30:00,3.6873190900279127,
2022-11-18 04:00:00,1.6475379237305887,
2022-11-18 06:00:00,-3.9673470523588463,
2022-11-18 08:00:00,-3.3346064041010095,
2022-11-18 10:30:00,-5.258580027980592,
2022-11-18 11:00:00,-2.7227572680103265,
2022-11-18 23:59:59,0.0,a
2022-11-21 00:00:00,11.719403143355638,
2022-11-21 03:30:00,44.23069381284239,
2022-11-21 04:00:00,49.14861938115531,
2022-11-21 06:00:00,60.84140503767537,
2022-11-21 08:00:00,53.10440368089755,
2022-11-21 10:30:00,49.37897405766617,
2022-11-21 11:00:00,46.51730734050788,
2022-11-21 23:59:59,39.33761430181723,c
2022-11-22 00:00:00,44.22596030265228,
2022-11-22 03:30:00,53.67068520293418,
2022-11-22 04:00:00,57.57004695109151,
2022-11-22 06:00:00,64.67865078561334,
2022-11-22 08:00:00,68.65418417324167,
2022-11-22 10:30:00,57.24518128565214,
2022-11-22 11:00:00,53.54213530198174,
2022-11-22 23:59:59,53.83357261886589,c
2022-11-23 00:00:00,60.67176453171754,
2022-11-23 03:30:00,87.81827040010272,
2022-11-23 04:00:00,89.30229701154107,
2022-11-23 06:00:00,82.50009355589388,
2022-11-23 08:00:00,67.92225499974698,
2022-11-23 10:30:00,61.832920700516155,
2022-11-23 11:00:00,57.19056623530132,
2022-11-23 23:59:59,57.66077786051238,c
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
0,57.66077786051238,
2022-11-24 00:00:00,52.112812469117024,
2022-11-24 03:30:00,52.90752684137573,
2022-11-24 04:00:00,47.45056982329886,
2022-11-24 06:00:00,44.002200893611985,
2022-11-24 08:00:00,41.94292965312739,
2022-11-24 10:30:00,48.49763192845539,
2022-11-24 11:00:00,48.51425427625795,
2022-11-24 23:59:59,49.8955251210203,c
2022-11-25 00:00:00,48.56546166234844,
2022-11-25 03:30:00,58.34770644848449,
2022-11-25 04:00:00,56.193966974070925,
2022-11-25 06:00:00,50.39345327567712,
2022-11-25 08:00:00,44.669755591892795,
2022-11-25 10:30:00,54.297649447224515,
2022-11-25 11:00:00,53.73250906510444,
2022-11-25 23:59:59,47.74484882451135,w
2022-11-28 00:00:00,49.525949903371604,
2022-11-28 03:30:00,51.20722352230075,
2022-11-28 04:00:00,52.46422392180665,
2022-11-28 06:00:00,44.99894208374118,
2022-11-28 08:00:00,38.91546807093103,
2022-11-28 10:30:00,40.06925504787085,
2022-11-28 11:00:00,40.76925315375208,
2022-11-28 23:59:59,40.946500184845284,c
2022-11-29 00:00:00,51.09501003694447,
2022-11-29 03:30:00,78.25569236879699,
2022-11-29 04:00:00,66.25843854680829,
2022-11-29 06:00:00,75.51538806784708,
2022-11-29 08:00:00,73.56701262676725,
2022-11-29 10:30:00,87.36997109182003,
2022-11-29 11:00:00,90.8275070408209,
2022-11-29 23:59:59,91.23164223711974,c
2022-11-30 00:00:00,108.36696122069146,
2022-11-30 03:30:00,109.06601055287491,
2022-11-30 04:00:00,104.00880353051355,
2022-11-30 06:00:00,109.13918044178688,
2022-11-30 08:00:00,100.2801972384278,
2022-11-30 10:30:00,98.31753713673947,
2022-11-30 11:00:00,98.72629101608624,
2022-11-30 23:59:59,110.8341991628242,e
2022-12-01 00:00:00,90.81815961919892,
2022-12-01 03:30:00,46.43841212070323,
2022-12-01 04:00:00,53.80807479487664,
2022-12-01 06:00:00,68.34419601316677,
2022-12-01 08:00:00,64.0602695396855,
2022-12-01 10:30:00,55.205561835850915,
2022-12-01 11:00:00,55.980620940289896,
2022-12-01 23:59:59,59.20182240830185,c
2022-12-02 00:00:00,63.56561923291424,
2022-12-02 03:30:00,47.055375156010115,
