date,AS_JETS_2021_Q4,meta
2021-11-26 18:30:00,24.471071906983525,
2021-11-26 20:00:00,24.471071906983525,
2021-11-26 23:00:00,24.471071906983525,
2021-11-26 23:59:59,0.0,a
2021-11-29 00:00:00,193.01552985600983,
2021-11-29 01:00:00,164.60429889039142,
2021-11-29 02:30:00,151.41139654106883,
2021-11-29 03:00:00,151.60289456055852,
2021-11-29 18:30:00,151.60289456055852,
2021-11-29 20:00:00,205.58042546421984,
2021-11-29 23:00:00,491.7074645233665,
2021-11-29 23:59:59,441.3671068849653,c
2021-11-30 00:00:00,490.25035108515067,
2021-11-30 01:00:00,299.6827310674844,
2021-11-30 02:30:00,274.2159915139496,
2021-11-30 03:00:00,293.3665731135011,
2021-11-30 18:30:00,293.3665731135011,
2021-11-30 20:00:00,241.24105525077357,
2021-11-30 23:00:00,454.66286478439815,
2021-11-30 23:59:59,367.89978291567877,c
2021-12-01 00:00:00,362.9002480113518,
2021-12-01 01:00:00,373.49733998906595,
2021-12-01 02:30:00,360.1533211465512,
2021-12-01 03:00:00,379.8760279422545,
2021-12-01 18:30:00,379.8760279422545,
2021-12-01 20:00:00,185.16886284626707,
2021-12-01 23:00:00,217.51833287433374,
2021-12-01 23:59:59,280.96577382779014,c
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
0,280.96577382779014,
2021-12-02 00:00:00,252.55096128941022,
2021-12-02 01:00:00,190.4539258752984,
2021-12-02 02:30:00,202.59300942727486,
2021-12-02 03:00:00,209.26541020344848,
2021-12-02 18:30:00,209.26541020344848,
2021-12-02 20:00:00,556.1203742162456,
2021-12-02 23:00:00,349.7037787777699,
2021-12-02 23:59:59,401.4755902704719,c
2021-12-03 00:00:00,447.1170861236337,
2021-12-03 01:00:00,527.6493245050106,
2021-12-03 02:30:00,521.4279828927597,
2021-12-03 03:00:00,521.2562157370867,
2021-12-03 18:30:00,521.2562157370867,
2021-12-03 20:00:00,521.2562157370867,
2021-12-03 23:00:00,521.2562157370867,
2021-12-03 23:59:59,533.4631130893235,w
2021-12-06 00:00:00,528.5141544392864,
2021-12-06 01:00:00,559.574381108182,
2021-12-06 02:30:00,566.6459452385848,
2021-12-06 03:00:00,580.299425466555,
2021-12-06 18:30:00,580.299425466555,
2021-12-06 20:00:00,492.2165631903181,
2021-12-06 23:00:00,566.6727953122377,
2021-12-06 23:59:59,511.43302763405836,c
2021-12-07 00:00:00,548.6756265023937,
2021-12-07 01:00:00,707.135383491222,
2021-12-07 02:30:00,766.5460413261676,
2021-12-07 03:00:00,752.9509865497357,
2021-12-07 18:30:00,752.9509865497357,
2021-12-07 20:00:00,712.1792312101661,
2021-12-07 23:00:00,643.5448143484737,
2021-12-07 23:59:59,712.3366585762101,c
2021-12-08 00:00:00,788.9325671067022,
2021-12-08 01:00:00,829.0715801305901,
2021-12-08 02:30:00,835.6595515257782,
2021-12-08 03:00:00,835.9317744170703,
2021-12-08 18:30:00,835.9317744170703,
2021-12-08 20:00:00,858.7286404108263,
2021-12-08 23:00:00,580.6235107295497,
2021-12-08 23:59:59,537.6886281716279,c
2021-12-09 00:00:00,560.7913796530142,
2021-12-09 01:00:00,524.6255786346183,
2021-12-09 02:30:00,537.9136507075614,
2021-12-09 03:00:00,518.061636709454,
2021-12-09 18:30:00,518.061636709454,
2021-12-09 20:00:00,559.1990789576871,
2021-12-09 23:00:00,568.1603793189443,
2021-12-09 23:59:59,596.6669175163202,c
2021-12-10 00:00:00,499.1661433472427,
2021-12-10 01:00:00,566.9600740908436,
2021-12-10 02:30:00,580.2210424416121,
2021-12-10 03:00:00,580.4010432438954,
2021-12-10 18:30:00,580.4010432438954,
2021-12-10 20:00:00,580.4010432438954,
