date,EU_MDAX_2022_Q3,meta
2022-08-26 00:00:00,-274.61752860743854,
2022-08-26 03:30:00,-251.27083637757983,
2022-08-26 04:00:00,-249.93766148945224,
2022-08-26 06:00:00,-245.3715639128916,
2022-08-26 08:00:00,-265.47151726116863,
2022-08-26 10:30:00,-249.228531394647,
2022-08-26 11:00:00,-233.7385102506662,
2022-08-26 23:59:59,-229.26053056776368,w
2022-08-29 00:00:00,-187.54371345792197,
2022-08-29 03:30:00,-180.82011114713623,
2022-08-29 04:00:00,-174.74613482491463,
2022-08-29 06:00:00,-151.12299748332862,
2022-08-29 08:00:00,-139.23070109260516,
2022-08-29 10:30:00,-108.12106486764196,
2022-08-29 11:00:00,-120.79472769384665,
2022-08-29 23:59:59,-90.82775355301646,c
2022-08-30 00:00:00,-85.79590133378997,
2022-08-30 03:30:00,-121.32009592643135,
2022-08-30 04:00:00,-125.22614794766469,
2022-08-30 06:00:00,-85.98782345160203,
2022-08-30 08:00:00,-87.74249499744997,
2022-08-30 10:30:00,-101.0496403867021,
2022-08-30 11:00:00,-106.8008049293785,
2022-08-30 23:59:59,-84.53727568734871,c
2022-08-31 00:00:00,-90.87720470385011,
2022-08-31 03:30:00,-100.66932590737156,
2022-08-31 04:00:00,-57.985786301810776,
2022-08-31 06:00:00,-43.56003200279497,
2022-08-31 08:00:00,-63.77216962000307,
2022-08-31 10:30:00,-24.124348407107163,
2022-08-31 11:00:00,-23.22346929109017,
2022-08-31 23:59:59,-33.42223450490019,c
2022-09-01 00:00:00,-3.269999656837399,
2022-09-01 03:30:00,37.8491425345469,
2022-09-01 04:00:00,48.34223177277795,
2022-09-01 06:00:00,33.08716257116134,
2022-09-01 08:00:00,-2.1188778451223698,
2022-09-01 10:30:00,-0.900824083062389,
2022-09-01 11:00:00,-15.57108413732658,
2022-09-01 23:59:59,16.033394609822835,c
2022-09-02 00:00:00,-20.275007563119743,
2022-09-02 03:30:00,5.579628654636281,
2022-09-02 04:00:00,-12.753029043530887,
2022-09-02 06:00:00,20.630760378342757,
2022-09-02 08:00:00,30.376865392245918,
2022-09-02 10:30:00,-30.814240984655726,
2022-09-02 11:00:00,24.141938063319458,
2022-09-02 23:59:59,0.0,a
2022-09-05 00:00:00,-34.966725921535726,
2022-09-05 03:30:00,-1.209192925219213,
2022-09-05 04:00:00,-20.298763110125947,
2022-09-05 06:00:00,-46.31739392472696,
2022-09-05 08:00:00,-30.82358407139327,
2022-09-05 10:30:00,7.46048775779218,
2022-09-05 11:00:00,-5.530391037259051,
2022-09-05 23:59:59,6.021390099204837,c
2022-09-06 00:00:00,-12.774501669553501,
2022-09-06 03:30:00,-21.579514780880118,
2022-09-06 04:00:00,5.0362495396329905,
2022-09-06 06:00:00,56.341699470029425,
2022-09-06 08:00:00,34.85938135601623,
2022-09-06 10:30:00,4.46919147790959,
2022-09-06 11:00:00,12.45429238974043,
2022-09-06 23:59:59,20.784797484538785,c
2022-09-07 00:00:00,62.65943400551032,
2022-09-07 03:30:00,9.119909016213796,
2022-09-07 04:00:00,63.65118090685564,
2022-09-07 06:00:00,131.2673997224656,
2022-09-07 08:00:00,126.33416060208538,
2022-09-07 10:30:00,144.71816858311809,
2022-09-07 11:00:00,156.43567846386054,
2022-09-07 23:59:59,161.87186333397517,c
0,161.87186333397517,
0,161.87186333397517,
0,161.87186333397517,
0,161.87186333397517,
0,161.87186333397517,
0,161.87186333397517,
0,161.87186333397517,
0,161.87186333397517,
2022-09-08 00:00:00,149.75483395631863,
2022-09-08 03:30:00,162.77875093761122,
2022-09-08 04:00:00,170.82486258389508,
2022-09-08 06:00:00,135.63938899695336,
2022-09-08 08:00:00,145.9030796376867,
2022-09-08 10:30:00,133.74355074208165,
2022-09-08 11:00:00,152.7085430957975,
2022-09-08 23:59:59,149.6867324942284,c
2022-09-09 00:00:00,124.76256530488968,
2022-09-09 03:30:00,113.31087001453739,
2022-09-09 04:00:00,129.0000460776555,
2022-09-09 06:00:00,114.98988371035284,
2022-09-09 08:00:00,122.24661875106563,
2022-09-09 10:30:00,92.46039630258247,
2022-09-09 11:00:00,81.82332586792177,
2022-09-09 23:59:59,121.34441697697139,w
2022-09-12 00:00:00,133.58424200722743,
2022-09-12 03:30:00,167.8096188836157,
2022-09-12 04:00:00,105.8417367686618,
2022-09-12 06:00:00,92.86832238101488,
2022-09-12 08:00:00,91.87937533999866,
2022-09-12 10:30:00,38.28168904640506,
2022-09-12 11:00:00,36.52169400118896,
2022-09-12 23:59:59,34.72740896512801,c
2022-09-13 00:00:00,6.644489725693802,
2022-09-13 03:30:00,63.12913418424432,
2022-09-13 04:00:00,76.05012936062667,
2022-09-13 06:00:00,30.58603998969261,
2022-09-13 08:00:00,-3.055972124991513,
2022-09-13 10:30:00,99.65609888280892,
2022-09-13 11:00:00,86.39508953464406,
2022-09-13 23:59:59,104.63593504626442,c
2022-09-14 00:00:00,100.42471015195565,
2022-09-14 03:30:00,117.82804792727029,
2022-09-14 04:00:00,66.79238065673417,
2022-09-14 06:00:00,76.35086368244129,
2022-09-14 08:00:00,87.28906283383708,
2022-09-14 10:30:00,110.13454011138651,
2022-09-14 11:00:00,103.72702070351511,
2022-09-14 23:59:59,110.8555891895237,c
2022-09-15 00:00:00,130.07082593434302,
2022-09-15 03:30:00,176.2507677164126,
2022-09-15 04:00:00,206.10109283118322,
2022-09-15 06:00:00,239.3334076529502,
2022-09-15 08:00:00,258.55457267819475,
2022-09-15 10:30:00,183.29807153208617,
2022-09-15 11:00:00,177.82014029371976,
2022-09-15 23:59:59,188.5787981388919,c
2022-09-16 00:00:00,194.09226952937456,
2022-09-16 03:30:00,121.70487926857822,
2022-09-16 04:00:00,81.75910412877397,
2022-09-16 06:00:00,110.66534018871016,
2022-09-16 08:00:00,96.27412423955525,
2022-09-16 10:30:00,137.20478359156255,
2022-09-16 11:00:00,162.89546742769107,
2022-09-16 23:59:59,207.57476731073393,e
2022-09-19 00:00:00,193.92009313547783,
2022-09-19 03:30:00,116.37944752628732,
2022-09-19 04:00:00,155.05842356655967,
2022-09-19 06:00:00,174.2010711484179,
2022-09-19 08:00:00,183.68176117293706,
2022-09-19 10:30:00,229.44355094078878,
2022-09-19 11:00:00,233.94732152147571,
2022-09-19 23:59:59,223.32345058473788,c
2022-09-20 00:00:00,224.27226482846504,
2022-09-20 03:30:00,364.4004133193448,
2022-09-20 04:00:00,408.1397752801904,
2022-09-20 06:00:00,433.5251516586145,
2022-09-20 08:00:00,414.82704882317466,
2022-09-20 10:30:00,366.3123331418087,
2022-09-20 11:00:00,354.82505076306484,
2022-09-20 23:59:59,364.1700682698802,c
2022-09-21 00:00:00,405.249670431544,
2022-09-21 03:30:00,326.6369403452479,
2022-09-21 04:00:00,351.3219028946148,
2022-09-21 06:00:00,388.9971015079841,
2022-09-21 08:00:00,338.2150963486474,
2022-09-21 10:30:00,356.0191144753785,
2022-09-21 11:00:00,324.6857992141845,
2022-09-21 23:59:59,339.16076251524146,c
2022-09-22 00:00:00,381.64936607106984,
