date,NOBL_HEDGED_2021_Q1,meta
2021-01-01 00:00:00,64.83903383016855,
2021-01-01 10:00:00,64.83903383016855,
2021-01-01 10:30:00,64.83903383016855,
2021-01-01 12:00:00,64.83903383016855,
2021-01-01 13:30:00,64.83903383016855,
2021-01-01 15:00:00,64.83903383016855,
2021-01-01 15:30:30,64.83903383016855,
2021-01-01 23:59:59,64.83903383016855,w
2021-01-04 00:00:00,64.83903383016855,
2021-01-04 10:00:00,59.372677441498354,
2021-01-04 10:30:00,83.37927955251985,
2021-01-04 12:00:00,87.52607275646164,
2021-01-04 13:30:00,74.1101335478769,
2021-01-04 15:00:00,93.90234141241751,
2021-01-04 15:30:30,93.90234141241751,
2021-01-04 23:59:59,111.07827542943426,c
2021-01-05 00:00:00,102.13149341242911,
2021-01-05 10:00:00,79.0544921790754,
2021-01-05 10:30:00,55.40723655979889,
2021-01-05 12:00:00,54.56340832890942,
2021-01-05 13:30:00,49.28758497358683,
2021-01-05 15:00:00,78.76268459104438,
2021-01-05 15:30:30,78.76268459104438,
2021-01-05 23:59:59,80.81316842503486,c
2021-01-06 00:00:00,77.28501356768982,
2021-01-06 10:00:00,34.9097696086701,
2021-01-06 10:30:00,57.805151042932835,
2021-01-06 12:00:00,18.355859819434954,
2021-01-06 13:30:00,-2.082786663706088,
2021-01-06 15:00:00,10.971845129679423,
2021-01-06 15:30:30,10.971845129679423,
2021-01-06 23:59:59,4.198686167430083,c
2021-01-07 00:00:00,-15.07813080074368,
2021-01-07 10:00:00,-14.837176104339619,
2021-01-07 10:30:00,-14.38613786786982,
2021-01-07 12:00:00,-20.062108194148664,
2021-01-07 13:30:00,0.8585460878649656,
2021-01-07 15:00:00,1.944447794624807,
2021-01-07 15:30:30,1.944447794624807,
2021-01-07 23:59:59,-9.74514292171773,c
2021-01-08 00:00:00,-5.089205959342735,
2021-01-08 10:00:00,18.901404783986436,
2021-01-08 10:30:00,43.080205384983174,
2021-01-08 12:00:00,19.881751563972898,
2021-01-08 13:30:00,32.71550870208773,
2021-01-08 15:00:00,29.121175117452708,
2021-01-08 15:30:30,29.121175117452708,
2021-01-08 23:59:59,28.55853237645158,w
2021-01-11 00:00:00,75.87175386773322,
2021-01-11 10:00:00,53.90013066198935,
2021-01-11 10:30:00,19.478759876501954,
2021-01-11 12:00:00,1.5594513379612636,
2021-01-11 13:30:00,-5.847135848678931,
2021-01-11 15:00:00,-12.995995267636772,
2021-01-11 15:30:30,-12.995995267636772,
