date,MSCI_FACT_USMV_HEDGED_2020_Q4,meta
2020-10-14 00:00:00,305.1751632535359,
2020-10-14 10:00:00,276.072158301003,
2020-10-14 10:30:00,281.7043208389415,
2020-10-14 12:00:00,287.02851650394354,
2020-10-14 13:30:00,273.21326622965216,
2020-10-14 15:00:00,279.96516761840354,
2020-10-14 15:30:30,279.96516761840354,
2020-10-14 23:59:59,283.03298973089335,c
2020-10-15 00:00:00,272.32869441664343,
2020-10-15 10:00:00,269.87531662531387,
2020-10-15 10:30:00,245.96546736756386,
2020-10-15 12:00:00,226.29545619813894,
2020-10-15 13:30:00,224.92070105539648,
2020-10-15 15:00:00,224.5216364301548,
2020-10-15 15:30:30,224.5216364301548,
2020-10-15 23:59:59,229.3930346530573,c
2020-10-16 00:00:00,229.67409453098662,
2020-10-16 10:00:00,250.26162363980353,
2020-10-16 10:30:00,262.34892596166617,
2020-10-16 12:00:00,260.6309928553578,
2020-10-16 13:30:00,252.37509018863,
2020-10-16 15:00:00,254.3176841964165,
2020-10-16 15:30:30,254.3176841964165,
2020-10-16 23:59:59,257.7739096319651,w
2020-10-19 00:00:00,271.68234761770003,
2020-10-19 10:00:00,267.7876944200313,
2020-10-19 10:30:00,260.46041063607106,
2020-10-19 12:00:00,258.55095239198886,
2020-10-19 13:30:00,265.97829346401346,
2020-10-19 15:00:00,265.7377788098308,
2020-10-19 15:30:30,265.7377788098308,
2020-10-19 23:59:59,269.2940200529281,c
2020-10-20 00:00:00,270.04056985010584,
2020-10-20 10:00:00,251.49522661178023,
2020-10-20 10:30:00,253.74956803047004,
2020-10-20 12:00:00,250.88425832476872,
2020-10-20 13:30:00,251.06479184181617,
2020-10-20 15:00:00,246.8438039587735,
2020-10-20 15:30:30,246.8438039587735,
2020-10-20 23:59:59,245.23875101999428,c
2020-10-21 00:00:00,248.0285279638628,
2020-10-21 10:00:00,244.1311724527947,
2020-10-21 10:30:00,229.27229636631816,
2020-10-21 12:00:00,224.14095427847778,
2020-10-21 13:30:00,219.672856501085,
2020-10-21 15:00:00,220.3979580398482,
2020-10-21 15:30:30,220.3979580398482,
2020-10-21 23:59:59,216.18257196159675,c
2020-10-22 00:00:00,215.52781969475453,
2020-10-22 10:00:00,194.44647250684173,
2020-10-22 10:30:00,193.11887602141277,
2020-10-22 12:00:00,195.47456613701235,
2020-10-22 13:30:00,211.26979557762124,
2020-10-22 15:00:00,213.22248514967228,
2020-10-22 15:30:30,213.22248514967228,
2020-10-22 23:59:59,216.89384623711146,c
2020-10-23 00:00:00,211.73726457407707,
2020-10-23 10:00:00,218.65811361976986,
2020-10-23 10:30:00,218.86567839463518,
2020-10-23 12:00:00,210.86873622975227,
2020-10-23 13:30:00,207.15101011673272,
2020-10-23 15:00:00,206.64024076754075,
2020-10-23 15:30:30,206.64024076754075,
2020-10-23 23:59:59,209.66269391558637,w
2020-10-26 00:00:00,209.71835521986938,
2020-10-26 10:00:00,235.94866692686355,
2020-10-26 10:30:00,246.10386214682566,
2020-10-26 12:00:00,242.07254060447136,
2020-10-26 13:30:00,251.4446459526317,
2020-10-26 15:00:00,255.68975297826944,
2020-10-26 15:30:30,255.68975297826944,
2020-10-26 23:59:59,257.37263396366154,c
2020-10-27 00:00:00,256.05032344745916,
2020-10-27 10:00:00,260.76042190595723,
2020-10-27 10:30:00,255.291153606122,
2020-10-27 12:00:00,266.7443110367955,
2020-10-27 13:30:00,272.19844382241394,
2020-10-27 15:00:00,282.0734627521709,
2020-10-27 15:30:30,282.0734627521709,
2020-10-27 23:59:59,290.7831015910731,c
2020-10-28 00:00:00,294.56314895282895,
2020-10-28 10:00:00,292.40931824743853,
2020-10-28 10:30:00,285.1519007416022,
2020-10-28 12:00:00,291.5701735446755,
2020-10-28 13:30:00,294.7365725071825,
2020-10-28 15:00:00,305.0874772488065,
2020-10-28 15:30:30,305.0874772488065,
2020-10-28 23:59:59,295.29913300825734,c
2020-10-29 00:00:00,283.025456848329,
2020-10-29 10:00:00,267.2658796118583,
2020-10-29 10:30:00,244.5622661405291,
2020-10-29 12:00:00,240.62290228522167,
2020-10-29 13:30:00,244.07114217795086,
2020-10-29 15:00:00,253.58980189967733,
2020-10-29 15:30:30,253.58980189967733,
2020-10-29 23:59:59,256.34974544318595,c
2020-10-30 00:00:00,249.60440788917185,
2020-10-30 10:00:00,232.67414762001906,
2020-10-30 10:30:00,241.60763868939034,
2020-10-30 12:00:00,226.34993123934333,
2020-10-30 13:30:00,241.69438296149835,
2020-10-30 15:00:00,256.6491573672865,
2020-10-30 15:30:30,256.6491573672865,s
2020-10-30 23:59:59,255.93172604820586,w
2020-11-02 00:00:00,238.58615134390558,
2020-11-02 10:00:00,221.64060519477934,
2020-11-02 10:30:00,226.30888086373895,
2020-11-02 12:00:00,204.11364503723718,
2020-11-02 13:30:00,198.53350393220487,
2020-11-02 15:00:00,204.40297496290466,
2020-11-02 15:30:30,204.40297496290466,
2020-11-02 23:59:59,203.946971781498,c
2020-11-03 00:00:00,202.77690467449398,
2020-11-03 10:00:00,195.83679152326448,
2020-11-03 10:30:00,190.53683721471353,
2020-11-03 12:00:00,175.6897058276707,
2020-11-03 13:30:00,174.16986528326038,
2020-11-03 15:00:00,175.17347304747858,
2020-11-03 15:30:30,175.17347304747858,
2020-11-03 23:59:59,176.89598657661077,c
2020-11-04 00:00:00,209.91403997202974,
2020-11-04 10:00:00,194.24874622634022,
2020-11-04 10:30:00,222.8862251608594,
2020-11-04 12:00:00,224.19866652480894,
2020-11-04 13:30:00,225.95496737298467,
