date,OMFL_2022_Q,meta
2022-08-10 12:00:00,-29.834417693409193,
2022-08-10 13:30:00,-19.43903145839002,
2022-08-10 15:00:00,-15.071004212888994,
2022-08-10 15:30:30,-15.071004212888994,
2022-08-10 23:59:59,-11.502077360306117,c
2022-08-11 00:00:00,-30.24734694360839,
2022-08-11 10:00:00,-21.796133944599234,
2022-08-11 10:30:00,-22.31036226441327,
2022-08-11 12:00:00,7.576035545687432,
2022-08-11 13:30:00,12.014495508221046,
2022-08-11 15:00:00,11.321049000456014,
2022-08-11 15:30:30,11.321049000456014,
2022-08-11 23:59:59,10.707278279280644,c
2022-08-12 00:00:00,-5.093293123728785,
2022-08-12 10:00:00,11.445750131487358,
2022-08-12 10:30:00,4.325996894839278,
2022-08-12 12:00:00,23.450634776662696,
2022-08-12 13:30:00,26.637189620230856,
2022-08-12 15:00:00,24.284376575072997,
2022-08-12 15:30:30,24.284376575072997,
2022-08-12 23:59:59,25.764810037208264,w
2022-08-15 00:00:00,5.033779599564241,
2022-08-15 10:00:00,-21.8949949168223,
2022-08-15 10:30:00,-12.999532628435645,
2022-08-15 12:00:00,-4.9064054655363805,
2022-08-15 13:30:00,-8.939156270165114,
2022-08-15 15:00:00,-6.791324460362148,
2022-08-15 15:30:30,-6.791324460362148,
2022-08-15 23:59:59,0.41609737395504,c
2022-08-16 00:00:00,2.487751972302533,
2022-08-16 10:00:00,7.6542565957817885,
2022-08-16 10:30:00,4.460673984806675,
2022-08-16 12:00:00,-31.234014833251507,
2022-08-16 13:30:00,-30.68933733212384,
2022-08-16 15:00:00,-23.923798373775327,
2022-08-16 15:30:30,-23.923798373775327,
2022-08-16 23:59:59,-28.187464272061817,c
2022-08-17 00:00:00,-10.966313044822869,
2022-08-17 10:00:00,-15.45645714064068,
2022-08-17 10:30:00,-2.3981567179692433,
2022-08-17 12:00:00,8.94810123017146,
2022-08-17 13:30:00,15.552353660097566,
2022-08-17 15:00:00,-0.06902220270330872,
2022-08-17 15:30:30,-0.06902220270330872,
2022-08-17 23:59:59,3.4763695873330107,c
2022-08-18 00:00:00,1.675854410570679,
2022-08-18 10:00:00,21.36824165201881,
2022-08-18 10:30:00,17.248036800879873,
2022-08-18 12:00:00,6.980100685756497,
2022-08-18 13:30:00,3.217597256682609,
2022-08-18 15:00:00,4.743447238117682,
2022-08-18 15:30:30,4.743447238117682,
2022-08-18 23:59:59,8.632098230568403,c
