date,AR1_STAY_HEDGED_2021_Q2,meta
2021-05-14 10:30:00,-46.07822506910702,
2021-05-14 12:00:00,-46.71838745790217,
2021-05-14 13:30:00,-46.22307474582442,
2021-05-14 15:00:00,-44.10995261260683,
2021-05-14 15:30:30,-44.10995261260683,
2021-05-14 23:59:59,-43.163733761450786,w
2021-05-17 00:00:00,-52.22668470676723,
2021-05-17 10:00:00,-53.24046836068776,
2021-05-17 10:30:00,-51.858506421312654,
2021-05-17 12:00:00,-51.651388980684544,
2021-05-17 13:30:00,-51.629947215084684,
2021-05-17 15:00:00,-49.61468263317413,
2021-05-17 15:30:30,-49.61468263317413,
2021-05-17 23:59:59,-43.361101246053806,c
2021-05-18 00:00:00,-39.55941734610623,
2021-05-18 10:00:00,-32.88307830143536,
2021-05-18 10:30:00,-30.24631957454568,
2021-05-18 12:00:00,-35.58951692635648,
2021-05-18 13:30:00,-34.7828378971967,
2021-05-18 15:00:00,-37.05144805062112,
2021-05-18 15:30:30,-37.05144805062112,
2021-05-18 23:59:59,-38.928233243589375,c
2021-05-19 00:00:00,-51.16687340069123,
2021-05-19 10:00:00,-50.169588975332886,
2021-05-19 10:30:00,-44.11638053107758,
2021-05-19 12:00:00,-45.12965494607478,
2021-05-19 13:30:00,-42.76513360266111,
2021-05-19 15:00:00,-47.96059180939257,
2021-05-19 15:30:30,-47.96059180939257,
2021-05-19 23:59:59,-44.44708274456893,c
2021-05-20 00:00:00,-42.76723716033588,
2021-05-20 10:00:00,-47.44455433928539,
2021-05-20 10:30:00,-47.97631985840313,
2021-05-20 12:00:00,-51.564008517091665,
2021-05-20 13:30:00,-47.72238011304175,
2021-05-20 15:00:00,-45.29243085161157,
2021-05-20 15:30:30,-45.29243085161157,
2021-05-20 23:59:59,-42.67957067939609,c
2021-05-21 00:00:00,-41.66119624426743,
2021-05-21 10:00:00,-36.6129264180998,
2021-05-21 10:30:00,-36.18565309267778,
2021-05-21 12:00:00,-34.2104382027604,
2021-05-21 13:30:00,-34.72464396904874,
2021-05-21 15:00:00,-33.045844629504245,
2021-05-21 15:30:30,-33.045844629504245,
2021-05-21 23:59:59,-35.38339399303716,w
2021-05-24 00:00:00,-29.92310509039595,
2021-05-24 10:00:00,-27.94639345760436,
2021-05-24 10:30:00,-31.333285934222403,
2021-05-24 12:00:00,-26.298956870162755,
2021-05-24 13:30:00,-22.452012610875144,
2021-05-24 15:00:00,-18.04352319018544,
2021-05-24 15:30:30,-18.04352319018544,
2021-05-24 23:59:59,-18.58538603554784,c
2021-05-25 00:00:00,-19.082541909590574,
2021-05-25 10:00:00,-19.175379227407674,
2021-05-25 10:30:00,-12.6986454225421,
2021-05-25 12:00:00,-12.902868025305011,
2021-05-25 13:30:00,-15.239990307252569,
2021-05-25 15:00:00,-15.205939677046686,
2021-05-25 15:30:30,-15.205939677046686,
2021-05-25 23:59:59,-15.33886472647643,c
2021-05-26 00:00:00,-17.063751294069476,
2021-05-26 10:00:00,-14.47896946758462,
2021-05-26 10:30:00,-12.172572056879105,
2021-05-26 12:00:00,-6.596889991423126,
2021-05-26 13:30:00,-7.188625773915959,
2021-05-26 15:00:00,-6.749481807777528,
2021-05-26 15:30:30,-6.749481807777528,
2021-05-26 23:59:59,-7.440490741212159,c
2021-05-27 00:00:00,-2.850780498265266,
2021-05-27 10:00:00,-5.028349245042278,
2021-05-27 10:30:00,-3.647744829749996,
2021-05-27 12:00:00,-4.816377335965342,
2021-05-27 13:30:00,0.4073617304694892,
2021-05-27 15:00:00,6.504807206919793,
2021-05-27 15:30:30,6.504807206919793,m
2021-05-27 23:59:59,4.758337161632028,c
2021-05-28 00:00:00,1.69805516067035,
2021-05-28 10:00:00,7.880549161271944,
2021-05-28 10:30:00,2.5592216916464565,
2021-05-28 12:00:00,4.302457644246886,
2021-05-28 13:30:00,7.5827994401333285,
2021-05-28 15:00:00,10.871492518177462,
