date,EU_IBEX_2022_Q2,meta
2022-05-26 00:00:00,339.9953708171571,
2022-05-26 03:30:00,279.61745881051206,
2022-05-26 04:00:00,272.91527662757585,
2022-05-26 06:00:00,266.1013263039273,
2022-05-26 08:00:00,253.14681911846696,
2022-05-26 10:30:00,194.40078928256867,
2022-05-26 11:00:00,189.16027456303698,
2022-05-26 23:59:59,180.84630804578683,c
2022-05-27 00:00:00,195.71708840683152,
2022-05-27 03:30:00,200.930488517286,
2022-05-27 04:00:00,203.86965494370202,
2022-05-27 06:00:00,182.62647322504745,
2022-05-27 08:00:00,211.04499125007806,
2022-05-27 10:30:00,193.55880681437566,
2022-05-27 11:00:00,204.80920639099975,
2022-05-27 23:59:59,191.7903040986596,w
2022-05-30 00:00:00,176.38057484977594,
2022-05-30 03:30:00,172.0507416836915,
2022-05-30 04:00:00,137.4029004032801,
2022-05-30 06:00:00,163.8298675382199,
2022-05-30 08:00:00,134.7168655762963,
2022-05-30 10:30:00,95.13791633890582,
2022-05-30 11:00:00,97.3744723977004,
2022-05-30 23:59:59,114.78772158537959,c
2022-05-31 00:00:00,160.98548453473393,
2022-05-31 03:30:00,145.44604675551727,
2022-05-31 04:00:00,142.84721646474304,
2022-05-31 06:00:00,130.85234753442217,
2022-05-31 08:00:00,172.970400260955,
2022-05-31 10:30:00,147.07706470927496,
2022-05-31 11:00:00,151.59450185154276,
2022-05-31 23:59:59,127.92053958996075,c
2022-06-01 00:00:00,123.22771343987495,
2022-06-01 03:30:00,62.15291853049689,
2022-06-01 04:00:00,68.83373370888978,
2022-06-01 06:00:00,76.4403363213163,
2022-06-01 08:00:00,53.464359202088644,
2022-06-01 10:30:00,56.501044295588144,
2022-06-01 11:00:00,62.75768649678355,
2022-06-01 23:59:59,51.407985553186336,c
2022-06-02 00:00:00,5.912093995733926,
2022-06-02 03:30:00,42.32908668251264,
2022-06-02 04:00:00,81.50748735457546,
2022-06-02 06:00:00,103.48321673000919,
2022-06-02 08:00:00,124.39114019824615,
2022-06-02 10:30:00,85.3760864761581,
2022-06-02 11:00:00,92.40679165693814,
2022-06-02 23:59:59,86.56557922969364,c
2022-06-03 00:00:00,131.67318563275785,
2022-06-03 03:30:00,100.044587339896,
2022-06-03 04:00:00,144.92422208384596,
2022-06-03 06:00:00,159.40464453997583,
2022-06-03 08:00:00,144.82202267473247,
2022-06-03 10:30:00,178.63989791201993,
2022-06-03 11:00:00,184.59154055900933,
2022-06-03 23:59:59,183.90821148830582,w
2022-06-06 00:00:00,168.86218234909836,
2022-06-06 03:30:00,139.0204778620772,
2022-06-06 04:00:00,127.1493983128745,
2022-06-06 06:00:00,115.9090729722293,
2022-06-06 08:00:00,107.15396316325655,
2022-06-06 10:30:00,79.88752120206732,
2022-06-06 11:00:00,103.94694978946222,
2022-06-06 23:59:59,115.37235729077804,c
2022-06-07 00:00:00,134.3621149354733,
2022-06-07 03:30:00,78.3007012541101,
2022-06-07 04:00:00,68.40628746375887,
2022-06-07 06:00:00,81.67565460137837,
2022-06-07 08:00:00,101.04486225326025,
2022-06-07 10:30:00,106.6454428703446,
2022-06-07 11:00:00,96.081003264527,
2022-06-07 23:59:59,111.92134956295831,c
2022-06-08 00:00:00,101.29213359029507,
2022-06-08 03:30:00,104.97703854827432,
2022-06-08 04:00:00,124.68900515258929,
2022-06-08 06:00:00,104.25251248098255,
2022-06-08 08:00:00,95.61716692921948,
2022-06-08 10:30:00,128.85333412578586,
2022-06-08 11:00:00,115.6666369501321,
2022-06-08 23:59:59,112.27042135451018,c
2022-06-09 00:00:00,129.1224498027574,
2022-06-09 03:30:00,84.2346455707168,
2022-06-09 04:00:00,80.67423350337288,
2022-06-09 06:00:00,64.2717010057462,
2022-06-09 08:00:00,20.760597900009543,
2022-06-09 10:30:00,21.0412767008213,
2022-06-09 11:00:00,-1.3091125803581463,
2022-06-09 23:59:59,0.0,a
2022-06-10 00:00:00,108.6551364960269,
2022-06-10 03:30:00,46.33640455298928,
2022-06-10 04:00:00,1.4793151637646815,
2022-06-10 06:00:00,9.312416962242992,
2022-06-10 08:00:00,83.89052539443219,
2022-06-10 10:30:00,95.9668822203862,
2022-06-10 11:00:00,94.52376713702961,
2022-06-10 23:59:59,113.94798713032753,w
2022-06-13 00:00:00,113.94798713032753,
2022-06-13 03:30:00,113.94798713032753,
2022-06-13 04:00:00,113.94798713032753,
2022-06-13 06:00:00,113.94798713032753,
2022-06-13 08:00:00,113.94798713032753,
2022-06-13 10:30:00,113.94798713032753,
2022-06-13 11:00:00,113.94798713032753,
2022-06-13 23:59:59,113.94798713032753,c
2022-06-14 00:00:00,97.23649927887539,
2022-06-14 03:30:00,98.90732703002175,
2022-06-14 04:00:00,28.329043602722436,
2022-06-14 06:00:00,31.490867926194483,
2022-06-14 08:00:00,10.27942646084091,
2022-06-14 10:30:00,8.652801355667293,
2022-06-14 11:00:00,-13.587532160279238,
2022-06-14 23:59:59,14.315571808644336,c
2022-06-15 00:00:00,-79.22326343696739,
2022-06-15 03:30:00,-22.933630822418877,
2022-06-15 04:00:00,-40.76820557932513,
2022-06-15 06:00:00,-124.59650551367451,
2022-06-15 08:00:00,-106.13281224247942,
2022-06-15 10:30:00,-67.90567857070744,
2022-06-15 11:00:00,-59.30050550908561,
2022-06-15 23:59:59,-10.135325405503067,c
2022-06-16 00:00:00,91.53335800614718,
2022-06-16 03:30:00,69.11095899272084,
2022-06-16 04:00:00,45.20710194993262,
2022-06-16 06:00:00,10.008857969307655,
2022-06-16 08:00:00,-27.598180616320064,
2022-06-16 10:30:00,-31.22737130791836,
2022-06-16 11:00:00,-29.710953028283598,
2022-06-16 23:59:59,-40.35643502981827,c
2022-06-17 00:00:00,-83.44093534198475,
2022-06-17 03:30:00,-125.52252846460954,
2022-06-17 04:00:00,-121.00191853927902,
2022-06-17 06:00:00,-115.71308371129487,
2022-06-17 08:00:00,-155.95156500994688,
2022-06-17 10:30:00,-144.72559221055656,
2022-06-17 11:00:00,-98.48516640777541,
2022-06-17 23:59:59,-150.07002482907512,e
2022-06-20 00:00:00,-103.92401121320074,
2022-06-20 03:30:00,-142.33897951747588,
2022-06-20 04:00:00,-183.55029352306826,
2022-06-20 06:00:00,-141.18301223208493,
2022-06-20 08:00:00,-194.9523761631807,
2022-06-20 10:30:00,-263.47861532124523,
2022-06-20 11:00:00,-258.77878559331737,
2022-06-20 23:59:59,-238.89423688445083,c
2022-06-21 00:00:00,-272.0767406895342,
2022-06-21 03:30:00,-304.707547821729,
2022-06-21 04:00:00,-339.87282160486313,
2022-06-21 06:00:00,-361.5155987180532,
2022-06-21 08:00:00,-349.6331205127441,
2022-06-21 10:30:00,-352.02597050661427,
2022-06-21 11:00:00,-346.71056779088997,
2022-06-21 23:59:59,-347.05453229483703,c
2022-06-22 00:00:00,-286.9740944852773,
2022-06-22 03:30:00,-354.2927101427141,
2022-06-22 04:00:00,-336.9794890637737,
2022-06-22 06:00:00,-367.9867053653687,
2022-06-22 08:00:00,-402.8256063789664,
2022-06-22 10:30:00,-427.3269871024032,
2022-06-22 11:00:00,-423.1310750731476,
2022-06-22 23:59:59,-385.12771284756775,c
2022-06-23 00:00:00,-307.2166016557861,
2022-06-23 03:30:00,-377.8215312055746,
2022-06-23 04:00:00,-373.23381854878664,
2022-06-23 06:00:00,-303.15437088840133,
2022-06-23 08:00:00,-263.8380628926401,
2022-06-23 10:30:00,-255.34419909825885,
2022-06-23 11:00:00,-233.07969489131813,
2022-06-23 23:59:59,-230.89396118670345,c
2022-06-24 00:00:00,-162.75438942403605,
2022-06-24 03:30:00,-129.95437596817567,
2022-06-24 04:00:00,-100.85255158590905,
2022-06-24 06:00:00,-87.3319359554265,
2022-06-24 08:00:00,-158.48454876837752,
2022-06-24 10:30:00,-146.41114498445143,
2022-06-24 11:00:00,-142.54119922716325,
2022-06-24 23:59:59,-158.73076068105854,w
2022-06-27 00:00:00,-168.9245533393704,
2022-06-27 03:30:00,-201.75029541927586,
2022-06-27 04:00:00,-186.36487857655163,
2022-06-27 06:00:00,-198.88854621577855,
2022-06-27 08:00:00,-216.19136187508764,
2022-06-27 10:30:00,-144.02634738764266,
2022-06-27 11:00:00,-132.43942403980634,
2022-06-27 23:59:59,-135.7579788784609,c
2022-06-28 00:00:00,-161.26442930174346,
2022-06-28 03:30:00,-153.00273085675246,
2022-06-28 04:00:00,-139.46210681257446,
2022-06-28 06:00:00,-158.84110340796167,
2022-06-28 08:00:00,-127.32186081127259,
2022-06-28 10:30:00,-111.50753799602364,
2022-06-28 11:00:00,-117.0269775632795,
2022-06-28 23:59:59,-130.72221578676238,c
2022-06-29 00:00:00,-59.60563452257895,
2022-06-29 03:30:00,-101.67704271923674,
2022-06-29 04:00:00,-132.9778788622342,
2022-06-29 06:00:00,-196.6166302813525,
2022-06-29 08:00:00,-194.98242550077032,
2022-06-29 10:30:00,-219.80519914450122,
2022-06-29 11:00:00,-229.01811786342535,
2022-06-29 23:59:59,-212.28003841729208,c
2022-06-30 00:00:00,-167.01854066462977,
2022-06-30 03:30:00,-113.6272427412988,
2022-06-30 04:00:00,-68.87683498212562,
2022-06-30 06:00:00,-127.31989335283981,
2022-06-30 08:00:00,-119.0323762123952,
2022-06-30 10:30:00,-46.98641703859846,
2022-06-30 11:00:00,-61.15860021031415,
2022-06-30 23:59:59,-82.6188399763929,c
2022-07-01 00:00:00,-14.802601456064963,
2022-07-01 03:30:00,-100.11017211933097,
2022-07-01 04:00:00,-114.9877057220748,
2022-07-01 06:00:00,-83.66504851381126,
2022-07-01 08:00:00,-39.710829759155445,
