date,PCEF_2022_Q3,meta
2022-09-27 10:00:00,41.73209507835654,
2022-09-27 10:30:00,47.41091325051471,
2022-09-27 12:00:00,49.421626912380276,
2022-09-27 13:30:00,57.80156203801971,
2022-09-27 15:00:00,72.84908977908972,
2022-09-27 15:30:30,72.84908977908972,
2022-09-27 23:59:59,72.41645378254,c
2022-09-28 00:00:00,72.41645378254,
2022-09-28 10:00:00,67.95464808682604,
2022-09-28 10:30:00,69.00939933007913,
2022-09-28 12:00:00,67.9640642527707,
2022-09-28 13:30:00,78.7011402672868,
2022-09-28 15:00:00,84.18535819179385,
2022-09-28 15:30:30,84.18535819179385,
2022-09-28 23:59:59,83.978192777289,c
2022-09-29 00:00:00,83.978192777289,
2022-09-29 10:00:00,86.2398644666751,
2022-09-29 10:30:00,89.62938537624962,
2022-09-29 12:00:00,102.45882068622313,
2022-09-29 13:30:00,102.11655040736679,
2022-09-29 15:00:00,100.26614601155109,
2022-09-29 15:30:30,100.26614601155109,
2022-09-29 23:59:59,106.72317059124703,c
2022-09-30 00:00:00,106.72317059124703,
2022-09-30 10:00:00,114.37602364268173,
2022-09-30 10:30:00,112.29496760806927,
2022-09-30 12:00:00,112.32192960820242,
2022-09-30 13:30:00,144.98097262680307,
2022-09-30 15:00:00,157.03427785638308,
2022-09-30 15:30:30,157.03427785638308,
2022-09-30 23:59:59,199.98328508409145,e
2022-10-03 00:00:00,199.98328508409145,
2022-10-03 10:00:00,195.99595964264108,
2022-10-03 10:30:00,176.16128476431294,
2022-10-03 12:00:00,171.03419208578674,
2022-10-03 13:30:00,177.0397630171064,
2022-10-03 15:00:00,167.38325816330888,
2022-10-03 15:30:30,167.38325816330888,
2022-10-03 23:59:59,169.36794577273463,c
2022-10-04 00:00:00,169.36794577273463,
2022-10-04 10:00:00,166.98191493441618,
2022-10-04 10:30:00,158.0658671275441,
2022-10-04 12:00:00,149.66225595401323,
2022-10-04 13:30:00,149.28177219317655,
2022-10-04 15:00:00,144.68907606660872,
2022-10-04 15:30:30,144.68907606660872,
2022-10-04 23:59:59,152.93147069878404,c
2022-10-05 00:00:00,152.93147069878404,
2022-10-05 10:00:00,163.76450498693174,
2022-10-05 10:30:00,161.85564698398792,
2022-10-05 12:00:00,145.7981420115209,
2022-10-05 13:30:00,156.8049198717212,
2022-10-05 15:00:00,160.57879047168063,
2022-10-05 15:30:30,160.57879047168063,
2022-10-05 23:59:59,160.51145114238813,c
2022-10-06 00:00:00,160.51145114238813,
2022-10-06 10:00:00,170.20112926084033,
2022-10-06 10:30:00,169.43721507245016,
2022-10-06 12:00:00,160.6259641413934,
2022-10-06 13:30:00,162.87830079643862,
2022-10-06 15:00:00,158.98823183835373,
2022-10-06 15:30:30,158.98823183835373,
2022-10-06 23:59:59,167.7546812830928,c
2022-10-07 00:00:00,167.7546812830928,
2022-10-07 10:00:00,151.5806676942296,
2022-10-07 10:30:00,144.25544108172306,
2022-10-07 12:00:00,138.830270680352,
2022-10-07 13:30:00,132.87985798866208,
2022-10-07 15:00:00,136.2435240941084,
2022-10-07 15:30:30,136.2435240941084,
2022-10-07 23:59:59,140.53861843296312,w
2022-10-10 00:00:00,140.53861843296312,
2022-10-10 10:00:00,156.77178532949682,
2022-10-10 10:30:00,149.32350256369222,
2022-10-10 12:00:00,138.4082903178109,
2022-10-10 13:30:00,130.22698266321288,
2022-10-10 15:00:00,126.87054305814058,
2022-10-10 15:30:30,126.87054305814058,
2022-10-10 23:59:59,130.31690674344526,c
2022-10-11 00:00:00,130.31690674344526,
2022-10-11 10:00:00,122.66311606370567,
2022-10-11 10:30:00,112.5076960760274,
2022-10-11 12:00:00,114.79338027175692,
2022-10-11 13:30:00,112.13580093189097,
2022-10-11 15:00:00,113.06830347706955,
2022-10-11 15:30:30,113.06830347706955,
2022-10-11 23:59:59,107.75248353227676,c
2022-10-12 00:00:00,107.75248353227676,
2022-10-12 10:00:00,102.9441758751401,
2022-10-12 10:30:00,107.71418169044199,
2022-10-12 12:00:00,102.7640857566567,
2022-10-12 13:30:00,112.2328946405421,
2022-10-12 15:00:00,115.23364471978141,
2022-10-12 15:30:30,115.23364471978141,
2022-10-12 23:59:59,100.85033648194474,c
2022-10-13 00:00:00,100.85033648194474,
2022-10-13 10:00:00,97.15722718357068,
2022-10-13 10:30:00,100.67536017165071,
2022-10-13 12:00:00,116.10501121360056,
2022-10-13 13:30:00,108.30288495138956,
2022-10-13 15:00:00,108.24198417822112,
2022-10-13 15:30:30,108.24198417822112,
2022-10-13 23:59:59,107.76286619856864,c
2022-10-14 00:00:00,107.76286619856864,
2022-10-14 10:00:00,102.44545966935908,
2022-10-14 10:30:00,103.09895953838122,
2022-10-14 12:00:00,105.40221010320994,
2022-10-14 13:30:00,107.74639236824584,
2022-10-14 15:00:00,113.3023997169546,
2022-10-14 15:30:30,113.3023997169546,
2022-10-14 23:59:59,112.44754434944832,w
