date,US_MISC_2021_Q3,meta
2021-08-20 00:00:00,-324.53272062662586,
2021-08-20 10:00:00,-297.08657574326025,
2021-08-20 10:30:00,-299.17887074938835,
2021-08-20 12:00:00,-324.1742599605866,
2021-08-20 13:30:00,-317.6249757427561,
2021-08-20 15:00:00,-320.6018147710163,
2021-08-20 15:30:30,-320.6018147710163,
2021-08-20 23:59:59,-316.4431615892586,w
2021-08-23 00:00:00,-302.34057532850966,
2021-08-23 10:00:00,-293.98482458940134,
2021-08-23 10:30:00,-299.75278212097214,
2021-08-23 12:00:00,-288.1904614483201,
2021-08-23 13:30:00,-271.0667589315219,
2021-08-23 15:00:00,-267.88342127689407,
2021-08-23 15:30:30,-267.88342127689407,
2021-08-23 23:59:59,-265.06016250159905,c
2021-08-24 00:00:00,-252.52748200497172,
2021-08-24 10:00:00,-215.79829465684747,
2021-08-24 10:30:00,-208.68716579927695,
2021-08-24 12:00:00,-213.05848226572084,
2021-08-24 13:30:00,-203.41287730163958,
2021-08-24 15:00:00,-200.1091843539548,
2021-08-24 15:30:30,-200.1091843539548,
2021-08-24 23:59:59,-196.3289146958616,c
2021-08-25 00:00:00,-193.49893115210693,
2021-08-25 10:00:00,-190.90972574678426,
2021-08-25 10:30:00,-194.62482981361245,
2021-08-25 12:00:00,-192.88576576779292,
2021-08-25 13:30:00,-184.09727260199497,
2021-08-25 15:00:00,-190.33996080300358,
2021-08-25 15:30:30,-190.33996080300358,
2021-08-25 23:59:59,-193.25257673077635,c
2021-08-26 00:00:00,-199.68433105560894,
2021-08-26 10:00:00,-186.73403595967125,
2021-08-26 10:30:00,-189.66396945948895,
2021-08-26 12:00:00,-184.84187666404273,
2021-08-26 13:30:00,-188.92234170827942,
2021-08-26 15:00:00,-195.22577166359724,
2021-08-26 15:30:30,-195.22577166359724,
2021-08-26 23:59:59,-187.2265376041246,c
2021-08-27 00:00:00,-196.05096680848942,
2021-08-27 10:00:00,-196.197688424533,
2021-08-27 10:30:00,-200.80875394627242,
2021-08-27 12:00:00,-191.75054504444392,
2021-08-27 13:30:00,-192.6850792975547,
2021-08-27 15:00:00,-186.62989543783283,
2021-08-27 15:30:30,-186.62989543783283,
2021-08-27 23:59:59,-187.8512864520003,w
2021-08-30 00:00:00,-171.05398264205996,
2021-08-30 10:00:00,-183.47997516145665,
2021-08-30 10:30:00,-179.22429374840613,
2021-08-30 12:00:00,-164.25533413647122,
2021-08-30 13:30:00,-150.20656957361143,
2021-08-30 15:00:00,-156.55174787918827,
2021-08-30 15:30:30,-156.55174787918827,
2021-08-30 23:59:59,-164.4194093423364,c
2021-08-31 00:00:00,-153.72100732379886,
2021-08-31 10:00:00,-154.73420313725933,
2021-08-31 10:30:00,-161.464544249578,
2021-08-31 12:00:00,-159.02873881983487,
2021-08-31 13:30:00,-149.29467080521,
2021-08-31 15:00:00,-141.192486610081,
2021-08-31 15:30:30,-141.192486610081,s
2021-08-31 23:59:59,-145.69837516060397,c
2021-09-01 00:00:00,-141.16036814074687,
2021-09-01 10:00:00,-147.03708388259338,
