date,AS_BATT_2022_Q2,meta
2022-05-19 20:00:00,363.5523599649138,
2022-05-19 23:00:00,525.5908667127125,
2022-05-19 23:59:59,513.7432749072672,c
2022-05-20 00:00:00,531.824566522372,
2022-05-20 01:00:00,514.7038454457813,
2022-05-20 02:30:00,514.7038454457813,
2022-05-20 03:00:00,514.7038454457813,
2022-05-20 18:30:00,514.7038454457813,
2022-05-20 20:00:00,514.7038454457813,
2022-05-20 23:00:00,514.7038454457813,
2022-05-20 23:59:59,417.93020960427174,e
2022-05-23 00:00:00,362.4980113688941,
2022-05-23 01:00:00,371.51984010969596,
2022-05-23 02:30:00,371.51984010969596,
2022-05-23 03:00:00,371.51984010969596,
2022-05-23 18:30:00,371.51984010969596,
2022-05-23 20:00:00,371.51984010969596,
2022-05-23 23:00:00,381.9383981357655,
2022-05-23 23:59:59,364.90560903217477,c
2022-05-24 00:00:00,361.4596446801009,
2022-05-24 01:00:00,375.8839932391349,
2022-05-24 02:30:00,375.8839932391349,
2022-05-24 03:00:00,375.8839932391349,
2022-05-24 18:30:00,375.8839932391349,
2022-05-24 20:00:00,375.8839932391349,
2022-05-24 23:00:00,392.881388621529,
2022-05-24 23:59:59,376.6892500951681,c
2022-05-25 00:00:00,366.3159397709321,
2022-05-25 01:00:00,362.4884866853323,
2022-05-25 02:30:00,362.4884866853323,
2022-05-25 03:00:00,362.4884866853323,
2022-05-25 18:30:00,362.4884866853323,
2022-05-25 20:00:00,362.4884866853323,
2022-05-25 23:00:00,406.69776843075743,
2022-05-25 23:59:59,389.12557573402967,c
2022-05-26 00:00:00,389.89959584640206,
2022-05-26 01:00:00,388.7740029566983,
2022-05-26 02:30:00,388.7740029566983,
2022-05-26 03:00:00,388.7740029566983,
2022-05-26 18:30:00,388.7740029566983,
2022-05-26 20:00:00,388.7740029566983,
2022-05-26 23:00:00,409.15256305542,
2022-05-26 23:59:59,418.23318580839646,c
2022-05-27 00:00:00,415.2351026453975,
2022-05-27 01:00:00,416.0733630131522,
2022-05-27 02:30:00,416.0733630131522,
2022-05-27 03:00:00,416.0733630131522,
2022-05-27 18:30:00,416.0733630131522,
2022-05-27 20:00:00,416.0733630131522,
2022-05-27 23:00:00,416.0733630131522,
2022-05-27 23:59:59,434.481394277535,w
2022-05-30 00:00:00,403.6195697260752,
2022-05-30 01:00:00,405.6750591408395,
2022-05-30 02:30:00,405.6750591408395,
2022-05-30 03:00:00,405.6750591408395,
2022-05-30 18:30:00,405.6750591408395,
2022-05-30 20:00:00,405.6750591408395,
2022-05-30 23:00:00,402.1128977780425,
2022-05-30 23:59:59,395.21274607549947,c
2022-05-31 00:00:00,396.60517171966137,
2022-05-31 01:00:00,385.87115956661404,
2022-05-31 02:30:00,385.87115956661404,
2022-05-31 03:00:00,385.87115956661404,
2022-05-31 18:30:00,385.87115956661404,
2022-05-31 20:00:00,385.87115956661404,
2022-05-31 23:00:00,285.5920318837189,
2022-05-31 23:59:59,273.1442753496532,c
2022-06-01 00:00:00,260.7976190123084,
2022-06-01 01:00:00,265.0253266787565,
2022-06-01 02:30:00,265.0253266787565,
2022-06-01 03:00:00,265.0253266787565,
2022-06-01 18:30:00,265.0253266787565,
2022-06-01 20:00:00,265.0253266787565,
2022-06-01 23:00:00,283.21980340245807,
2022-06-01 23:59:59,286.6802453838742,c
2022-06-02 00:00:00,263.71663773657633,
2022-06-02 01:00:00,270.69101909820466,
2022-06-02 02:30:00,270.69101909820466,
2022-06-02 03:00:00,270.69101909820466,
2022-06-02 18:30:00,270.69101909820466,
2022-06-02 20:00:00,270.69101909820466,
2022-06-02 23:00:00,158.67955421707282,
2022-06-02 23:59:59,139.63210756394986,c
2022-06-03 00:00:00,132.72352233210086,
2022-06-03 01:00:00,130.32587491085846,
2022-06-03 02:30:00,130.32587491085846,
2022-06-03 03:00:00,130.32587491085846,
2022-06-03 18:30:00,130.32587491085846,
2022-06-03 20:00:00,130.32587491085846,
2022-06-03 23:00:00,130.32587491085846,
2022-06-03 23:59:59,122.96098341993113,w
