date,AR1_AD_2019_Q2,meta
2019-04-26 00:00:00,-61.478898693660824,
2019-04-26 10:00:00,-58.55203689790841,
2019-04-26 10:30:00,-54.54501062072853,
2019-04-26 12:00:00,-45.7592085454919,
2019-04-26 13:30:00,-49.15996920780026,
2019-04-26 15:00:00,-54.93386206141486,
2019-04-26 15:30:30,-54.93386206141486,
2019-04-26 23:59:59,-55.24244713251818,w
2019-04-29 00:00:00,12.322525080466164,
2019-04-29 10:00:00,-62.940024567110015,
2019-04-29 10:30:00,-53.258609913333544,
2019-04-29 12:00:00,-38.18949357015396,
2019-04-29 13:30:00,-34.944389162040636,
2019-04-29 15:00:00,-22.078501575129224,
2019-04-29 15:30:30,-22.078501575129224,
2019-04-29 23:59:59,-17.88436536944755,c
2019-04-30 00:00:00,-137.03091806145585,
2019-04-30 10:00:00,-142.96383250566265,
2019-04-30 10:30:00,-163.3895388650185,
2019-04-30 12:00:00,-149.6592959620229,
2019-04-30 13:30:00,-174.00722860852346,
2019-04-30 15:00:00,-173.22855166885864,
2019-04-30 15:30:30,-173.22855166885864,
2019-04-30 23:59:59,-186.19303726945054,c
2019-05-01 00:00:00,-214.93602004976515,
2019-05-01 10:00:00,-308.4652348257021,
2019-05-01 10:30:00,-328.1906638070796,
2019-05-01 12:00:00,-319.4712082137768,
2019-05-01 13:30:00,-319.8168445802862,
2019-05-01 15:00:00,-302.3800509823559,
2019-05-01 15:30:30,-302.3800509823559,
2019-05-01 23:59:59,-293.42671211889456,c
2019-05-02 00:00:00,-296.80539831373676,
2019-05-02 10:00:00,-351.650856800724,
2019-05-02 10:30:00,-335.91157163801853,
2019-05-02 12:00:00,-364.8585244034837,
2019-05-02 13:30:00,-340.9614176235544,
2019-05-02 15:00:00,-320.6319963499158,
2019-05-02 15:30:30,-320.6319963499158,
2019-05-02 23:59:59,-310.7096937152887,c
2019-05-03 00:00:00,-335.4003689608635,
2019-05-03 10:00:00,-304.60058379547485,
2019-05-03 10:30:00,-274.9790551865708,
2019-05-03 12:00:00,-277.804606370524,
2019-05-03 13:30:00,-282.81503777638443,
2019-05-03 15:00:00,-294.07736747963645,
2019-05-03 15:30:30,-294.07736747963645,
2019-05-03 23:59:59,-274.7727989847394,w
2019-05-06 00:00:00,-305.9471495770754,
2019-05-06 10:00:00,-258.5670107841701,
2019-05-06 10:30:00,-239.50412984998283,
2019-05-06 12:00:00,-213.83905000825763,
2019-05-06 13:30:00,-244.96969531713128,
2019-05-06 15:00:00,-236.04445623310946,
2019-05-06 15:30:30,-236.04445623310946,
2019-05-06 23:59:59,-243.93895339482324,c
2019-05-07 00:00:00,-241.23071390339433,
2019-05-07 10:00:00,-212.8774191795338,
2019-05-07 10:30:00,-188.11726259622378,
2019-05-07 12:00:00,-189.77983172871652,
2019-05-07 13:30:00,-193.58711632812117,
2019-05-07 15:00:00,-202.02197964066892,
2019-05-07 15:30:30,-202.02197964066892,
2019-05-07 23:59:59,-199.10378178993523,c
2019-05-08 00:00:00,-183.7005478117278,
2019-05-08 10:00:00,-172.76165842837136,
2019-05-08 10:30:00,-173.15288473008954,
2019-05-08 12:00:00,-190.28678123436399,
2019-05-08 13:30:00,-173.79441014626306,
2019-05-08 15:00:00,-189.62410064411614,
2019-05-08 15:30:30,-189.62410064411614,
2019-05-08 23:59:59,-198.8450547963347,c
2019-05-09 00:00:00,-203.43076631554638,
2019-05-09 10:00:00,-199.86339309429,
2019-05-09 10:30:00,-214.08262741505632,
2019-05-09 12:00:00,-179.86427119701253,
2019-05-09 13:30:00,-212.481897200254,
