date,HUI_2021_Q4,meta
2021-11-19 00:00:00,-332.2694875297211,
2021-11-19 10:00:00,-325.2666924467767,
2021-11-19 10:30:00,-300.8253879616482,
2021-11-19 12:00:00,-241.47935590443512,
2021-11-19 13:30:00,-223.579754422316,
2021-11-19 15:00:00,-223.20151233295337,
2021-11-19 15:30:30,-223.20151233295337,
2021-11-19 23:59:59,-202.72099397727789,w
2021-11-22 00:00:00,-182.29964065806826,
2021-11-22 10:00:00,-258.8407688256025,
2021-11-22 10:30:00,-253.92000555220693,
2021-11-22 12:00:00,-222.5837381993797,
2021-11-22 13:30:00,-262.9228134221016,
2021-11-22 15:00:00,-235.73925444620727,
2021-11-22 15:30:30,-235.73925444620727,u
2021-11-22 23:59:59,-250.801160632117,c
2021-11-23 00:00:00,-177.3075736046285,
2021-11-23 10:00:00,-251.54591530821835,
2021-11-23 10:30:00,-195.41557218636763,
2021-11-23 12:00:00,-182.21287791167106,
2021-11-23 13:30:00,-192.5085544784779,
2021-11-23 15:00:00,-247.94861823321617,
2021-11-23 15:30:30,-247.94861823321617,
2021-11-23 23:59:59,-273.9790130455922,c
2021-11-24 00:00:00,-199.9380926152253,
2021-11-24 10:00:00,-210.39041077739603,
2021-11-24 10:30:00,-206.677388824849,
2021-11-24 12:00:00,-231.2526059144402,
2021-11-24 13:30:00,-209.01787069809689,
2021-11-24 15:00:00,-187.1945828718217,
2021-11-24 15:30:30,-187.1945828718217,
2021-11-24 23:59:59,-213.94154187988488,c
2021-11-25 00:00:00,-213.94154187988488,
2021-11-25 10:00:00,-213.94154187988488,
2021-11-25 10:30:00,-213.94154187988488,
2021-11-25 12:00:00,-213.94154187988488,
2021-11-25 13:30:00,-213.94154187988488,
2021-11-25 15:00:00,-213.94154187988488,
2021-11-25 15:30:30,-213.94154187988488,
2021-11-25 23:59:59,-213.94154187988488,c
2021-11-26 00:00:00,-239.4351875487937,
2021-11-26 10:00:00,-133.96322994434468,
2021-11-26 10:30:00,-110.97945693162364,
2021-11-26 12:00:00,-68.66763078302529,
2021-11-26 13:30:00,-68.66763078302529,
2021-11-26 15:00:00,-68.66763078302529,
2021-11-26 15:30:30,-68.66763078302529,
2021-11-26 23:59:59,-140.5143624564398,w
2021-11-29 00:00:00,-164.85429999026383,
2021-11-29 10:00:00,-134.3548136212412,
2021-11-29 10:30:00,-108.72087256534041,
2021-11-29 12:00:00,-129.43999631070983,
2021-11-29 13:30:00,-158.63166116559796,
2021-11-29 15:00:00,-111.63628027617688,
2021-11-29 15:30:30,-111.63628027617688,
2021-11-29 23:59:59,-171.7226865482935,c
2021-11-30 00:00:00,-300.70596276796095,
2021-11-30 10:00:00,-378.75208207368087,
2021-11-30 10:30:00,-399.1493128647253,
2021-11-30 12:00:00,-239.81096231914626,
2021-11-30 13:30:00,-276.4457692752635,
2021-11-30 15:00:00,-343.3637052928798,
2021-11-30 15:30:30,-343.3637052928798,m
2021-11-30 23:59:59,-357.58717545020863,c
2021-12-01 00:00:00,-530.8770128313445,
2021-12-01 10:00:00,-500.2666936064202,
2021-12-01 10:30:00,-512.1250439340834,
2021-12-01 12:00:00,-397.4304623789749,
2021-12-01 13:30:00,-363.1178924365927,
2021-12-01 15:00:00,-315.7067720312916,
2021-12-01 15:30:30,-315.7067720312916,
2021-12-01 23:59:59,-275.78470218958046,c
2021-12-02 00:00:00,-311.4508237043515,
2021-12-02 10:00:00,-283.30707713845413,
2021-12-02 10:30:00,-235.5143793874363,
2021-12-02 12:00:00,-198.2025228482853,
2021-12-02 13:30:00,-156.5589268577669,
2021-12-02 15:00:00,-189.61937069155874,
2021-12-02 15:30:30,-189.61937069155874,
