date,PAVE_2023_Q1,meta
2023-01-24 13:30:00,-197.68158624465616,
2023-01-24 15:00:00,-214.00781245152479,
2023-01-24 15:30:30,-214.00781245152479,
2023-01-24 23:59:59,0.0,a
2023-01-25 00:00:00,-17.135321835831903,
2023-01-25 10:00:00,-52.398707853444336,
2023-01-25 10:30:00,-70.90646426244768,
2023-01-25 12:00:00,-72.22141087250947,
2023-01-25 13:30:00,-87.12774712576899,
2023-01-25 15:00:00,-75.61752318239726,
2023-01-25 15:30:30,-75.61752318239726,
2023-01-25 23:59:59,-88.81412388862687,c
2023-01-26 00:00:00,-103.26814617080092,
2023-01-26 10:00:00,-234.92883512048968,
2023-01-26 10:30:00,-219.34571369260277,
2023-01-26 12:00:00,-203.56668833501652,
2023-01-26 13:30:00,-207.07806999823225,
2023-01-26 15:00:00,-249.31192884557788,
2023-01-26 15:30:30,-249.31192884557788,
2023-01-26 23:59:59,-262.8108505417313,c
2023-01-27 00:00:00,-259.49575734300254,
2023-01-27 10:00:00,-260.9081560803343,
2023-01-27 10:30:00,-254.31992383927667,
2023-01-27 12:00:00,-231.19769557616615,
2023-01-27 13:30:00,-221.64391922651504,
2023-01-27 15:00:00,-224.37834983393105,
2023-01-27 15:30:30,-224.37834983393105,
2023-01-27 23:59:59,-220.79414732555688,w
2023-01-30 00:00:00,-221.42117751593514,
2023-01-30 10:00:00,-206.18607719480156,
2023-01-30 10:30:00,-233.83162982068592,
2023-01-30 12:00:00,-246.3788834040924,
2023-01-30 13:30:00,-260.3299689471045,
2023-01-30 15:00:00,-263.357500599038,
2023-01-30 15:30:30,-263.357500599038,
2023-01-30 23:59:59,-260.1547218300717,c
2023-01-31 00:00:00,-380.4307521996434,
2023-01-31 10:00:00,-362.28123340920774,
2023-01-31 10:30:00,-356.8082479322242,
2023-01-31 12:00:00,-339.25951429239365,
2023-01-31 13:30:00,-344.83389983527167,
2023-01-31 15:00:00,-329.643307316919,
2023-01-31 15:30:30,-329.643307316919,
2023-01-31 23:59:59,-374.33056104207714,e
2023-02-01 00:00:00,-389.15515508955167,
2023-02-01 10:00:00,-362.84250166235165,
2023-02-01 10:30:00,-381.1561847870221,
2023-02-01 12:00:00,-380.4170569725075,
2023-02-01 13:30:00,-403.6482598861338,
2023-02-01 15:00:00,-406.0369782290255,
2023-02-01 15:30:30,-406.0369782290255,
