date,AS_MSCI_AS_DM_SC_2022_Q1,meta
2022-01-26 01:00:00,-252.4925503121276,
2022-01-26 02:30:00,-243.15668442779406,
2022-01-26 03:00:00,-250.61505388364276,
2022-01-26 18:30:00,-204.80806393179228,
2022-01-26 20:00:00,-263.86123050181504,
2022-01-26 23:00:00,-335.10819450230247,
2022-01-26 23:59:59,-332.4250275650029,c
2022-01-27 00:00:00,-339.4226690702035,
2022-01-27 01:00:00,-300.4871388032061,
2022-01-27 02:30:00,-323.58469415042146,
2022-01-27 03:00:00,-313.6251025339361,
2022-01-27 18:30:00,-322.1054961974587,
2022-01-27 20:00:00,-338.7665646016085,
2022-01-27 23:00:00,-296.538835129184,
2022-01-27 23:59:59,-279.76894642808475,c
2022-01-28 00:00:00,-292.8086502437782,
2022-01-28 01:00:00,-295.3139937962278,
2022-01-28 02:30:00,-258.6007994490974,
2022-01-28 03:00:00,-266.23463382345653,
2022-01-28 18:30:00,-266.23463382345653,
2022-01-28 20:00:00,-266.23463382345653,
2022-01-28 23:00:00,-266.23463382345653,
2022-01-28 23:59:59,-268.87173552649347,w
2022-01-31 00:00:00,-239.2581691538926,
2022-01-31 01:00:00,-239.54650975923687,
2022-01-31 02:30:00,-239.54650975923687,
2022-01-31 03:00:00,-239.54650975923687,
2022-01-31 18:30:00,-226.80463820457953,
2022-01-31 20:00:00,-213.13863725676765,
2022-01-31 23:00:00,-204.0458510693743,
2022-01-31 23:59:59,-207.12751809001566,c
2022-02-01 00:00:00,-197.5177657687027,
2022-02-01 01:00:00,-217.8994939695085,
2022-02-01 02:30:00,-217.8994939695085,
2022-02-01 03:00:00,-217.8994939695085,
2022-02-01 18:30:00,-220.98616483369824,
2022-02-01 20:00:00,-179.45466486305213,
2022-02-01 23:00:00,-219.55003312495865,
2022-02-01 23:59:59,-210.27316462072395,c
2022-02-02 00:00:00,-181.78382301327474,
2022-02-02 01:00:00,-180.86303410075016,
2022-02-02 02:30:00,-180.86303410075016,
2022-02-02 03:00:00,-180.86303410075016,
2022-02-02 18:30:00,-223.42791799878069,
2022-02-02 20:00:00,-219.1722809533876,
2022-02-02 23:00:00,-198.48919806066442,
2022-02-02 23:59:59,-208.31823884472033,c
2022-02-03 00:00:00,-198.77383210242988,
2022-02-03 01:00:00,-204.25891259293348,
2022-02-03 02:30:00,-206.53870991228632,
2022-02-03 03:00:00,-208.6767664442723,
2022-02-03 18:30:00,-184.44205004339528,
2022-02-03 20:00:00,-198.92775710852038,
2022-02-03 23:00:00,-205.6895929813827,
2022-02-03 23:59:59,-195.37587405686554,c
2022-02-04 00:00:00,-135.58790837375545,
2022-02-04 01:00:00,-149.86570965202554,
2022-02-04 02:30:00,-142.64552457563877,
2022-02-04 03:00:00,-160.1900822202624,
2022-02-04 18:30:00,-160.1900822202624,
2022-02-04 20:00:00,-160.1900822202624,
2022-02-04 23:00:00,-160.1900822202624,
2022-02-04 23:59:59,-165.36117762351932,w
2022-02-07 00:00:00,-228.1401335693172,
