date,EU_BEL20_2023_Q1,meta
2023-03-01 03:30:00,61.5554032896481,
2023-03-01 04:00:00,58.81463573237545,
2023-03-01 06:00:00,52.10423866062672,
2023-03-01 08:00:00,81.7057031991693,
2023-03-01 10:30:00,97.59642991381008,
2023-03-01 11:00:00,102.65651692841482,
2023-03-01 23:59:59,99.91374429651307,c
2023-03-02 00:00:00,73.52090220130117,
2023-03-02 03:30:00,54.85060529393127,
2023-03-02 04:00:00,59.065593123076724,
2023-03-02 06:00:00,-6.536113464415735,
2023-03-02 08:00:00,11.340847902430824,
2023-03-02 10:30:00,-18.771737559858025,
2023-03-02 11:00:00,-17.24946520756737,
2023-03-02 23:59:59,-16.43919494634929,c
2023-03-03 00:00:00,-30.932725266844386,
2023-03-03 03:30:00,4.214175508416702,
2023-03-03 04:00:00,-27.087490963866685,
2023-03-03 06:00:00,-16.002050845151985,
2023-03-03 08:00:00,-7.889961155463084,
2023-03-03 10:30:00,-33.88251469240947,
2023-03-03 11:00:00,-35.67454346322438,
2023-03-03 23:59:59,-46.16944221029496,w
2023-03-06 00:00:00,-35.98331964918941,
2023-03-06 03:30:00,-26.36702004693973,
2023-03-06 04:00:00,-49.79265496995333,
2023-03-06 06:00:00,-47.59558339003888,
2023-03-06 08:00:00,-56.109938639655525,
2023-03-06 10:30:00,-74.52828988333044,
2023-03-06 11:00:00,-74.58076068397395,
2023-03-06 23:59:59,-93.90276156058792,c
2023-03-07 00:00:00,-112.638461538456,
2023-03-07 03:30:00,-80.75304975437336,
2023-03-07 04:00:00,-74.44722210208954,
2023-03-07 06:00:00,-57.211924202155615,
2023-03-07 08:00:00,-56.522272802107295,
2023-03-07 10:30:00,-60.769600356221076,
2023-03-07 11:00:00,-59.55452930853039,
2023-03-07 23:59:59,-42.767957379176664,c
2023-03-08 00:00:00,-42.04590135293506,
2023-03-08 03:30:00,-43.225312144832515,
2023-03-08 04:00:00,-16.023011455403548,
2023-03-08 06:00:00,-20.45726093996666,
2023-03-08 08:00:00,-12.072924546224044,
2023-03-08 10:30:00,-1.3885753814342934,
2023-03-08 11:00:00,2.278575690514117,
2023-03-08 23:59:59,0.0,a
2023-03-09 00:00:00,-6.967973316848884,
2023-03-09 03:30:00,23.990846912127722,
2023-03-09 04:00:00,31.864916975599726,
2023-03-09 06:00:00,43.62443455602465,
2023-03-09 08:00:00,70.39720733503896,
2023-03-09 10:30:00,62.1939560702059,
2023-03-09 11:00:00,91.92248124910031,
2023-03-09 23:59:59,98.9508956586003,c
2023-03-10 00:00:00,98.9508956586003,
2023-03-10 03:30:00,98.9508956586003,
2023-03-10 04:00:00,98.9508956586003,
2023-03-10 06:00:00,98.9508956586003,
2023-03-10 08:00:00,98.9508956586003,
2023-03-10 10:30:00,98.9508956586003,
2023-03-10 11:00:00,98.9508956586003,
2023-03-10 23:59:59,98.9508956586003,w
2023-03-13 00:00:00,98.9508956586003,
