date,Q_ILLIQ_HEDGED_2021_Q4,meta
2021-11-18 23:59:59,-34.7704842006272,c
2021-11-19 00:00:00,-10.160628235691311,
2021-11-19 10:00:00,-15.263186747824097,
2021-11-19 10:30:00,-11.971441950162472,
2021-11-19 12:00:00,2.306267708285734,
2021-11-19 13:30:00,2.9469056963814673,
2021-11-19 15:00:00,20.900400262313266,
2021-11-19 15:30:30,20.900400262313266,
2021-11-19 23:59:59,12.370075138963738,w
2021-11-22 00:00:00,-0.7508602015343087,
2021-11-22 10:00:00,-18.928944266825123,
2021-11-22 10:30:00,-19.10152002326854,
2021-11-22 12:00:00,-44.6462587911245,
2021-11-22 13:30:00,-41.015847259913905,
2021-11-22 15:00:00,-29.955702120678442,
2021-11-22 15:30:30,-29.955702120678442,u
2021-11-22 23:59:59,-26.76404008858023,c
2021-11-23 00:00:00,-38.2136564732372,
2021-11-23 10:00:00,-47.00551128672559,
2021-11-23 10:30:00,-62.46653513239738,
2021-11-23 12:00:00,-80.74838826566304,
2021-11-23 13:30:00,-93.79041506353177,
2021-11-23 15:00:00,-105.37917525835584,
2021-11-23 15:30:30,-105.37917525835584,
2021-11-23 23:59:59,-103.31795607520877,c
2021-11-24 00:00:00,-102.631538750964,
2021-11-24 10:00:00,-124.11245306953614,
2021-11-24 10:30:00,-105.45673761672298,
2021-11-24 12:00:00,-82.25565418629637,
2021-11-24 13:30:00,-79.96757285475486,
2021-11-24 15:00:00,-78.59263153088231,
2021-11-24 15:30:30,-78.59263153088231,
2021-11-24 23:59:59,-76.27565331275058,c
2021-11-25 00:00:00,-76.27565331275058,
2021-11-25 10:00:00,-76.27565331275058,
2021-11-25 10:30:00,-76.27565331275058,
2021-11-25 12:00:00,-76.27565331275058,
2021-11-25 13:30:00,-76.27565331275058,
2021-11-25 15:00:00,-76.27565331275058,
2021-11-25 15:30:30,-76.27565331275058,
2021-11-25 23:59:59,-76.27565331275058,c
2021-11-26 00:00:00,-75.90385695237374,
2021-11-26 10:00:00,-35.088946539113074,
2021-11-26 10:30:00,-37.84688179948276,
2021-11-26 12:00:00,-38.05662028629406,
2021-11-26 13:30:00,-38.05662028629406,
2021-11-26 15:00:00,-38.05662028629406,
2021-11-26 15:30:30,-38.05662028629406,
2021-11-26 23:59:59,-30.493057911312917,w
2021-11-29 00:00:00,-37.02719017507276,
2021-11-29 10:00:00,-22.55225110969475,
2021-11-29 10:30:00,-16.55700898270288,
2021-11-29 12:00:00,-7.212565656313732,
2021-11-29 13:30:00,-4.758909632583556,
2021-11-29 15:00:00,2.0677311351449177,
2021-11-29 15:30:30,2.0677311351449177,
2021-11-29 23:59:59,-0.7386075597076669,c
2021-11-30 00:00:00,-2.444536184303093,
2021-11-30 10:00:00,18.221805748164616,
2021-11-30 10:30:00,21.511484609477254,
2021-11-30 12:00:00,6.332889144572995,
2021-11-30 13:30:00,13.12322503618972,
2021-11-30 15:00:00,19.602116533205756,
2021-11-30 15:30:30,19.602116533205756,m
2021-11-30 23:59:59,12.650725025679261,c
2021-12-01 00:00:00,11.13115966570923,
2021-12-01 10:00:00,13.211562026502005,
2021-12-01 10:30:00,4.4012849832713705,
2021-12-01 12:00:00,0.04591785315365371,
2021-12-01 13:30:00,-8.621721223807874,
2021-12-01 15:00:00,-3.934713907603605,
2021-12-01 15:30:30,-3.934713907603605,
2021-12-01 23:59:59,-4.324858276273648,c
2021-12-02 00:00:00,-22.917882551782686,
2021-12-02 10:00:00,-15.479714036674755,
2021-12-02 10:30:00,-28.33245817573936,
2021-12-02 12:00:00,-53.757297861597266,
2021-12-02 13:30:00,-43.67697107222499,
2021-12-02 15:00:00,-35.03680506070184,
2021-12-02 15:30:30,-35.03680506070184,
2021-12-02 23:59:59,-24.1592503741353,c
2021-12-03 00:00:00,-35.965540415268606,
2021-12-03 10:00:00,-56.53849977429893,
2021-12-03 10:30:00,-64.06963678206391,
2021-12-03 12:00:00,-81.62221198680624,
2021-12-03 13:30:00,-59.03962510755922,
2021-12-03 15:00:00,-47.68846156268762,
2021-12-03 15:30:30,-47.68846156268762,
2021-12-03 23:59:59,-46.672229861801654,w
2021-12-06 00:00:00,-62.508281566476626,
2021-12-06 10:00:00,-41.12010266935508,
2021-12-06 10:30:00,-15.829583790659989,
2021-12-06 12:00:00,-4.602216992480905,
2021-12-06 13:30:00,1.3470411329284033,
2021-12-06 15:00:00,2.86467291765236,
2021-12-06 15:30:30,2.86467291765236,
2021-12-06 23:59:59,-6.278715836140529,c
2021-12-07 00:00:00,-11.567966811416579,
2021-12-07 10:00:00,13.776983713572431,
2021-12-07 10:30:00,14.847519681372223,
2021-12-07 12:00:00,22.498182331167175,
2021-12-07 13:30:00,35.622527142460015,
2021-12-07 15:00:00,27.924993171764417,
2021-12-07 15:30:30,27.924993171764417,
2021-12-07 23:59:59,23.46671902936367,c
2021-12-08 00:00:00,18.894982017154003,
2021-12-08 10:00:00,29.34440757565765,
2021-12-08 10:30:00,44.502041995890394,
2021-12-08 12:00:00,40.86656309919982,
2021-12-08 13:30:00,37.38039002892259,
2021-12-08 15:00:00,30.98159138470093,
2021-12-08 15:30:30,30.98159138470093,
2021-12-08 23:59:59,29.96588076039853,c
2021-12-09 00:00:00,29.749872959176724,
2021-12-09 10:00:00,40.91310364886252,
2021-12-09 10:30:00,38.549700781775925,
2021-12-09 12:00:00,32.6347671639854,
2021-12-09 13:30:00,19.258372063261962,
2021-12-09 15:00:00,5.254369561171092,
2021-12-09 15:30:30,5.254369561171092,
2021-12-09 23:59:59,-5.238625907591576,c
2021-12-10 00:00:00,-21.48196296399453,
2021-12-10 10:00:00,-8.39648405110111,
2021-12-10 10:30:00,11.034732493911797,
2021-12-10 12:00:00,11.95696438569038,
2021-12-10 13:30:00,11.558993777310452,
2021-12-10 15:00:00,9.95516467455553,
2021-12-10 15:30:30,9.95516467455553,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,12.891280875897781,
2021-12-13 10:00:00,71.917511637659,
2021-12-13 10:30:00,52.8423139427145,
2021-12-13 12:00:00,26.5339404921807,
2021-12-13 13:30:00,15.683722442551502,
2021-12-13 15:00:00,17.637738017826475,
2021-12-13 15:30:30,17.637738017826475,
2021-12-13 23:59:59,20.09768626110731,c
2021-12-14 00:00:00,2.2878171326392156,
2021-12-14 10:00:00,-11.469168133686768,
2021-12-14 10:30:00,-20.938382578517018,
2021-12-14 12:00:00,-20.07782300012208,
2021-12-14 13:30:00,-39.132422671450875,
2021-12-14 15:00:00,-43.18956187713171,
2021-12-14 15:30:30,-43.18956187713171,
2021-12-14 23:59:59,-41.70859952580008,c
2021-12-15 00:00:00,-35.07891582494066,
2021-12-15 10:00:00,-9.099299691092538,
2021-12-15 10:30:00,-25.507474316511754,
2021-12-15 12:00:00,-22.063611939119625,
2021-12-15 13:30:00,-31.48649540025163,
2021-12-15 15:00:00,3.212866428709159,
2021-12-15 15:30:30,3.212866428709159,
2021-12-15 23:59:59,-7.142255083826905,c
2021-12-16 00:00:00,-10.645713743373133,
2021-12-16 10:00:00,34.88686880661784,
2021-12-16 10:30:00,18.503237653654562,
2021-12-16 12:00:00,-16.916862676790622,
2021-12-16 13:30:00,-34.94707376878716,
2021-12-16 15:00:00,-61.97087317618946,
2021-12-16 15:30:30,-61.97087317618946,
2021-12-16 23:59:59,-66.03903469313845,c
2021-12-17 00:00:00,-94.08882352661125,
2021-12-17 10:00:00,-97.99301510186531,
2021-12-17 10:30:00,-87.90502536447507,
2021-12-17 12:00:00,-80.57505499257508,
2021-12-17 13:30:00,-62.449287284686804,
2021-12-17 15:00:00,-70.64398160922877,
2021-12-17 15:30:30,-70.64398160922877,
2021-12-17 23:59:59,-109.1396044937153,e
2021-12-20 00:00:00,-107.90726476692208,
2021-12-20 10:00:00,-97.1967109162695,
2021-12-20 10:30:00,-99.96366988070436,
2021-12-20 12:00:00,-91.06071500882659,
2021-12-20 13:30:00,-92.9756402867238,
2021-12-20 15:00:00,-89.74240816001442,
2021-12-20 15:30:30,-89.74240816001442,
2021-12-20 23:59:59,-94.12409924133135,c
2021-12-21 00:00:00,-99.7677761867734,
2021-12-21 10:00:00,-111.15115784613954,
2021-12-21 10:30:00,-102.81646677287164,
2021-12-21 12:00:00,-100.74779225344618,
2021-12-21 13:30:00,-104.71357428658929,
2021-12-21 15:00:00,-103.83495807522873,
2021-12-21 15:30:30,-103.83495807522873,
2021-12-21 23:59:59,-109.37924451741306,c
2021-12-22 00:00:00,-99.5399184414066,
2021-12-22 10:00:00,-118.94114519164242,
2021-12-22 10:30:00,-119.18402839312223,
2021-12-22 12:00:00,-106.04004988447575,
2021-12-22 13:30:00,-109.77297245285402,
2021-12-22 15:00:00,-107.27697610702974,
2021-12-22 15:30:30,-107.27697610702974,
2021-12-22 23:59:59,-103.87223697898816,c
2021-12-23 00:00:00,-99.1204063886669,
2021-12-23 10:00:00,-100.36663011443916,
2021-12-23 10:30:00,-95.65670458463717,
2021-12-23 12:00:00,-93.75702849056813,
2021-12-23 13:30:00,-84.88454842428598,
2021-12-23 15:00:00,-88.85386179804068,
2021-12-23 15:30:30,-88.85386179804068,
2021-12-23 23:59:59,-85.3323078656058,c
2021-12-24 00:00:00,-85.3323078656058,
2021-12-24 10:00:00,-85.3323078656058,
2021-12-24 10:30:00,-85.3323078656058,
2021-12-24 12:00:00,-85.3323078656058,
2021-12-24 13:30:00,-85.3323078656058,
2021-12-24 15:00:00,-85.3323078656058,
2021-12-24 15:30:30,-85.3323078656058,
2021-12-24 23:59:59,-85.3323078656058,w
2021-12-27 00:00:00,-68.59962589930365,
2021-12-27 10:00:00,-85.4038403732322,
2021-12-27 10:30:00,-67.20430333280515,
2021-12-27 12:00:00,-65.47845037717812,
2021-12-27 13:30:00,-71.5672070283753,
2021-12-27 15:00:00,-71.63366216359526,
2021-12-27 15:30:30,-71.63366216359526,
2021-12-27 23:59:59,-70.97675370094552,c
2021-12-28 00:00:00,-69.4393257537755,
2021-12-28 10:00:00,-66.47509465858697,
2021-12-28 10:30:00,-71.05242198597382,
2021-12-28 12:00:00,-73.68988072128957,
2021-12-28 13:30:00,-72.89924276975191,
2021-12-28 15:00:00,-73.11213127929955,
2021-12-28 15:30:30,-73.11213127929955,
2021-12-28 23:59:59,-68.07742804533068,c
2021-12-29 00:00:00,-57.554639809028956,
2021-12-29 10:00:00,-83.23528235992013,
2021-12-29 10:30:00,-84.01793369494801,
2021-12-29 12:00:00,-80.14324726514025,
2021-12-29 13:30:00,-76.87464907996066,
2021-12-29 15:00:00,-74.3662271584661,
2021-12-29 15:30:30,-74.3662271584661,
2021-12-29 23:59:59,-75.00566489311903,c
2021-12-30 00:00:00,-67.86665497488302,
2021-12-30 10:00:00,-64.6732366963233,
2021-12-30 10:30:00,-63.88336613712373,
2021-12-30 12:00:00,-58.66985966055017,
2021-12-30 13:30:00,-52.554853246511044,
2021-12-30 15:00:00,-47.923898658780146,
2021-12-30 15:30:30,-47.923898658780146,
2021-12-30 23:59:59,-45.368614203172925,c
2021-12-31 00:00:00,-44.33411491747597,
2021-12-31 10:00:00,-38.14869559189023,
2021-12-31 10:30:00,-40.91072075326396,
2021-12-31 12:00:00,-38.722488751259064,
2021-12-31 13:30:00,-38.097888201859746,
2021-12-31 15:00:00,-36.98164617769782,
2021-12-31 15:30:30,-36.98164617769782,
2021-12-31 23:59:59,-34.07655646087939,w
