date,AS_GDX_2022_Q1,meta
2022-02-18 00:00:00,-165.92193588347527,
2022-02-18 01:00:00,-163.1472887595928,
2022-02-18 02:30:00,-151.074335352836,
2022-02-18 03:00:00,-160.95979972909572,
2022-02-18 18:30:00,-160.95979972909572,
2022-02-18 20:00:00,-160.95979972909572,
2022-02-18 23:00:00,-160.95979972909572,
2022-02-18 23:59:59,-169.61103001980518,w
2022-02-21 00:00:00,-130.6579121185341,
2022-02-21 01:00:00,-144.30453170717374,
2022-02-21 02:30:00,-122.34994190743873,
2022-02-21 03:00:00,-124.98967044794608,
2022-02-21 18:30:00,-89.9177479715654,
2022-02-21 20:00:00,-51.580724778643344,
2022-02-21 23:00:00,-127.55614126175715,
2022-02-21 23:59:59,-134.22500472242427,c
2022-02-22 00:00:00,-101.55783304425131,
2022-02-22 01:00:00,-91.05608990907876,
2022-02-22 02:30:00,-87.67272826416593,
2022-02-22 03:00:00,-82.69692443682925,
2022-02-22 18:30:00,-130.79528175659743,
2022-02-22 20:00:00,-104.9125857740346,
2022-02-22 23:00:00,-173.9680332815342,
2022-02-22 23:59:59,-194.8919425032791,c
2022-02-23 00:00:00,-197.64301929316844,
2022-02-23 01:00:00,-204.0896165675822,
2022-02-23 02:30:00,-218.19992718229332,
2022-02-23 03:00:00,-215.13107627509635,
2022-02-23 18:30:00,-152.22690966478694,
2022-02-23 20:00:00,-197.6938278124553,
2022-02-23 23:00:00,-89.4611940931145,
2022-02-23 23:59:59,-95.16179551818459,c
2022-02-24 00:00:00,-52.658695766413985,
2022-02-24 01:00:00,-29.083106922008483,
2022-02-24 02:30:00,-112.78740861265851,
2022-02-24 03:00:00,-84.71542910392054,
2022-02-24 18:30:00,-71.76562862388619,
2022-02-24 20:00:00,-115.99061475689359,
2022-02-24 23:00:00,-123.25526810712472,
2022-02-24 23:59:59,-130.78116983462223,c
2022-02-25 00:00:00,-187.0160039886223,
2022-02-25 01:00:00,-202.53736242231753,
2022-02-25 02:30:00,-218.91745339483987,
2022-02-25 03:00:00,-233.1568363084025,
2022-02-25 18:30:00,-233.1568363084025,
2022-02-25 20:00:00,-233.1568363084025,
2022-02-25 23:00:00,-233.1568363084025,
2022-02-25 23:59:59,-244.95687269804694,w
2022-02-28 00:00:00,-213.63566216256368,
2022-02-28 01:00:00,-154.66064166806973,
2022-02-28 02:30:00,-169.1622634323312,
2022-02-28 03:00:00,-153.08575847359407,
2022-02-28 18:30:00,-270.58230282637396,
2022-02-28 20:00:00,-228.52273038677777,
2022-02-28 23:00:00,-306.6735033390569,
2022-02-28 23:59:59,-291.85535655887907,c
2022-03-01 00:00:00,-324.41654770475,
2022-03-01 01:00:00,-323.5421419991126,
2022-03-01 02:30:00,-313.497423672854,
2022-03-01 03:00:00,-308.4543525596091,
2022-03-01 18:30:00,-339.71777722883144,
2022-03-01 20:00:00,-350.75814189626544,
2022-03-01 23:00:00,-194.2197430681972,
2022-03-01 23:59:59,-217.9450071558722,c
2022-03-02 00:00:00,-125.66223270217142,
2022-03-02 01:00:00,-168.6534201247896,
2022-03-02 02:30:00,-177.50031835926438,
2022-03-02 03:00:00,-166.02161309608982,
2022-03-02 18:30:00,-143.9092226194307,
2022-03-02 20:00:00,-108.26363376702648,
2022-03-02 23:00:00,-139.52210300421302,
2022-03-02 23:59:59,-168.79065252372857,c
2022-03-03 00:00:00,-144.72988713250106,
2022-03-03 01:00:00,-137.30617873612664,
2022-03-03 02:30:00,-151.3781931007179,
2022-03-03 03:00:00,-142.07122850930955,
2022-03-03 18:30:00,-155.16887315820532,
2022-03-03 20:00:00,-159.56777958001658,
2022-03-03 23:00:00,-179.41220017069008,
2022-03-03 23:59:59,-175.21536925887813,c
2022-03-04 00:00:00,-154.60212713975034,
2022-03-04 01:00:00,-151.53119424345914,
2022-03-04 02:30:00,-174.67248597670368,
2022-03-04 03:00:00,-161.890066438521,
2022-03-04 18:30:00,-161.890066438521,
2022-03-04 20:00:00,-161.890066438521,
2022-03-04 23:00:00,-161.890066438521,
2022-03-04 23:59:59,-172.58275927271734,w
2022-03-07 00:00:00,13.649494704587596,
2022-03-07 01:00:00,57.62672908086461,
2022-03-07 02:30:00,53.234818564794296,
2022-03-07 03:00:00,66.82989136480774,
2022-03-07 18:30:00,16.913405104504818,
2022-03-07 20:00:00,-48.11455122937605,
2022-03-07 23:00:00,-170.34078446357307,
2022-03-07 23:59:59,-183.14900681315703,c
2022-03-08 00:00:00,-145.97208521202174,
2022-03-08 01:00:00,-92.57400344090547,
2022-03-08 02:30:00,-101.86290828886195,
2022-03-08 03:00:00,-96.48254445702787,
2022-03-08 18:30:00,-154.73514938373137,
2022-03-08 20:00:00,-127.13001356052064,
2022-03-08 23:00:00,-83.15765806786203,
2022-03-08 23:59:59,-87.03751076228127,c
2022-03-09 00:00:00,-42.14974774530492,
2022-03-09 01:00:00,-80.88821956054835,
2022-03-09 02:30:00,-32.72545617981814,
