date,EU_SDIV_2022_Q1,meta
2022-02-07 00:00:00,-419.64067977044346,
2022-02-07 03:30:00,-414.36159772064525,
2022-02-07 04:00:00,-409.2015646071898,
2022-02-07 06:00:00,-409.82852078227893,
2022-02-07 08:00:00,-377.22101092846174,
2022-02-07 10:30:00,-359.7839806610291,
2022-02-07 11:00:00,-351.38500822563924,
2022-02-07 23:59:59,-386.4337519827308,c
2022-02-08 00:00:00,-354.1870124804244,
2022-02-08 03:30:00,-301.0541446497453,
2022-02-08 04:00:00,-287.1043357436564,
2022-02-08 06:00:00,-314.9738528996602,
2022-02-08 08:00:00,-325.0384658704587,
2022-02-08 10:30:00,-371.3081337761257,
2022-02-08 11:00:00,-397.1619422698136,
2022-02-08 23:59:59,-402.1009207429263,c
2022-02-09 00:00:00,-367.79101320105246,
2022-02-09 03:30:00,-384.8950473738498,
2022-02-09 04:00:00,-403.297774216657,
2022-02-09 06:00:00,-333.25789005518266,
2022-02-09 08:00:00,-312.09465858773103,
2022-02-09 10:30:00,-289.13316877377144,
2022-02-09 11:00:00,-270.74452135824816,
2022-02-09 23:59:59,-265.43844894666495,c
2022-02-10 00:00:00,-135.24264776276596,
2022-02-10 03:30:00,-91.12347528166453,
2022-02-10 04:00:00,-49.4990957181588,
2022-02-10 06:00:00,-43.951990488832394,
2022-02-10 08:00:00,-37.2051173624771,
2022-02-10 10:30:00,-34.387498592907605,
2022-02-10 11:00:00,-32.46718845089896,
2022-02-10 23:59:59,-16.803961177269002,c
2022-02-11 00:00:00,-16.803961177269002,
2022-02-11 03:30:00,-16.803961177269002,
2022-02-11 04:00:00,-16.803961177269002,
2022-02-11 06:00:00,-16.803961177269002,
2022-02-11 08:00:00,-16.803961177269002,
2022-02-11 10:30:00,-16.803961177269002,
2022-02-11 11:00:00,-16.803961177269002,
2022-02-11 23:59:59,-16.803961177269002,w
2022-02-14 00:00:00,-35.49606356455246,
2022-02-14 03:30:00,-138.4407927819795,
2022-02-14 04:00:00,-124.55866654318669,
2022-02-14 06:00:00,-77.35494837869959,
2022-02-14 08:00:00,-46.96064949226218,
2022-02-14 10:30:00,-38.16281945044244,
2022-02-14 11:00:00,-50.75722786429071,
2022-02-14 23:59:59,-90.0893271359189,c
2022-02-15 00:00:00,-72.79126902185072,
2022-02-15 03:30:00,-110.82549466988678,
2022-02-15 04:00:00,-66.42787391101257,
2022-02-15 06:00:00,-35.973775186950036,
2022-02-15 08:00:00,-49.74165505876499,
2022-02-15 10:30:00,-8.374148282521787,
2022-02-15 11:00:00,-12.425875380622813,
2022-02-15 23:59:59,-11.284530107520936,c
2022-02-16 00:00:00,6.777621596215795,
2022-02-16 03:30:00,19.138766022100867,
2022-02-16 04:00:00,42.24728398367495,
2022-02-16 06:00:00,65.32118687052821,
2022-02-16 08:00:00,71.16875349325221,
2022-02-16 10:30:00,108.53027866863431,
2022-02-16 11:00:00,107.10197265334341,
2022-02-16 23:59:59,79.40624900598664,c
2022-02-17 00:00:00,60.36735369460405,
2022-02-17 03:30:00,59.43729465423144,
2022-02-17 04:00:00,68.699029729426,
2022-02-17 06:00:00,163.83386560370548,
2022-02-17 08:00:00,176.40617404415457,
2022-02-17 10:30:00,196.5200939975091,
2022-02-17 11:00:00,187.10812115576925,
2022-02-17 23:59:59,185.23542989470616,c
2022-02-18 00:00:00,155.18890611741756,
2022-02-18 03:30:00,153.60005942415455,
2022-02-18 04:00:00,130.8632374570377,
2022-02-18 06:00:00,146.47827876535314,
2022-02-18 08:00:00,153.49233213591606,
2022-02-18 10:30:00,159.0879010180132,
2022-02-18 11:00:00,157.47784996827318,
2022-02-18 23:59:59,155.77467907966104,w
2022-02-21 00:00:00,59.0165451321044,
2022-02-21 03:30:00,66.36884805044167,
2022-02-21 04:00:00,58.33911846227511,
2022-02-21 06:00:00,32.02733805365551,
2022-02-21 08:00:00,7.295759256077417,
2022-02-21 10:30:00,-20.35313715661448,
2022-02-21 11:00:00,-25.193260777869455,
2022-02-21 23:59:59,0.0,a
2022-02-22 00:00:00,-15.375035355114278,
2022-02-22 03:30:00,-10.157699878514563,
2022-02-22 04:00:00,37.90707992521277,
2022-02-22 06:00:00,43.24580228838545,
2022-02-22 08:00:00,67.6401415373474,
2022-02-22 10:30:00,58.780582493413704,
2022-02-22 11:00:00,60.701290692335306,
2022-02-22 23:59:59,69.85854076723285,c
2022-02-23 00:00:00,45.4914960227519,
2022-02-23 03:30:00,82.59183489809391,
2022-02-23 04:00:00,91.34974487720797,
2022-02-23 06:00:00,87.99897224239407,
2022-02-23 08:00:00,84.40284822395768,
2022-02-23 10:30:00,124.43037596316526,
2022-02-23 11:00:00,118.19429869498128,
2022-02-23 23:59:59,129.93227245615185,c
2022-02-24 00:00:00,21.994221022171928,
2022-02-24 03:30:00,115.79770642077528,
2022-02-24 04:00:00,-33.142183469727286,
2022-02-24 06:00:00,79.03288770789607,
2022-02-24 08:00:00,7.932177890094067,
2022-02-24 10:30:00,-13.535956598967516,
2022-02-24 11:00:00,-27.298360725330724,
2022-02-24 23:59:59,-40.48940169866859,c
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
0,-40.48940169866859,
2022-02-25 00:00:00,47.301528151826574,
2022-02-25 03:30:00,-25.33886643776458,
2022-02-25 04:00:00,-50.25402885513455,
2022-02-25 06:00:00,-68.29271009090542,
2022-02-25 08:00:00,-42.063131191575394,
2022-02-25 10:30:00,-22.764873019998333,
2022-02-25 11:00:00,-21.839886722068798,
2022-02-25 23:59:59,-25.50552739538756,w
2022-02-28 00:00:00,48.2160561674234,
2022-02-28 03:30:00,32.91455015680947,
2022-02-28 04:00:00,19.485347344667957,
2022-02-28 06:00:00,60.209492867941776,
2022-02-28 08:00:00,90.66027015172676,
2022-02-28 10:30:00,84.36031135695077,
2022-02-28 11:00:00,68.79985625000324,
2022-02-28 23:59:59,53.56758261820869,c
2022-03-01 00:00:00,139.69640597649254,
2022-03-01 03:30:00,184.9126134271778,
2022-03-01 04:00:00,219.1543938251076,
2022-03-01 06:00:00,148.71645432367927,
2022-03-01 08:00:00,133.7576431242884,
2022-03-01 10:30:00,88.14092525509557,
2022-03-01 11:00:00,75.386920343464,
2022-03-01 23:59:59,94.33459336228339,c
2022-03-02 00:00:00,172.29078452981628,
2022-03-02 03:30:00,158.938155498048,
2022-03-02 04:00:00,221.81990883211745,
2022-03-02 06:00:00,260.7731163463719,
2022-03-02 08:00:00,228.93600409012765,
2022-03-02 10:30:00,191.6705834149144,
2022-03-02 11:00:00,190.61070695452622,
2022-03-02 23:59:59,176.9104036007369,c
2022-03-03 00:00:00,238.25111048784163,
2022-03-03 03:30:00,169.57501384878196,
2022-03-03 04:00:00,164.0022788465585,
2022-03-03 06:00:00,247.80211277550097,
2022-03-03 08:00:00,149.71137857331144,
2022-03-03 10:30:00,38.83833293502482,
2022-03-03 11:00:00,21.245456941025395,
2022-03-03 23:59:59,38.90151489840218,c
2022-03-04 00:00:00,-15.124935229564642,
2022-03-04 03:30:00,-25.64185614408973,
2022-03-04 04:00:00,-65.946098361466,
2022-03-04 06:00:00,-24.559543597030256,
2022-03-04 08:00:00,-71.36232295418012,
2022-03-04 10:30:00,-20.798080435426186,
2022-03-04 11:00:00,-11.829548790420176,
2022-03-04 23:59:59,0.3629307263083774,w
2022-03-07 00:00:00,-57.99445006476083,
2022-03-07 03:30:00,-49.36448517519807,
2022-03-07 04:00:00,-28.889006037684055,
2022-03-07 06:00:00,-125.07868013392493,
2022-03-07 08:00:00,-104.03211773711331,
2022-03-07 10:30:00,-107.79935323037654,
2022-03-07 11:00:00,-110.61297137330774,
2022-03-07 23:59:59,-87.28500377291942,e
2022-03-08 00:00:00,-105.11865480618206,
2022-03-08 03:30:00,-20.08616567071965,
2022-03-08 04:00:00,-19.45233968580203,
2022-03-08 06:00:00,30.638955633574938,
2022-03-08 08:00:00,47.81069067999522,
2022-03-08 10:30:00,83.96448357972838,
2022-03-08 11:00:00,69.98344145077806,
2022-03-08 23:59:59,86.48514001491503,c
2022-03-09 00:00:00,103.91607378574781,
2022-03-09 03:30:00,77.66299135410793,
2022-03-09 04:00:00,99.45517180123272,
