date,EU_FTSEUK_MCX_2022_Q3,meta
2022-08-10 00:00:00,-731.5118409148085,
2022-08-10 03:30:00,-729.741924449932,
2022-08-10 04:00:00,-755.6689634659178,
2022-08-10 06:00:00,-805.7513482619388,
2022-08-10 08:00:00,-793.6064463794014,
2022-08-10 10:30:00,-904.7830103665347,
2022-08-10 11:00:00,-912.1257498328328,
2022-08-10 23:59:59,-886.6593780876451,c
2022-08-11 00:00:00,-925.5730749975801,
2022-08-11 03:30:00,-927.595580624748,
2022-08-11 04:00:00,-915.55095337784,
2022-08-11 06:00:00,-893.027320193853,
2022-08-11 08:00:00,-910.7164921555918,
2022-08-11 10:30:00,-896.3424607035481,
2022-08-11 11:00:00,-924.9223635332787,
2022-08-11 23:59:59,-919.3734115789362,c
2022-08-12 00:00:00,-866.9660783180198,
2022-08-12 03:30:00,-858.9483039661513,
2022-08-12 04:00:00,-907.2466515820756,
2022-08-12 06:00:00,-945.0785881750671,
2022-08-12 08:00:00,-916.0346558505989,
2022-08-12 10:30:00,-910.1582600666598,
2022-08-12 11:00:00,-935.4629003345476,
2022-08-12 23:59:59,-948.7408368563738,w
2022-08-15 00:00:00,-903.5171489478307,
2022-08-15 03:30:00,-924.5080157457583,
2022-08-15 04:00:00,-913.2706385862093,
2022-08-15 06:00:00,-912.3109265088165,
2022-08-15 08:00:00,-888.6552429088424,
2022-08-15 10:30:00,-860.6029099776633,
2022-08-15 11:00:00,-861.9823541742367,
2022-08-15 23:59:59,-874.4171159868934,c
2022-08-16 00:00:00,-867.3388453085831,
2022-08-16 03:30:00,-853.9997644717218,
2022-08-16 04:00:00,-846.6500719309252,
2022-08-16 06:00:00,-877.1667345957453,
2022-08-16 08:00:00,-869.243257841516,
2022-08-16 10:30:00,-815.175602042284,
2022-08-16 11:00:00,-841.876318543128,
2022-08-16 23:59:59,-841.1500990156719,c
2022-08-17 00:00:00,-854.9891277116731,
2022-08-17 03:30:00,-839.8729226929077,
2022-08-17 04:00:00,-855.4451974895369,
2022-08-17 06:00:00,-804.6082119116763,
2022-08-17 08:00:00,-785.6928059648772,
2022-08-17 10:30:00,-748.7046518709053,
2022-08-17 11:00:00,-726.2490686824231,
2022-08-17 23:59:59,-712.2604639812585,c
2022-08-18 00:00:00,-666.9830140221952,
2022-08-18 03:30:00,-663.6347053533327,
2022-08-18 04:00:00,-691.6619750211466,
2022-08-18 06:00:00,-689.1494414998438,
2022-08-18 08:00:00,-669.0626868299332,
2022-08-18 10:30:00,-677.4894528797286,
2022-08-18 11:00:00,-691.7795009907927,
2022-08-18 23:59:59,-722.8600202431953,c
2022-08-19 00:00:00,-700.6371230525124,
2022-08-19 03:30:00,-668.7737066225527,
2022-08-19 04:00:00,-669.6630590177788,
2022-08-19 06:00:00,-691.3128915482448,
2022-08-19 08:00:00,-684.8877536496211,
2022-08-19 10:30:00,-632.5223046243427,
2022-08-19 11:00:00,-630.3399434806483,
2022-08-19 23:59:59,-605.3111233862046,w
2022-08-22 00:00:00,-544.6497098260274,
2022-08-22 03:30:00,-401.3452060248469,
2022-08-22 04:00:00,-414.0217230103208,
2022-08-22 06:00:00,-376.32974454702344,
2022-08-22 08:00:00,-371.180168335512,
2022-08-22 10:30:00,-355.9268016727751,
2022-08-22 11:00:00,-359.5791325829773,
2022-08-22 23:59:59,-402.772599091923,c
2022-08-23 00:00:00,-363.71065807295736,
2022-08-23 03:30:00,-356.90113594634613,
2022-08-23 04:00:00,-341.1069170057258,
2022-08-23 06:00:00,-381.39186395974275,
2022-08-23 08:00:00,-341.92841783187214,
2022-08-23 10:30:00,-336.6836353278122,
2022-08-23 11:00:00,-314.4901493793882,
2022-08-23 23:59:59,-332.67657489894054,c
2022-08-24 00:00:00,-275.3856037456694,
2022-08-24 03:30:00,-284.6299419858824,
2022-08-24 04:00:00,-270.5209987038388,
2022-08-24 06:00:00,-235.0189526750596,
2022-08-24 08:00:00,-237.82765834736392,
2022-08-24 10:30:00,-232.2455876855629,
2022-08-24 11:00:00,-239.80295126907413,
2022-08-24 23:59:59,-275.4255820826734,c
2022-08-25 00:00:00,-233.90914970292852,
2022-08-25 03:30:00,-249.97131604677406,
2022-08-25 04:00:00,-225.63104430461863,
2022-08-25 06:00:00,-219.2439808426434,
2022-08-25 08:00:00,-245.6393441457153,
2022-08-25 10:30:00,-226.18477824184538,
2022-08-25 11:00:00,-224.75188178329608,
2022-08-25 23:59:59,-215.12806319240417,c
2022-08-26 00:00:00,-193.7077086700806,
2022-08-26 03:30:00,-194.4832052114698,
2022-08-26 04:00:00,-199.49602874451148,
2022-08-26 06:00:00,-192.06883352626392,
2022-08-26 08:00:00,-196.4427321443768,
2022-08-26 10:30:00,-156.56142386950296,
2022-08-26 11:00:00,-163.9453126983567,
2022-08-26 23:59:59,-188.9100992597555,w
2022-08-29 00:00:00,-188.9100992597555,
2022-08-29 03:30:00,-188.9100992597555,
2022-08-29 04:00:00,-188.9100992597555,
2022-08-29 06:00:00,-188.9100992597555,
2022-08-29 08:00:00,-188.9100992597555,
2022-08-29 10:30:00,-188.9100992597555,
2022-08-29 11:00:00,-188.9100992597555,
2022-08-29 23:59:59,-188.9100992597555,c
2022-08-30 00:00:00,-183.31033049167036,
2022-08-30 03:30:00,-195.07526527921573,
2022-08-30 04:00:00,-213.0278008488349,
2022-08-30 06:00:00,-223.85761243927345,
2022-08-30 08:00:00,-230.2826641765796,
2022-08-30 10:30:00,-116.66740167060925,
2022-08-30 11:00:00,-128.78074259355253,
2022-08-30 23:59:59,-125.62262415921487,c
2022-08-31 00:00:00,-94.49852723045251,
2022-08-31 03:30:00,-89.55214131278171,
2022-08-31 04:00:00,-46.07834116226559,
2022-08-31 06:00:00,-0.3303456104804354,
2022-08-31 08:00:00,-19.31369933942824,
2022-08-31 10:30:00,7.63129142300204,
2022-08-31 11:00:00,-1.009809436145133,
2022-08-31 23:59:59,0.0,a
2022-09-01 00:00:00,21.918221205181908,
2022-09-01 03:30:00,8.225879898202493,
2022-09-01 04:00:00,10.554865483258709,
2022-09-01 06:00:00,24.617664827664612,
2022-09-01 08:00:00,32.12212191765684,
2022-09-01 10:30:00,-2.9261788378130404,
2022-09-01 11:00:00,2.3234993314149506,
2022-09-01 23:59:59,10.660695476738965,c
2022-09-02 00:00:00,13.051021345299432,
2022-09-02 03:30:00,-3.866179572715282,
2022-09-02 04:00:00,-0.38232827790216106,
2022-09-02 06:00:00,0.5425083619234101,
2022-09-02 08:00:00,20.85554134165477,
2022-09-02 10:30:00,-5.30977023453579,
2022-09-02 11:00:00,-6.977975828710441,
2022-09-02 23:59:59,-32.34756833407164,w
2022-09-05 00:00:00,20.101928191081697,
2022-09-05 03:30:00,59.362073497717574,
2022-09-05 04:00:00,103.6494328088852,
2022-09-05 06:00:00,102.86138254323669,
2022-09-05 08:00:00,86.00714203673351,
2022-09-05 10:30:00,21.404056682493774,
2022-09-05 11:00:00,16.063110956167293,
2022-09-05 23:59:59,11.52558885629287,c
2022-09-06 00:00:00,37.468132530936145,
2022-09-06 03:30:00,-5.922736456372149,
2022-09-06 04:00:00,-3.127932091654202,
2022-09-06 06:00:00,-2.545429845094077,
2022-09-06 08:00:00,18.493839200707043,
2022-09-06 10:30:00,49.39337743575061,
2022-09-06 11:00:00,23.41762926125557,
2022-09-06 23:59:59,-13.114515384662354,c
2022-09-07 00:00:00,-12.941362527303681,
2022-09-07 03:30:00,6.930511574740649,
2022-09-07 04:00:00,10.608784791433209,
2022-09-07 06:00:00,-0.843103852472268,
2022-09-07 08:00:00,14.891374248437387,
2022-09-07 10:30:00,-29.12227715582776,
