date,XMLV_2022_Q2,meta
2022-04-15 00:00:00,240.35940429895274,
2022-04-15 10:00:00,240.35940429895274,
2022-04-15 10:30:00,240.35940429895274,
2022-04-15 12:00:00,240.35940429895274,
2022-04-15 13:30:00,240.35940429895274,
2022-04-15 15:00:00,240.35940429895274,
2022-04-15 15:30:30,240.35940429895274,
2022-04-15 23:59:59,240.35940429895274,w
2022-04-18 00:00:00,240.35940429895274,
2022-04-18 10:00:00,258.82076533991375,
2022-04-18 10:30:00,256.30519669937513,
2022-04-18 12:00:00,265.7717905913675,
2022-04-18 13:30:00,272.9254172970789,
2022-04-18 15:00:00,283.0766244525242,
2022-04-18 15:30:30,283.0766244525242,
2022-04-18 23:59:59,280.29772613752374,c
2022-04-19 00:00:00,266.8917134178426,
2022-04-19 10:00:00,279.5964103775242,
2022-04-19 10:30:00,284.03100291909146,
2022-04-19 12:00:00,286.6173304890651,
2022-04-19 13:30:00,283.2774932545092,
2022-04-19 15:00:00,293.086277047558,
2022-04-19 15:30:30,293.086277047558,
2022-04-19 23:59:59,302.33334136869206,c
2022-04-20 00:00:00,300.65699810991,
2022-04-20 10:00:00,314.99253056323124,
2022-04-20 10:30:00,319.1650243723422,
2022-04-20 12:00:00,311.97460907302974,
2022-04-20 13:30:00,305.205171250195,
2022-04-20 15:00:00,303.05085029060854,
2022-04-20 15:30:30,303.05085029060854,
2022-04-20 23:59:59,302.95138985207785,c
2022-04-21 00:00:00,303.367047086402,
2022-04-21 10:00:00,307.16753839830756,
2022-04-21 10:30:00,313.5570642675087,
2022-04-21 12:00:00,294.4298525513879,
2022-04-21 13:30:00,284.5940382888546,
2022-04-21 15:00:00,264.2674930516265,
2022-04-21 15:30:30,264.2674930516265,
2022-04-21 23:59:59,264.45465360859805,c
2022-04-22 00:00:00,304.8347639267743,
2022-04-22 10:00:00,264.99888865227695,
2022-04-22 10:30:00,269.389849813712,
2022-04-22 12:00:00,259.9430144776877,
2022-04-22 13:30:00,269.1646336070485,
2022-04-22 15:00:00,266.7629351514732,
2022-04-22 15:30:30,266.7629351514732,
2022-04-22 23:59:59,260.44465716446246,w
2022-04-25 00:00:00,237.0005996359715,
2022-04-25 10:00:00,211.91921971360924,
2022-04-25 10:30:00,202.38606690861454,
2022-04-25 12:00:00,194.43476324979522,
2022-04-25 13:30:00,202.78589522970717,
2022-04-25 15:00:00,214.0586362647602,
2022-04-25 15:30:30,214.0586362647602,
2022-04-25 23:59:59,217.62299441328597,c
2022-04-26 00:00:00,217.4682678828769,
2022-04-26 10:00:00,222.389259361209,
2022-04-26 10:30:00,219.56860136954637,
2022-04-26 12:00:00,204.61371985752214,
2022-04-26 13:30:00,196.03427613894846,
2022-04-26 15:00:00,202.09476745444528,
2022-04-26 15:30:30,202.09476745444528,
2022-04-26 23:59:59,183.62364784238116,c
2022-04-27 00:00:00,200.26015803004455,
2022-04-27 10:00:00,201.9135633090945,
2022-04-27 10:30:00,187.69554854916248,
2022-04-27 12:00:00,204.27604940395068,
2022-04-27 13:30:00,199.67265880564102,
2022-04-27 15:00:00,198.6911189280732,
2022-04-27 15:30:30,198.6911189280732,
2022-04-27 23:59:59,201.85827508484056,c
2022-04-28 00:00:00,194.859795667319,
2022-04-28 10:00:00,185.21295906621984,
2022-04-28 10:30:00,190.31099706024136,
2022-04-28 12:00:00,177.03706808643037,
2022-04-28 13:30:00,195.11103259396293,
2022-04-28 15:00:00,191.62444725037776,
2022-04-28 15:30:30,191.62444725037776,
2022-04-28 23:59:59,182.25454359250645,c
2022-04-29 00:00:00,162.88618787870442,
2022-04-29 10:00:00,157.7132157512102,
2022-04-29 10:30:00,137.56903771230145,
2022-04-29 12:00:00,137.8987722120683,
2022-04-29 13:30:00,131.5400811491134,
2022-04-29 15:00:00,114.49684287631763,
2022-04-29 15:30:30,114.49684287631763,
2022-04-29 23:59:59,93.29423440110102,w
2022-05-02 00:00:00,98.55740789177929,
2022-05-02 10:00:00,97.07391312845411,
2022-05-02 10:30:00,96.63206156085721,
2022-05-02 12:00:00,110.58572938179407,
2022-05-02 13:30:00,86.20493896496089,
2022-05-02 15:00:00,70.9460754992237,
2022-05-02 15:30:30,70.9460754992237,
2022-05-02 23:59:59,99.93451825583296,c
2022-05-03 00:00:00,85.95566431218694,
2022-05-03 10:00:00,61.318280060293866,
2022-05-03 10:30:00,51.758977969801954,
2022-05-03 12:00:00,44.42473963977361,
2022-05-03 13:30:00,49.984987055800296,
2022-05-03 15:00:00,46.987072530715515,
2022-05-03 15:30:30,46.987072530715515,
2022-05-03 23:59:59,36.19305508421325,c
2022-05-04 00:00:00,16.443550677627577,
2022-05-04 10:00:00,45.650918499287194,
2022-05-04 10:30:00,33.17926765604802,
2022-05-04 12:00:00,20.768041425130697,
2022-05-04 13:30:00,21.042030622218512,
2022-05-04 15:00:00,46.689186548257986,
2022-05-04 15:30:30,46.689186548257986,
2022-05-04 23:59:59,67.01600447388611,c
2022-05-05 00:00:00,46.68926832493542,
2022-05-05 10:00:00,44.654488403809346,
2022-05-05 10:30:00,36.636573151827754,
2022-05-05 12:00:00,16.6802795879289,
2022-05-05 13:30:00,5.037433300434444,
2022-05-05 15:00:00,-6.661103336419007,
2022-05-05 15:30:30,-6.661103336419007,
2022-05-05 23:59:59,-11.363993916526233,c
2022-05-06 00:00:00,-9.551775956883006,
2022-05-06 10:00:00,-18.902489222847546,
2022-05-06 10:30:00,-14.298191054438007,
2022-05-06 12:00:00,-9.558499825134913,
2022-05-06 13:30:00,-15.576472246545944,
